"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err Swift/UVOT.B_fil Swift/UVOT.B_fil_err Swift/UVOT.UVM2_fil Swift/UVOT.UVM2_fil_err Swift/UVOT.UVW1_fil Swift/UVOT.UVW1_fil_err Swift/UVOT.UVW2_fil Swift/UVOT.UVW2_fil_err Swift/UVOT.U_fil Swift/UVOT.U_fil_err Swift/UVOT.V_fil Swift/UVOT.V_fil_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-31.000 -16.391 -0.996 -17.075 -0.966 -19.946 -1.122 -19.065 -1.261 -19.567 -0.634 -18.708 -0.033 -18.522 -0.053 -14.362 -1.082 -17.471 -0.067 -18.271 -0.040 -18.189 -0.117 -17.355 -1.473 12.544 12.516 0.648 0.771 42.869 43.536
-30.000 -16.643 -0.902 -17.282 -0.874 -19.966 -1.022 -19.122 -1.154 -19.638 -0.588 -18.821 -0.025 -18.661 -0.039 -14.834 -1.012 -17.764 -0.052 -18.393 -0.032 -18.265 -0.086 -17.454 -1.349 16.865 9.778 0.577 0.339 43.283 43.698
-29.000 -16.887 -0.813 -17.481 -0.787 -19.976 -0.926 -19.171 -1.051 -19.698 -0.543 -18.914 -0.023 -18.778 -0.028 -15.281 -0.943 -18.029 -0.040 -18.498 -0.029 -18.331 -0.061 -17.546 -1.229 16.860 7.174 0.648 0.280 43.384 43.665
-28.000 -17.121 -0.729 -17.671 -0.704 -19.977 -0.835 -19.214 -0.952 -19.745 -0.500 -18.989 -0.024 -18.875 -0.019 -15.704 -0.876 -18.266 -0.029 -18.587 -0.029 -18.388 -0.042 -17.632 -1.112 16.723 5.285 0.703 0.225 43.440 43.591
-27.000 -17.345 -0.650 -17.850 -0.626 -19.968 -0.748 -19.251 -0.859 -19.782 -0.459 -19.046 -0.026 -18.952 -0.015 -16.101 -0.812 -18.475 -0.021 -18.661 -0.030 -18.436 -0.031 -17.711 -1.000 16.498 3.704 0.752 0.172 43.475 43.478
-26.000 -17.558 -0.576 -18.019 -0.554 -19.951 -0.667 -19.283 -0.769 -19.809 -0.420 -19.086 -0.028 -19.011 -0.014 -16.473 -0.750 -18.657 -0.017 -18.721 -0.031 -18.476 -0.028 -17.783 -0.893 15.834 2.470 0.818 0.132 43.476 43.323
-25.000 -17.759 -0.508 -18.176 -0.487 -19.926 -0.591 -19.308 -0.685 -19.827 -0.383 -19.111 -0.030 -19.052 -0.015 -16.820 -0.690 -18.811 -0.017 -18.766 -0.032 -18.508 -0.032 -17.849 -0.791 14.762 1.763 0.912 0.118 43.449 43.184
-24.000 -17.947 -0.444 -18.323 -0.425 -19.894 -0.520 -19.329 -0.607 -19.837 -0.347 -19.122 -0.031 -19.078 -0.017 -17.140 -0.633 -18.938 -0.020 -18.798 -0.032 -18.532 -0.037 -17.909 -0.695 13.976 1.558 0.992 0.124 43.428 43.136
-23.000 -18.122 -0.386 -18.457 -0.368 -19.856 -0.454 -19.345 -0.533 -19.840 -0.314 -19.121 -0.031 -19.089 -0.020 -17.436 -0.578 -19.039 -0.025 -18.819 -0.032 -18.549 -0.041 -17.962 -0.604 13.626 1.547 1.033 0.135 43.419 43.138
-22.000 -18.284 -0.332 -18.580 -0.316 -19.812 -0.393 -19.357 -0.465 -19.837 -0.282 -19.108 -0.031 -19.086 -0.021 -17.707 -0.526 -19.115 -0.029 -18.829 -0.031 -18.559 -0.043 -18.009 -0.519 13.538 1.557 1.043 0.139 43.416 43.141
-21.000 -18.432 -0.284 -18.690 -0.269 -19.764 -0.338 -19.365 -0.402 -19.830 -0.253 -19.085 -0.031 -19.072 -0.022 -17.953 -0.476 -19.166 -0.033 -18.829 -0.030 -18.563 -0.044 -18.050 -0.441 13.582 1.550 1.034 0.137 43.414 43.137
-20.000 -18.567 -0.241 -18.789 -0.227 -19.712 -0.287 -19.368 -0.345 -19.818 -0.225 -19.054 -0.030 -19.048 -0.023 -18.177 -0.430 -19.195 -0.037 -18.820 -0.029 -18.562 -0.044 -18.085 -0.369 13.705 1.531 1.015 0.131 43.413 43.126
-19.000 -18.687 -0.202 -18.875 -0.189 -19.656 -0.242 -19.369 -0.293 -19.804 -0.199 -19.015 -0.030 -19.014 -0.024 -18.378 -0.386 -19.202 -0.040 -18.804 -0.029 -18.556 -0.042 -18.115 -0.304 13.904 1.517 0.986 0.123 43.413 43.114
-18.000 -18.793 -0.168 -18.950 -0.156 -19.599 -0.202 -19.367 -0.247 -19.787 -0.176 -18.971 -0.029 -18.973 -0.025 -18.558 -0.345 -19.188 -0.041 -18.782 -0.028 -18.546 -0.040 -18.140 -0.245 14.212 1.522 0.947 0.115 43.416 43.109
-17.000 -18.886 -0.138 -19.014 -0.128 -19.540 -0.167 -19.362 -0.205 -19.768 -0.154 -18.922 -0.029 -18.926 -0.025 -18.717 -0.308 -19.157 -0.042 -18.754 -0.028 -18.532 -0.037 -18.160 -0.193 14.673 1.554 0.899 0.107 43.427 43.113
-16.000 -18.965 -0.112 -19.067 -0.103 -19.480 -0.136 -19.355 -0.169 -19.749 -0.135 -18.870 -0.028 -18.874 -0.026 -18.858 -0.273 -19.108 -0.042 -18.722 -0.028 -18.515 -0.033 -18.175 -0.148 15.311 1.603 0.844 0.097 43.446 43.125
-15.000 -19.031 -0.091 -19.109 -0.083 -19.420 -0.110 -19.346 -0.138 -19.730 -0.117 -18.816 -0.028 -18.819 -0.026 -18.981 -0.241 -19.044 -0.041 -18.687 -0.028 -18.496 -0.030 -18.186 -0.111 16.093 1.648 0.788 0.087 43.472 43.140
-14.000 -19.085 -0.073 -19.142 -0.066 -19.361 -0.088 -19.335 -0.112 -19.711 -0.102 -18.760 -0.029 -18.761 -0.026 -19.089 -0.212 -18.966 -0.039 -18.649 -0.029 -18.474 -0.028 -18.194 -0.083 16.931 1.675 0.736 0.078 43.501 43.154
-13.000 -19.127 -0.058 -19.165 -0.053 -19.304 -0.070 -19.323 -0.090 -19.693 -0.088 -18.705 -0.029 -18.702 -0.026 -19.181 -0.187 -18.877 -0.036 -18.610 -0.030 -18.451 -0.026 -18.197 -0.064 17.749 1.682 0.691 0.071 43.528 43.163
-12.000 -19.158 -0.047 -19.179 -0.042 -19.249 -0.057 -19.310 -0.074 -19.676 -0.076 -18.650 -0.029 -18.642 -0.027 -19.260 -0.164 -18.778 -0.034 -18.571 -0.031 -18.427 -0.025 -18.198 -0.056 18.540 1.690 0.651 0.065 43.553 43.172
