"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-2.044 12.070 0.093 1.000 0.000 43.180 41.669
-1.044 20.069 2.464 0.525 0.058 43.503 42.936
-0.044 23.940 3.155 0.456 0.051 43.687 43.171
0.956 18.695 1.474 0.576 0.043 43.460 42.686
1.956 23.194 2.181 0.482 0.039 43.681 43.016
2.956 19.368 1.297 0.571 0.035 43.515 42.677
3.956 17.090 0.931 0.637 0.035 43.392 42.433
4.956 24.070 1.999 0.456 0.031 43.696 42.986
5.956 29.146 2.893 0.395 0.030 43.904 43.293
6.956 22.625 1.525 0.490 0.028 43.651 42.842
7.956 23.332 1.577 0.478 0.027 43.684 42.878
8.956 25.906 1.954 0.436 0.026 43.786 43.043
9.956 29.478 2.501 0.397 0.026 43.928 43.249
10.956 23.752 1.462 0.475 0.024 43.709 42.867
11.956 26.049 1.749 0.443 0.024 43.809 43.015
12.956 25.995 1.709 0.444 0.023 43.807 43.005
13.956 21.614 1.059 0.520 0.022 43.624 42.670
14.956 23.152 1.195 0.492 0.021 43.696 42.773
15.956 20.696 0.895 0.546 0.021 43.591 42.575
16.956 21.840 0.988 0.523 0.021 43.646 42.658
17.956 21.273 0.919 0.536 0.020 43.622 42.610
18.956 19.359 0.706 0.585 0.020 43.535 42.434
19.956 20.212 0.757 0.564 0.019 43.578 42.495
20.956 18.798 0.626 0.606 0.019 43.514 42.368
21.956 19.414 0.660 0.590 0.018 43.546 42.414
22.956 18.889 0.614 0.606 0.018 43.523 42.366
23.956 17.895 0.521 0.639 0.018 43.475 42.261
24.956 18.435 0.544 0.623 0.017 43.504 42.301
25.956 17.489 0.473 0.658 0.017 43.460 42.209
26.956 17.883 0.489 0.645 0.017 43.482 42.239
27.956 17.581 0.466 0.657 0.017 43.468 42.209
28.956 16.995 0.417 0.680 0.016 43.439 42.140
29.956 17.377 0.429 0.667 0.016 43.461 42.168
30.956 16.769 0.389 0.693 0.016 43.432 42.105
31.956 17.047 0.397 0.683 0.016 43.448 42.126
32.956 16.859 0.385 0.691 0.016 43.439 42.106
33.956 16.474 0.354 0.708 0.015 43.420 42.057
34.956 16.767 0.362 0.697 0.015 43.437 42.078
35.956 16.356 0.337 0.716 0.015 43.417 42.034
36.956 16.565 0.342 0.708 0.015 43.429 42.049
37.956 16.444 0.335 0.714 0.015 43.424 42.035
38.956 16.169 0.313 0.727 0.014 43.410 41.998
39.956 16.405 0.318 0.717 0.014 43.424 42.014
40.956 16.118 0.302 0.731 0.014 43.410 41.982
41.956 16.283 0.305 0.725 0.014 43.420 41.993
42.956 16.206 0.301 0.728 0.014 43.416 41.984
43.956 15.994 0.285 0.739 0.013 43.406 41.954
44.956 16.103 0.285 0.734 0.013 43.412 41.958
45.956 15.886 0.273 0.746 0.013 43.402 41.932
46.956 16.021 0.275 0.740 0.013 43.410 41.941
47.956 15.978 0.272 0.742 0.013 43.408 41.936
48.956 15.809 0.260 0.751 0.013 43.399 41.910
49.956 15.814 0.256 0.750 0.012 43.400 41.903
50.956 15.648 0.248 0.760 0.012 43.392 41.883
51.956 15.763 0.249 0.754 0.012 43.399 41.890
52.956 15.745 0.248 0.755 0.012 43.398 41.888
53.956 15.608 0.238 0.763 0.012 43.391 41.866
54.956 15.526 0.232 0.766 0.012 43.386 41.850
55.956 15.401 0.226 0.774 0.012 43.380 41.834
56.956 15.504 0.227 0.769 0.012 43.386 41.840
57.956 15.506 0.227 0.769 0.012 43.386 41.840
58.956 15.390 0.219 0.775 0.011 43.381 41.821
59.956 15.234 0.211 0.783 0.011 43.371 41.796
60.956 15.158 0.207 0.787 0.011 43.368 41.786
61.956 15.253 0.208 0.783 0.011 43.373 41.792
62.956 15.271 0.208 0.782 0.011 43.374 41.793
63.956 15.170 0.201 0.787 0.011 43.369 41.776
64.956 14.952 0.192 0.798 0.011 43.356 41.744
65.956 14.916 0.190 0.800 0.011 43.354 41.738
66.956 14.992 0.190 0.797 0.011 43.359 41.742
67.956 15.021 0.191 0.795 0.011 43.360 41.745
68.956 14.931 0.185 0.800 0.011 43.356 41.729
69.956 14.665 0.176 0.814 0.010 43.339 41.691
70.956 14.661 0.175 0.814 0.010 43.339 41.689
71.956 14.563 0.171 0.819 0.010 43.333 41.672
72.956 14.600 0.171 0.817 0.010 43.335 41.676
73.956 14.522 0.167 0.822 0.010 43.331 41.662
74.956 14.252 0.158 0.837 0.010 43.314 41.623
75.956 14.269 0.157 0.836 0.010 43.315 41.623
76.956 13.985 0.149 0.852 0.010 43.297 41.583
77.956 14.025 0.150 0.849 0.010 43.298 41.587
78.956 13.967 0.146 0.853 0.010 43.295 41.575
79.956 13.715 0.139 0.869 0.010 43.280 41.537
80.956 13.740 0.138 0.867 0.010 43.281 41.537
81.956 13.771 0.138 0.865 0.010 43.282 41.539
82.956 13.313 0.127 0.894 0.010 43.253 41.474
83.956 13.353 0.128 0.891 0.010 43.254 41.479
84.956 13.352 0.126 0.891 0.010 43.254 41.474
85.956 13.126 0.120 0.906 0.010 43.240 41.438
86.956 13.139 0.119 0.905 0.009 43.241 41.436
87.956 13.177 0.120 0.902 0.009 43.242 41.440
88.956 12.771 0.111 0.931 0.009 43.216 41.380
89.956 12.809 0.111 0.927 0.009 43.217 41.384
90.956 12.854 0.111 0.923 0.009 43.219 41.385
91.956 12.598 0.105 0.943 0.009 43.203 41.344
0.003 12.602 0.104 0.942 0.009 43.203 41.342
1.003 12.639 0.104 0.938 0.009 43.204 41.345
2.003 12.280 0.097 0.967 0.009 43.180 41.289
3.003 12.315 0.098 0.963 0.009 43.182 41.294
4.003 12.397 0.098 0.955 0.009 43.186 41.300
5.003 12.124 0.092 0.978 0.009 43.168 41.254
6.003 12.134 0.092 0.977 0.009 43.168 41.253
7.003 12.169 0.092 0.973 0.009 43.170 41.257
8.003 11.850 0.086 1.000 0.009 43.148 41.205
9.003 11.866 0.086 0.998 0.009 43.149 41.207
10.003 11.975 0.087 0.986 0.009 43.154 41.217
11.003 11.731 0.082 1.009 0.009 43.138 41.175
12.003 11.744 0.082 1.007 0.009 43.138 41.174
13.003 11.779 0.082 1.003 0.009 43.140 41.178
14.003 11.491 0.077 1.030 0.009 43.120 41.129
15.003 11.506 0.077 1.028 0.009 43.121 41.131
16.003 11.603 0.078 1.016 0.009 43.125 41.141
17.003 11.387 0.074 1.038 0.009 43.111 41.102
18.003 11.403 0.074 1.036 0.008 43.111 41.102
19.003 11.437 0.074 1.031 0.008 43.113 41.106
20.003 11.175 0.070 1.058 0.009 43.095 41.060
21.003 11.188 0.070 1.056 0.008 43.095 41.061
22.003 11.276 0.070 1.044 0.008 43.099 41.070
23.003 11.082 0.067 1.065 0.008 43.086 41.034
24.003 11.100 0.067 1.062 0.008 43.087 41.034
25.003 11.134 0.067 1.058 0.008 43.088 41.039
26.003 10.892 0.064 1.084 0.008 43.071 40.995
27.003 10.904 0.064 1.082 0.008 43.071 40.996
28.003 10.984 0.064 1.071 0.008 43.075 41.005
29.003 10.809 0.061 1.090 0.008 43.063 40.970
30.003 10.828 0.061 1.088 0.008 43.064 40.971
31.003 10.861 0.062 1.082 0.008 43.065 40.976
32.003 10.638 0.058 1.108 0.008 43.049 40.934
33.003 10.648 0.058 1.106 0.008 43.050 40.935
34.003 10.721 0.059 1.096 0.008 43.053 40.943
35.003 10.563 0.056 1.115 0.008 43.042 40.911
36.003 10.583 0.056 1.111 0.008 43.043 40.912
37.003 10.616 0.057 1.106 0.008 43.044 40.917
38.003 10.407 0.054 1.131 0.008 43.029 40.876
39.003 10.417 0.054 1.130 0.008 43.030 40.878
40.003 10.483 0.054 1.119 0.008 43.032 40.885
