"Time (MJD)" LasCumbres/LasCumbres.SDSS_gp LasCumbres/LasCumbres.SDSS_gp_err LasCumbres/LasCumbres.SDSS_ip LasCumbres/LasCumbres.SDSS_ip_err LasCumbres/LasCumbres.SDSS_rp LasCumbres/LasCumbres.SDSS_rp_err LasCumbres/LasCumbres.SDSS_up LasCumbres/LasCumbres.SDSS_up_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err SLOAN/SDSS.i SLOAN/SDSS.i_err Swift/UVOT.B Swift/UVOT.B_err Swift/UVOT.U Swift/UVOT.U_err Swift/UVOT.UVM2 Swift/UVOT.UVM2_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err Swift/UVOT.UVW2 Swift/UVOT.UVW2_err Swift/UVOT.V Swift/UVOT.V_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-3.000 -21.884 -0.136 -21.767 -0.123 -21.914 -0.122 -22.357 -0.116 -22.387 -0.164 -21.639 -0.098 -22.316 -0.094 -21.251 -0.043 -21.905 -0.062 -21.408 -0.052 -21.302 -0.045 -21.585 -0.046 -20.543 -0.049 -20.140 -0.958 -20.919 -0.063 -21.005 -0.054 -20.605 -0.079 21.643 5.032 1.822 0.382 44.715 44.724
-2.000 -22.035 -0.077 -22.049 -0.068 -22.075 -0.068 -22.542 -0.063 -22.517 -0.094 -21.926 -0.051 -22.381 -0.048 -21.733 -0.026 -22.147 -0.030 -21.900 -0.023 -21.708 -0.020 -21.846 -0.020 -21.212 -0.031 -20.889 -0.783 -21.404 -0.030 -21.470 -0.025 -21.148 -0.042 17.166 1.951 2.925 0.334 44.724 44.430
-1.000 -22.016 -0.045 -22.150 -0.039 -22.121 -0.039 -22.624 -0.036 -22.566 -0.047 -22.109 -0.024 -22.423 -0.020 -22.088 -0.027 -22.318 -0.013 -22.218 -0.010 -22.004 -0.009 -22.018 -0.009 -21.733 -0.034 -21.500 -0.588 -21.770 -0.012 -21.816 -0.010 -21.564 -0.022 14.884 0.654 3.984 0.186 44.744 44.043
-0.000 -21.853 -0.036 -22.088 -0.031 -22.072 -0.031 -22.625 -0.029 -22.557 -0.021 -22.207 -0.014 -22.455 -0.009 -22.326 -0.027 -22.428 -0.008 -22.394 -0.006 -22.203 -0.006 -22.133 -0.006 -22.103 -0.035 -21.942 -0.377 -22.021 -0.006 -22.052 -0.007 -21.854 -0.011 13.102 0.523 4.960 0.226 44.713 43.977
1.000 -21.585 -0.034 -21.894 -0.028 -21.952 -0.028 -22.569 -0.027 -22.511 -0.014 -22.244 -0.012 -22.483 -0.007 -22.460 -0.023 -22.488 -0.008 -22.469 -0.006 -22.326 -0.005 -22.214 -0.003 -22.334 -0.031 -22.188 -0.156 -22.173 -0.005 -22.195 -0.006 -22.032 -0.005 11.675 0.502 5.889 0.305 44.662 43.965
2.000 -21.256 -0.034 -21.609 -0.027 -21.786 -0.027 -22.481 -0.025 -22.444 -0.015 -22.242 -0.011 -22.506 -0.006 -22.513 -0.019 -22.507 -0.007 -22.479 -0.006 -22.390 -0.005 -22.277 -0.003 -22.448 -0.028 -22.223 -0.086 -22.245 -0.005 -22.265 -0.006 -22.121 -0.004 10.682 0.402 6.699 0.318 44.619 43.870
3.000 -20.907 -0.037 -21.274 -0.029 -21.594 -0.028 -22.377 -0.027 -22.365 -0.015 -22.221 -0.012 -22.519 -0.008 -22.510 -0.018 -22.494 -0.006 -22.459 -0.007 -22.414 -0.007 -22.326 -0.004 -22.477 -0.029 -22.046 -0.304 -22.261 -0.007 -22.282 -0.006 -22.144 -0.005 10.178 0.248 7.225 0.238 44.601 43.672
4.000 -20.577 -0.042 -20.925 -0.035 -21.394 -0.033 -22.269 -0.030 -22.278 -0.015 -22.194 -0.017 -22.519 -0.010 -22.474 -0.021 -22.460 -0.005 -22.431 -0.007 -22.414 -0.008 -22.360 -0.005 -22.455 -0.033 -21.666 -0.520 -22.245 -0.008 -22.266 -0.006 -22.129 -0.005 9.820 0.181 7.572 0.196 44.580 43.534
5.000 -20.289 -0.045 -20.590 -0.039 -21.194 -0.036 -22.163 -0.033 -22.183 -0.015 -22.166 -0.023 -22.503 -0.011 -22.426 -0.024 -22.415 -0.003 -22.408 -0.006 -22.404 -0.009 -22.377 -0.005 -22.411 -0.035 -21.107 -0.721 -22.215 -0.009 -22.235 -0.005 -22.098 -0.004 9.621 0.181 7.702 0.208 44.559 43.525
6.000 -20.056 -0.046 -20.284 -0.040 -20.998 -0.038 -22.059 -0.034 -22.078 -0.014 -22.139 -0.029 -22.476 -0.010 -22.380 -0.025 -22.367 -0.003 -22.393 -0.006 -22.392 -0.008 -22.377 -0.005 -22.371 -0.035 -20.400 -0.903 -22.187 -0.009 -22.202 -0.005 -22.068 -0.004 9.382 0.208 7.866 0.258 44.533 43.575
7.000 -19.877 -0.051 -20.009 -0.045 -20.804 -0.044 -21.953 -0.038 -21.960 -0.012 -22.109 -0.034 -22.442 -0.008 -22.343 -0.024 -22.323 -0.003 -22.387 -0.006 -22.385 -0.008 -22.365 -0.004 -22.349 -0.032 -19.582 -1.063 -22.168 -0.008 -22.175 -0.006 -22.049 -0.006 9.027 0.241 8.258 0.345 44.509 43.641
