"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-5.000 40.000 12.619 0.105 0.023 43.307 43.226
-4.000 35.233 2.290 0.166 0.007 43.482 42.713
-3.000 32.202 1.802 0.198 0.008 43.478 42.635
-2.000 11.596 0.168 0.549 0.009 42.590 40.982
-1.000 10.658 0.133 0.628 0.010 42.559 40.852
0.000 10.382 0.084 0.660 0.007 42.557 40.648
1.000 10.514 0.114 0.648 0.009 42.564 40.789
2.000 10.517 0.109 0.640 0.008 42.553 40.759
3.000 10.716 0.110 0.620 0.008 42.558 40.767
4.000 10.347 0.098 0.643 0.008 42.528 40.689
5.000 9.677 0.082 0.702 0.008 42.488 40.566
6.000 9.382 0.075 0.722 0.008 42.459 40.492
7.000 9.522 0.076 0.703 0.008 42.462 40.501
8.000 9.428 0.072 0.717 0.008 42.461 40.481
9.000 9.387 0.071 0.723 0.008 42.461 40.471
10.000 9.134 0.065 0.753 0.008 42.449 40.420
11.000 8.883 0.060 0.775 0.008 42.426 40.359
12.000 8.623 0.056 0.801 0.008 42.402 40.297
13.000 8.418 0.053 0.824 0.008 42.386 40.250
14.000 8.172 0.049 0.855 0.008 42.366 40.191
15.000 7.953 0.046 0.884 0.008 42.347 40.138
16.000 7.787 0.044 0.911 0.008 42.337 40.101
17.000 7.642 0.042 0.938 0.008 42.330 40.070
18.000 7.503 0.040 0.966 0.009 42.324 40.041
19.000 7.365 0.039 0.994 0.009 42.316 40.011
20.000 7.234 0.037 1.024 0.009 42.311 39.986
21.000 7.192 0.037 1.022 0.009 42.299 39.969
22.000 7.053 0.036 1.039 0.009 42.279 39.928
23.000 6.948 0.034 1.065 0.009 42.275 39.907
24.000 6.871 0.034 1.089 0.010 42.275 39.897
25.000 6.853 0.034 1.088 0.010 42.269 39.892
26.000 6.859 0.034 1.085 0.010 42.269 39.895
27.000 6.823 0.034 1.094 0.010 42.266 39.891
28.000 6.782 0.034 1.097 0.010 42.259 39.880
29.000 6.677 0.033 1.124 0.010 42.253 39.861
30.000 6.585 0.032 1.153 0.010 42.251 39.849
31.000 6.516 0.031 1.169 0.010 42.245 39.838
32.000 6.460 0.031 1.182 0.011 42.239 39.828
33.000 6.458 0.031 1.182 0.011 42.239 39.831
34.000 6.462 0.032 1.163 0.011 42.226 39.823
35.000 6.322 0.030 1.210 0.011 42.222 39.807
36.000 6.317 0.030 1.204 0.011 42.216 39.805
37.000 6.301 0.030 1.202 0.011 42.210 39.802
38.000 6.171 0.029 1.245 0.012 42.204 39.790
39.000 6.153 0.029 1.243 0.012 42.198 39.787
40.000 6.132 0.030 1.243 0.012 42.192 39.784
41.000 6.112 0.030 1.242 0.012 42.186 39.782
42.000 6.060 0.030 1.256 0.012 42.181 39.780
43.000 6.017 0.030 1.261 0.012 42.172 39.775
44.000 5.958 0.029 1.276 0.013 42.165 39.772
45.000 5.900 0.029 1.291 0.013 42.158 39.771
46.000 5.846 0.029 1.307 0.013 42.153 39.772
47.000 5.704 0.028 1.358 0.014 42.144 39.774
48.000 5.686 0.028 1.349 0.014 42.132 39.771
49.000 5.683 0.029 1.332 0.014 42.120 39.768
50.000 5.762 0.030 1.276 0.014 42.107 39.761
51.000 5.629 0.030 1.322 0.015 42.097 39.767
52.000 5.565 0.029 1.326 0.015 42.080 39.765
53.000 5.505 0.029 1.305 0.015 42.047 39.748
54.000 5.292 0.028 1.369 0.016 42.020 39.754
55.000 5.255 0.028 1.355 0.017 41.999 39.749
56.000 5.244 0.028 1.304 0.016 41.962 39.726
57.000 5.195 0.029 1.260 0.016 41.916 39.699
58.000 5.122 0.029 1.227 0.016 41.868 39.673
59.000 5.069 0.029 1.174 0.016 41.812 39.638
60.000 5.012 0.029 1.123 0.016 41.753 39.602
61.000 4.877 0.029 1.125 0.016 41.708 39.593
62.000 4.753 0.029 1.122 0.017 41.661 39.582
63.000 4.649 0.029 1.106 0.017 41.610 39.567
64.000 4.603 0.029 1.108 0.018 41.594 39.571
65.000 4.568 0.029 1.108 0.018 41.581 39.576
66.000 4.537 0.030 1.104 0.019 41.566 39.579
