"Time (MJD)" Misc/Atlas.cyan Misc/Atlas.cyan_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-6.000 -17.485 -0.037 -17.492 -0.035 -17.502 -0.050 -17.407 -0.055 -17.361 -0.053 -17.308 -0.053 -16.998 -0.084 -16.765 -0.195 10.201 1.072 0.720 0.106 42.602 41.725
-5.000 -17.514 -0.030 -17.523 -0.029 -17.536 -0.045 -17.450 -0.048 -17.405 -0.045 -17.351 -0.045 -17.048 -0.077 -16.813 -0.184 12.799 0.904 0.545 0.046 42.755 41.814
-4.000 -17.542 -0.026 -17.551 -0.026 -17.568 -0.043 -17.491 -0.041 -17.446 -0.038 -17.394 -0.038 -17.098 -0.072 -16.860 -0.173 12.355 0.824 0.578 0.048 42.744 41.764
-3.000 -17.566 -0.025 -17.577 -0.025 -17.598 -0.042 -17.528 -0.036 -17.485 -0.033 -17.434 -0.033 -17.148 -0.069 -16.907 -0.163 11.964 0.764 0.611 0.049 42.737 41.726
-2.000 -17.587 -0.026 -17.599 -0.026 -17.623 -0.041 -17.561 -0.031 -17.520 -0.028 -17.470 -0.030 -17.197 -0.066 -16.952 -0.153 11.622 0.717 0.643 0.050 42.731 41.697
-1.000 -17.605 -0.027 -17.617 -0.027 -17.643 -0.041 -17.589 -0.027 -17.550 -0.025 -17.503 -0.028 -17.245 -0.065 -16.995 -0.144 11.321 0.672 0.674 0.051 42.725 41.668
0.000 -17.618 -0.028 -17.631 -0.028 -17.659 -0.041 -17.610 -0.024 -17.574 -0.023 -17.531 -0.027 -17.290 -0.063 -17.037 -0.135 11.055 0.618 0.702 0.051 42.720 41.629
1.000 -17.626 -0.029 -17.640 -0.029 -17.671 -0.041 -17.624 -0.023 -17.592 -0.021 -17.553 -0.026 -17.333 -0.062 -17.077 -0.126 10.819 0.552 0.728 0.049 42.713 41.575
2.000 -17.629 -0.030 -17.644 -0.030 -17.677 -0.041 -17.631 -0.022 -17.603 -0.021 -17.570 -0.026 -17.374 -0.060 -17.114 -0.117 10.598 0.479 0.751 0.045 42.705 41.505
3.000 -17.627 -0.030 -17.643 -0.030 -17.678 -0.041 -17.634 -0.021 -17.610 -0.020 -17.582 -0.025 -17.411 -0.059 -17.149 -0.109 10.378 0.409 0.775 0.041 42.696 41.424
4.000 -17.621 -0.030 -17.637 -0.030 -17.675 -0.041 -17.634 -0.022 -17.613 -0.021 -17.591 -0.025 -17.444 -0.057 -17.181 -0.100 10.153 0.349 0.799 0.038 42.684 41.340
5.000 -17.611 -0.029 -17.627 -0.029 -17.668 -0.041 -17.632 -0.024 -17.615 -0.022 -17.597 -0.026 -17.473 -0.056 -17.211 -0.092 9.917 0.306 0.824 0.035 42.670 41.262
6.000 -17.597 -0.029 -17.614 -0.029 -17.657 -0.041 -17.630 -0.027 -17.615 -0.024 -17.600 -0.026 -17.497 -0.054 -17.237 -0.084 9.675 0.278 0.852 0.035 42.656 41.197
7.000 -17.579 -0.028 -17.597 -0.028 -17.644 -0.041 -17.626 -0.030 -17.614 -0.026 -17.602 -0.027 -17.517 -0.054 -17.260 -0.077 9.436 0.260 0.880 0.035 42.641 41.144
8.000 -17.559 -0.028 -17.577 -0.028 -17.629 -0.042 -17.622 -0.032 -17.612 -0.028 -17.603 -0.028 -17.531 -0.053 -17.280 -0.070 9.210 0.249 0.908 0.037 42.626 41.099
9.000 -17.536 -0.028 -17.555 -0.028 -17.611 -0.042 -17.616 -0.035 -17.609 -0.030 -17.602 -0.030 -17.540 -0.053 -17.296 -0.063 9.002 0.241 0.935 0.038 42.612 41.063
10.000 -17.512 -0.028 -17.532 -0.028 -17.592 -0.043 -17.610 -0.037 -17.605 -0.032 -17.600 -0.031 -17.545 -0.053 -17.310 -0.058 8.811 0.237 0.961 0.040 42.598 41.034
11.000 -17.486 -0.030 -17.507 -0.029 -17.571 -0.044 -17.603 -0.038 -17.600 -0.034 -17.597 -0.033 -17.546 -0.053 -17.320 -0.054 8.634 0.235 0.985 0.042 42.585 41.014
12.000 -17.459 -0.032 -17.481 -0.031 -17.550 -0.045 -17.595 -0.039 -17.595 -0.035 -17.593 -0.034 -17.544 -0.053 -17.327 -0.052 8.467 0.236 1.010 0.045 42.572 41.003
13.000 -17.431 -0.035 -17.453 -0.034 -17.527 -0.047 -17.587 -0.040 -17.589 -0.036 -17.589 -0.035 -17.539 -0.053 -17.331 -0.051 8.309 0.240 1.034 0.048 42.560 40.999
14.000 -17.401 -0.038 -17.424 -0.037 -17.503 -0.048 -17.578 -0.040 -17.582 -0.036 -17.583 -0.036 -17.532 -0.052 -17.332 -0.050 8.158 0.247 1.057 0.052 42.548 40.999
15.000 -17.371 -0.041 -17.395 -0.040 -17.478 -0.049 -17.568 -0.040 -17.574 -0.035 -17.577 -0.036 -17.524 -0.051 -17.331 -0.051 8.014 0.256 1.081 0.056 42.536 41.003
16.000 -17.340 -0.043 -17.365 -0.043 -17.453 -0.051 -17.558 -0.039 -17.566 -0.035 -17.570 -0.035 -17.514 -0.050 -17.329 -0.051 7.876 0.267 1.105 0.062 42.525 41.008
17.000 -17.308 -0.046 -17.334 -0.045 -17.427 -0.052 -17.546 -0.038 -17.557 -0.034 -17.563 -0.034 -17.504 -0.049 -17.325 -0.052 7.744 0.279 1.128 0.068 42.514 41.012
18.000 -17.276 -0.048 -17.302 -0.047 -17.401 -0.053 -17.534 -0.037 -17.548 -0.032 -17.555 -0.033 -17.493 -0.048 -17.320 -0.053 7.615 0.291 1.153 0.074 42.503 41.013
19.000 -17.244 -0.049 -17.271 -0.048 -17.374 -0.053 -17.521 -0.035 -17.537 -0.030 -17.545 -0.032 -17.483 -0.048 -17.315 -0.054 7.487 0.301 1.178 0.081 42.493 41.007
20.000 -17.212 -0.050 -17.239 -0.049 -17.348 -0.054 -17.507 -0.034 -17.525 -0.029 -17.535 -0.031 -17.474 -0.049 -17.310 -0.055 7.357 0.307 1.206 0.087 42.482 40.992
21.000 -17.180 -0.050 -17.208 -0.049 -17.321 -0.054 -17.491 -0.034 -17.511 -0.028 -17.523 -0.030 -17.466 -0.051 -17.305 -0.057 7.227 0.306 1.235 0.091 42.472 40.964
22.000 -17.149 -0.050 -17.178 -0.049 -17.294 -0.054 -17.474 -0.034 -17.496 -0.028 -17.510 -0.030 -17.458 -0.054 -17.301 -0.060 7.097 0.297 1.265 0.094 42.461 40.924
23.000 -17.119 -0.050 -17.148 -0.049 -17.268 -0.054 -17.456 -0.035 -17.480 -0.029 -17.496 -0.031 -17.451 -0.056 -17.297 -0.063 6.972 0.283 1.295 0.096 42.451 40.877
24.000 -17.089 -0.050 -17.120 -0.049 -17.242 -0.053 -17.437 -0.035 -17.462 -0.030 -17.481 -0.031 -17.445 -0.058 -17.295 -0.067 6.854 0.266 1.325 0.095 42.441 40.827
25.000 -17.060 -0.049 -17.091 -0.048 -17.216 -0.053 -17.417 -0.036 -17.445 -0.030 -17.465 -0.031 -17.440 -0.060 -17.293 -0.070 6.743 0.248 1.354 0.094 42.431 40.776
26.000 -17.032 -0.049 -17.064 -0.047 -17.191 -0.053 -17.397 -0.036 -17.426 -0.031 -17.449 -0.032 -17.436 -0.061 -17.292 -0.073 6.640 0.230 1.382 0.092 42.422 40.727
27.000 -17.005 -0.048 -17.037 -0.047 -17.166 -0.052 -17.378 -0.036 -17.408 -0.031 -17.433 -0.032 -17.432 -0.062 -17.292 -0.075 6.544 0.213 1.409 0.089 42.414 40.683
28.000 -16.978 -0.048 -17.011 -0.046 -17.143 -0.052 -17.359 -0.036 -17.391 -0.031 -17.418 -0.032 -17.429 -0.062 -17.292 -0.077 6.455 0.197 1.435 0.087 42.406 40.645
29.000 -16.952 -0.047 -16.985 -0.046 -17.120 -0.052 -17.341 -0.036 -17.375 -0.031 -17.404 -0.032 -17.427 -0.062 -17.293 -0.078 6.373 0.184 1.461 0.084 42.399 40.614
30.000 -16.927 -0.047 -16.961 -0.045 -17.098 -0.051 -17.325 -0.036 -17.360 -0.031 -17.391 -0.032 -17.426 -0.060 -17.294 -0.079 6.295 0.173 1.486 0.082 42.393 40.592
31.000 -16.902 -0.046 -16.937 -0.045 -17.077 -0.050 -17.310 -0.035 -17.347 -0.031 -17.380 -0.032 -17.426 -0.058 -17.296 -0.078 6.220 0.164 1.512 0.082 42.387 40.577
32.000 -16.879 -0.046 -16.915 -0.044 -17.057 -0.050 -17.297 -0.035 -17.335 -0.030 -17.371 -0.031 -17.426 -0.056 -17.298 -0.077 6.148 0.158 1.539 0.082 42.382 40.570
33.000 -16.857 -0.045 -16.893 -0.043 -17.039 -0.049 -17.286 -0.034 -17.326 -0.029 -17.363 -0.031 -17.427 -0.053 -17.301 -0.076 6.078 0.155 1.568 0.083 42.378 40.573
34.000 -16.835 -0.044 -16.872 -0.042 -17.021 -0.048 -17.277 -0.033 -17.319 -0.028 -17.358 -0.030 -17.429 -0.049 -17.303 -0.073 6.011 0.155 1.597 0.086 42.375 40.586
35.000 -16.815 -0.043 -16.852 -0.041 -17.006 -0.048 -17.271 -0.033 -17.315 -0.027 -17.356 -0.029 -17.431 -0.045 -17.306 -0.070 5.949 0.157 1.626 0.091 42.373 40.609
36.000 -16.795 -0.043 -16.834 -0.040 -16.992 -0.047 -17.268 -0.033 -17.314 -0.028 -17.356 -0.029 -17.433 -0.040 -17.308 -0.066 5.895 0.162 1.652 0.097 42.371 40.642
37.000 -16.777 -0.043 -16.816 -0.040 -16.979 -0.047 -17.267 -0.033 -17.315 -0.028 -17.358 -0.030 -17.435 -0.036 -17.310 -0.061 5.854 0.169 1.671 0.103 42.369 40.677
38.000 -16.759 -0.043 -16.800 -0.041 -16.968 -0.047 -17.268 -0.034 -17.318 -0.029 -17.362 -0.030 -17.437 -0.032 -17.312 -0.056 5.818 0.178 1.689 0.110 42.367 40.712
39.000 -16.744 -0.045 -16.785 -0.042 -16.959 -0.048 -17.270 -0.034 -17.322 -0.030 -17.367 -0.031 -17.439 -0.028 -17.314 -0.052 5.795 0.190 1.700 0.118 42.366 40.747
40.000 -16.730 -0.047 -16.773 -0.044 -16.951 -0.049 -17.274 -0.035 -17.327 -0.030 -17.373 -0.031 -17.441 -0.027 -17.315 -0.047 5.789 0.207 1.701 0.128 42.365 40.781
41.000 -16.718 -0.050 -16.762 -0.047 -16.945 -0.050 -17.279 -0.035 -17.333 -0.030 -17.379 -0.032 -17.441 -0.028 -17.316 -0.043 5.799 0.227 1.694 0.138 42.364 40.817
42.000 -16.707 -0.054 -16.752 -0.051 -16.940 -0.052 -17.284 -0.035 -17.338 -0.031 -17.385 -0.032 -17.441 -0.030 -17.316 -0.040 5.818 0.247 1.682 0.148 42.364 40.849
43.000 -16.698 -0.058 -16.744 -0.055 -16.936 -0.054 -17.289 -0.036 -17.344 -0.031 -17.391 -0.032 -17.441 -0.033 -17.316 -0.039 5.833 0.266 1.673 0.157 42.363 40.877
44.000 -16.690 -0.061 -16.737 -0.059 -16.933 -0.057 -17.294 -0.036 -17.350 -0.031 -17.396 -0.033 -17.439 -0.036 -17.315 -0.039 5.841 0.283 1.669 0.165 42.364 40.899
45.000 -16.683 -0.065 -16.731 -0.062 -16.931 -0.059 -17.298 -0.037 -17.354 -0.032 -17.400 -0.033 -17.437 -0.038 -17.313 -0.040 5.843 0.297 1.669 0.173 42.364 40.917
46.000 -16.677 -0.068 -16.725 -0.065 -16.928 -0.061 -17.301 -0.037 -17.358 -0.032 -17.403 -0.034 -17.434 -0.040 -17.310 -0.042 5.838 0.308 1.673 0.180 42.365 40.930
47.000 -16.671 -0.070 -16.720 -0.067 -16.926 -0.062 -17.303 -0.038 -17.360 -0.033 -17.404 -0.034 -17.431 -0.041 -17.307 -0.045 5.828 0.316 1.680 0.187 42.365 40.940
48.000 -16.665 -0.072 -16.715 -0.069 -16.924 -0.063 -17.304 -0.038 -17.360 -0.033 -17.404 -0.034 -17.427 -0.043 -17.303 -0.047 5.815 0.322 1.688 0.193 42.366 40.948
49.000 -16.660 -0.072 -16.711 -0.069 -16.922 -0.064 -17.303 -0.039 -17.360 -0.034 -17.403 -0.034 -17.424 -0.044 -17.298 -0.050 5.800 0.326 1.696 0.197 42.365 40.954
50.000 -16.655 -0.073 -16.706 -0.070 -16.920 -0.064 -17.302 -0.039 -17.357 -0.034 -17.401 -0.035 -17.421 -0.047 -17.293 -0.052 5.783 0.327 1.704 0.201 42.364 40.960
