"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-5.992 8.355 inf 1.000 inf 42.541 inf
-4.992 8.138 inf 1.034 inf 42.524 inf
-3.992 9.225 3.696 0.775 0.469 42.492 42.151
-2.992 11.311 2.210 0.582 0.142 42.597 42.078
-1.992 14.593 1.641 0.433 0.053 42.782 42.097
-0.992 14.857 1.552 0.426 0.049 42.799 42.083
0.008 15.168 1.317 0.416 0.038 42.814 42.032
1.008 14.206 1.442 0.451 0.050 42.770 42.046
2.008 14.282 1.260 0.448 0.043 42.775 41.983
3.008 14.468 1.234 0.443 0.041 42.787 41.981
4.008 14.532 1.104 0.441 0.036 42.790 41.940
5.008 13.706 1.343 0.475 0.052 42.753 42.001
6.008 13.994 1.312 0.465 0.048 42.771 42.001
7.008 14.131 1.282 0.461 0.046 42.780 41.997
8.008 14.116 1.177 0.461 0.042 42.779 41.962
9.008 13.504 1.265 0.488 0.051 42.752 41.975
10.008 13.574 1.191 0.486 0.048 42.757 41.948
11.008 13.694 1.175 0.482 0.047 42.764 41.948
12.008 13.633 1.094 0.484 0.044 42.761 41.917
13.008 13.190 1.121 0.506 0.049 42.742 41.914
14.008 13.214 1.061 0.505 0.047 42.743 41.888
15.008 13.325 1.056 0.501 0.045 42.751 41.891
16.008 13.235 0.993 0.505 0.043 42.746 41.862
17.008 12.890 1.002 0.523 0.047 42.731 41.856
18.008 12.892 0.953 0.523 0.045 42.731 41.831
19.008 12.751 0.951 0.531 0.047 42.726 41.827
20.008 12.851 0.951 0.527 0.046 42.733 41.831
21.008 12.760 0.904 0.532 0.044 42.728 41.807
22.008 12.505 0.900 0.547 0.047 42.717 41.798
23.008 12.489 0.860 0.548 0.045 42.716 41.774
24.008 12.392 0.851 0.554 0.045 42.712 41.767
25.008 12.460 0.844 0.551 0.045 42.717 41.766
26.008 12.365 0.808 0.556 0.044 42.712 41.745
27.008 12.170 0.801 0.569 0.045 42.704 41.736
28.008 12.156 0.770 0.570 0.044 42.703 41.715
