"Time (MJD)" GAIA/GAIA0.G GAIA/GAIA0.G_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-50.000 -15.607 -0.102 -16.252 -0.062 -16.307 -0.060 -16.372 -0.058 -16.499 -0.054 -16.570 -0.055 -16.409 -0.115 5.261 0.297 1.358 0.169 42.003 41.529
-49.000 -15.673 -0.096 -16.300 -0.057 -16.352 -0.055 -16.414 -0.053 -16.535 -0.049 -16.597 -0.051 -16.433 -0.109 5.350 0.304 1.335 0.164 42.017 41.541
-48.000 -15.739 -0.090 -16.348 -0.053 -16.398 -0.051 -16.458 -0.049 -16.572 -0.045 -16.625 -0.047 -16.458 -0.103 5.441 0.310 1.313 0.159 42.032 41.554
-47.000 -15.806 -0.085 -16.397 -0.049 -16.446 -0.047 -16.502 -0.045 -16.611 -0.041 -16.655 -0.043 -16.484 -0.098 5.534 0.317 1.293 0.155 42.048 41.569
-46.000 -15.873 -0.080 -16.447 -0.045 -16.494 -0.043 -16.548 -0.041 -16.650 -0.038 -16.686 -0.040 -16.511 -0.093 5.590 0.320 1.293 0.153 42.066 41.584
-45.000 -15.941 -0.075 -16.498 -0.042 -16.542 -0.040 -16.594 -0.038 -16.690 -0.036 -16.719 -0.037 -16.540 -0.088 5.725 0.332 1.256 0.148 42.082 41.601
-44.000 -16.009 -0.071 -16.549 -0.039 -16.592 -0.037 -16.641 -0.036 -16.731 -0.033 -16.752 -0.035 -16.570 -0.084 5.824 0.340 1.240 0.145 42.100 41.619
-43.000 -16.077 -0.067 -16.601 -0.037 -16.642 -0.035 -16.689 -0.033 -16.773 -0.031 -16.786 -0.033 -16.601 -0.080 5.923 0.349 1.225 0.142 42.119 41.639
-42.000 -16.145 -0.064 -16.653 -0.034 -16.692 -0.033 -16.737 -0.031 -16.815 -0.029 -16.821 -0.031 -16.632 -0.076 6.024 0.358 1.211 0.140 42.139 41.659
-41.000 -16.213 -0.061 -16.706 -0.033 -16.743 -0.031 -16.785 -0.030 -16.858 -0.028 -16.857 -0.030 -16.665 -0.073 6.124 0.368 1.199 0.138 42.159 41.681
-40.000 -16.280 -0.058 -16.758 -0.031 -16.794 -0.030 -16.834 -0.028 -16.902 -0.026 -16.894 -0.028 -16.699 -0.070 6.226 0.379 1.188 0.136 42.179 41.703
-39.000 -16.348 -0.055 -16.812 -0.030 -16.845 -0.028 -16.884 -0.027 -16.946 -0.025 -16.931 -0.027 -16.733 -0.068 6.326 0.389 1.179 0.134 42.200 41.726
-38.000 -16.415 -0.053 -16.865 -0.028 -16.897 -0.027 -16.933 -0.026 -16.991 -0.024 -16.969 -0.026 -16.768 -0.065 6.427 0.400 1.171 0.133 42.222 41.750
-37.000 -16.482 -0.050 -16.918 -0.027 -16.949 -0.026 -16.983 -0.025 -17.035 -0.023 -17.007 -0.025 -16.804 -0.063 6.526 0.411 1.164 0.132 42.244 41.774
-36.000 -16.549 -0.048 -16.971 -0.026 -17.000 -0.025 -17.032 -0.024 -17.080 -0.023 -17.046 -0.025 -16.841 -0.061 6.624 0.422 1.159 0.132 42.266 41.799
-35.000 -16.615 -0.046 -17.024 -0.025 -17.052 -0.024 -17.082 -0.023 -17.125 -0.022 -17.085 -0.024 -16.877 -0.060 6.720 0.433 1.155 0.131 42.288 41.824
-34.000 -16.680 -0.044 -17.077 -0.025 -17.103 -0.023 -17.132 -0.022 -17.171 -0.021 -17.125 -0.023 -16.915 -0.058 6.814 0.443 1.153 0.131 42.310 41.848
-33.000 -16.744 -0.042 -17.129 -0.024 -17.154 -0.023 -17.181 -0.021 -17.216 -0.020 -17.165 -0.023 -16.952 -0.057 6.906 0.454 1.152 0.130 42.333 41.873
-32.000 -16.808 -0.040 -17.181 -0.023 -17.205 -0.022 -17.230 -0.021 -17.261 -0.020 -17.204 -0.022 -16.990 -0.055 6.994 0.464 1.153 0.130 42.355 41.897
-31.000 -16.871 -0.038 -17.233 -0.022 -17.255 -0.021 -17.279 -0.020 -17.305 -0.019 -17.244 -0.021 -17.028 -0.054 7.080 0.473 1.154 0.130 42.378 41.921
-30.000 -16.932 -0.037 -17.284 -0.021 -17.305 -0.020 -17.327 -0.019 -17.350 -0.018 -17.284 -0.021 -17.066 -0.053 7.162 0.481 1.157 0.130 42.400 41.944
-29.000 -16.993 -0.035 -17.334 -0.021 -17.354 -0.020 -17.375 -0.018 -17.394 -0.018 -17.324 -0.020 -17.104 -0.052 7.240 0.489 1.161 0.130 42.422 41.968
-28.000 -17.053 -0.033 -17.384 -0.020 -17.403 -0.019 -17.422 -0.018 -17.438 -0.017 -17.363 -0.020 -17.143 -0.051 7.314 0.497 1.167 0.130 42.444 41.990
-27.000 -17.111 -0.032 -17.433 -0.019 -17.451 -0.018 -17.468 -0.017 -17.481 -0.016 -17.403 -0.019 -17.181 -0.050 7.384 0.503 1.174 0.131 42.465 42.012
