"Time (MJD)" GAIA/GAIA0.G GAIA/GAIA0.G_err Misc/Atlas.cyan Misc/Atlas.cyan_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-13.000 -15.180 -0.703 -15.210 -0.665 -15.309 -0.575 -15.370 -0.728 -15.364 -0.789 -15.347 -0.879 -15.317 -0.979 -15.248 -1.145 -14.878 -1.654 -14.074 -2.303 9.211 1.528 0.306 0.076 41.682 41.601
-12.000 -16.049 -0.303 -16.084 -0.249 -16.201 -0.093 -16.280 -0.389 -16.275 -0.455 -16.259 -0.542 -16.228 -0.631 -16.154 -0.769 -15.750 -1.168 -14.856 -1.734 10.245 1.850 0.400 0.105 42.098 42.049
-11.000 -16.668 -0.220 -16.706 -0.196 -16.835 -0.187 -16.924 -0.344 -16.919 -0.373 -16.902 -0.409 -16.871 -0.442 -16.792 -0.490 -16.361 -0.648 -15.402 -1.101 11.347 2.579 0.451 0.137 42.381 42.420
-10.000 -17.069 -0.044 -17.108 -0.018 -17.239 -0.140 -17.326 -0.282 -17.320 -0.293 -17.301 -0.298 -17.266 -0.293 -17.182 -0.260 -16.725 -0.020 -15.715 -0.668 12.889 0.559 0.443 0.022 42.587 41.890
-9.000 -17.312 -0.245 -17.350 -0.246 -17.476 -0.306 -17.548 -0.454 -17.539 -0.477 -17.515 -0.503 -17.475 -0.525 -17.382 -0.553 -16.894 -0.642 -15.840 -1.047 16.054 6.499 0.392 0.167 42.862 43.124
-8.000 -17.447 -0.349 -17.483 -0.353 -17.599 -0.428 -17.649 -0.642 -17.636 -0.684 -17.605 -0.739 -17.559 -0.795 -17.454 -0.881 -16.933 -1.145 -15.838 -1.612 17.134 7.733 0.387 0.177 42.964 43.270
-7.000 -17.501 -0.222 -17.535 -0.233 -17.639 -0.358 -17.668 -0.658 -17.650 -0.716 -17.613 -0.792 -17.560 -0.871 -17.445 -0.996 -16.893 -1.371 -15.762 -1.931 18.139 8.607 0.368 0.175 43.019 43.346
-6.000 -17.493 -0.043 -17.525 -0.057 -17.621 -0.232 -17.634 -0.544 -17.612 -0.602 -17.571 -0.680 -17.513 -0.761 -17.390 -0.892 -16.814 -1.306 -15.658 -1.938 17.544 8.238 0.372 0.183 42.970 43.296
-5.000 -17.453 -0.259 -17.484 -0.249 -17.577 -0.254 -17.582 -0.390 -17.559 -0.426 -17.515 -0.479 -17.455 -0.539 -17.327 -0.644 -16.738 -1.039 -15.564 -1.721 18.906 9.637 0.353 0.172 43.055 43.409
-4.000 -17.424 -0.293 -17.456 -0.280 -17.550 -0.238 -17.554 -0.208 -17.530 -0.215 -17.486 -0.234 -17.424 -0.267 -17.295 -0.346 -16.698 -0.730 -15.511 -1.450 17.038 7.798 0.403 0.179 42.989 43.297
-3.000 -17.434 -0.162 -17.466 -0.151 -17.564 -0.113 -17.571 -0.026 -17.548 -0.012 -17.504 -0.044 -17.442 -0.092 -17.313 -0.184 -16.710 -0.562 -15.510 -1.251 11.554 2.616 0.658 0.178 42.740 42.763
-2.000 -17.471 -0.031 -17.504 -0.037 -17.606 -0.085 -17.619 -0.141 -17.596 -0.151 -17.553 -0.166 -17.492 -0.187 -17.362 -0.236 -16.756 -0.507 -15.545 -1.095 11.207 2.116 0.642 0.172 42.666 42.633
-1.000 -17.491 -0.100 -17.526 -0.101 -17.632 -0.119 -17.653 -0.140 -17.631 -0.142 -17.589 -0.146 -17.529 -0.154 -17.402 -0.182 -16.798 -0.401 -15.583 -0.938 13.191 3.734 0.537 0.179 42.794 42.913
-0.000 -17.462 -0.078 -17.498 -0.074 -17.610 -0.069 -17.641 -0.042 -17.621 -0.029 -17.582 -0.013 -17.525 -0.030 -17.402 -0.088 -16.809 -0.356 -15.606 -0.901 9.851 1.447 0.819 0.160 42.653 42.502
1.000 -17.395 -0.033 -17.433 -0.034 -17.551 -0.069 -17.595 -0.120 -17.578 -0.130 -17.543 -0.146 -17.490 -0.168 -17.373 -0.218 -16.801 -0.476 -15.622 -1.025 9.800 1.500 0.764 0.185 42.584 42.476
2.000 -17.333 -0.054 -17.372 -0.056 -17.497 -0.093 -17.557 -0.151 -17.543 -0.162 -17.512 -0.179 -17.465 -0.202 -17.356 -0.255 -16.810 -0.535 -15.662 -1.133 9.732 1.540 0.754 0.187 42.561 42.466
3.000 -17.305 -0.067 -17.346 -0.067 -17.478 -0.090 -17.554 -0.103 -17.544 -0.101 -17.518 -0.101 -17.475 -0.112 -17.375 -0.161 -16.856 -0.485 -15.742 -1.160 8.578 0.950 0.932 0.172 42.525 42.286
4.000 -17.293 -0.056 -17.335 -0.057 -17.474 -0.090 -17.566 -0.088 -17.559 -0.074 -17.539 -0.050 -17.502 -0.034 -17.412 -0.091 -16.924 -0.463 -15.850 -1.191 7.808 0.519 1.103 0.124 42.508 42.051
5.000 -17.245 -0.235 -17.288 -0.221 -17.435 -0.178 -17.545 -0.103 -17.543 -0.084 -17.529 -0.061 -17.499 -0.061 -17.422 -0.130 -16.975 -0.521 -15.958 -1.270 8.719 1.276 0.935 0.200 42.556 42.416
6.000 -17.142 -0.536 -17.186 -0.509 -17.339 -0.397 -17.472 -0.195 -17.475 -0.152 -17.469 -0.095 -17.449 -0.053 -17.387 -0.127 -16.998 -0.576 -16.064 -1.352 8.862 1.633 0.891 0.230 42.543 42.497
7.000 -17.027 -0.822 -17.071 -0.783 -17.229 -0.621 -17.383 -0.331 -17.393 -0.273 -17.395 -0.198 -17.386 -0.129 -17.343 -0.124 -17.023 -0.590 -16.195 -1.380 9.523 1.857 0.776 0.200 42.548 42.519
8.000 -16.977 -0.974 -17.020 -0.928 -17.176 -0.738 -17.341 -0.403 -17.356 -0.339 -17.366 -0.254 -17.366 -0.171 -17.341 -0.113 -17.090 -0.552 -16.379 -1.316 8.807 1.414 0.857 0.191 42.498 42.391
9.000 -17.032 -0.954 -17.071 -0.908 -17.212 -0.714 -17.370 -0.383 -17.386 -0.320 -17.399 -0.237 -17.403 -0.152 -17.389 -0.062 -17.195 -0.467 -16.593 -1.161 8.290 1.015 0.958 0.168 42.490 42.270
10.000 -17.149 -0.804 -17.180 -0.761 -17.295 -0.587 -17.422 -0.305 -17.435 -0.253 -17.446 -0.185 -17.449 -0.114 -17.439 -0.017 -17.281 -0.362 -16.774 -0.958 8.218 0.746 0.996 0.129 42.509 42.158
11.000 -17.237 -0.595 -17.260 -0.559 -17.341 -0.420 -17.428 -0.210 -17.436 -0.174 -17.442 -0.127 -17.442 -0.079 -17.430 -0.023 -17.295 -0.268 -16.864 -0.770 8.304 0.542 0.978 0.091 42.510 42.016
12.000 -17.232 -0.390 -17.249 -0.365 -17.307 -0.268 -17.368 -0.132 -17.373 -0.109 -17.376 -0.080 -17.375 -0.050 -17.363 -0.016 -17.248 -0.198 -16.871 -0.615 8.382 0.362 0.936 0.057 42.489 41.814
13.000 -17.139 -0.225 -17.155 -0.210 -17.216 -0.156 -17.287 -0.084 -17.295 -0.071 -17.302 -0.054 -17.305 -0.036 -17.301 -0.017 -17.207 -0.142 -16.848 -0.462 8.050 0.271 0.963 0.048 42.443 41.667
14.000 -17.005 -0.103 -17.029 -0.097 -17.121 -0.079 -17.244 -0.051 -17.260 -0.044 -17.278 -0.035 -17.292 -0.025 -17.301 -0.015 -17.222 -0.077 -16.820 -0.293 7.184 0.251 1.143 0.066 42.394 41.652
15.000 -16.876 -0.035 -16.912 -0.031 -17.053 -0.029 -17.248 -0.023 -17.275 -0.021 -17.306 -0.018 -17.330 -0.016 -17.350 -0.017 -17.258 -0.023 -16.740 -0.197 6.503 0.268 1.363 0.106 42.374 41.729
16.000 -16.774 -0.033 -16.822 -0.027 -17.008 -0.015 -17.261 -0.005 -17.296 -0.003 -17.333 -0.007 -17.362 -0.012 -17.381 -0.022 -17.235 -0.060 -16.536 -0.260 5.655 0.212 1.843 0.150 42.393 41.739
17.000 -16.708 -0.032 -16.764 -0.027 -16.977 -0.019 -17.254 -0.015 -17.289 -0.014 -17.324 -0.013 -17.348 -0.015 -17.353 -0.021 -17.119 -0.082 -16.217 -0.334 5.576 0.273 1.871 0.205 42.382 41.850
18.000 -16.681 -0.024 -16.739 -0.020 -16.960 -0.016 -17.232 -0.016 -17.263 -0.015 -17.292 -0.012 -17.306 -0.010 -17.292 -0.014 -16.974 -0.093 -15.914 -0.386 5.653 0.268 1.780 0.186 42.363 41.813
19.000 -16.666 -0.029 -16.725 -0.023 -16.947 -0.012 -17.213 -0.019 -17.241 -0.021 -17.267 -0.023 -17.276 -0.026 -17.254 -0.037 -16.902 -0.131 -15.788 -0.455 5.710 0.322 1.721 0.226 42.351 41.890
20.000 -16.615 -0.037 -16.676 -0.030 -16.905 -0.015 -17.187 -0.027 -17.219 -0.029 -17.250 -0.031 -17.265 -0.035 -17.253 -0.048 -16.942 -0.161 -15.903 -0.518 5.570 0.302 1.796 0.234 42.345 41.875
21.000 -16.515 -0.045 -16.579 -0.038 -16.822 -0.024 -17.137 -0.033 -17.177 -0.032 -17.220 -0.030 -17.248 -0.028 -17.261 -0.032 -17.044 -0.155 -16.175 -0.539 5.242 0.218 2.028 0.205 42.345 41.763
22.000 -16.419 -0.050 -16.485 -0.043 -16.738 -0.029 -17.077 -0.036 -17.124 -0.034 -17.176 -0.030 -17.217 -0.023 -17.252 -0.015 -17.130 -0.145 -16.452 -0.540 5.020 0.140 2.198 0.148 42.340 41.583
23.000 -16.399 -0.043 -16.464 -0.036 -16.712 -0.021 -17.046 -0.029 -17.093 -0.028 -17.146 -0.025 -17.189 -0.023 -17.232 -0.031 -17.163 -0.165 -16.635 -0.562 4.920 0.099 2.295 0.120 42.342 41.462
24.000 -16.458 -0.035 -16.519 -0.028 -16.753 -0.019 -17.057 -0.023 -17.099 -0.021 -17.146 -0.020 -17.183 -0.024 -17.220 -0.045 -17.162 -0.195 -16.734 -0.587 5.058 0.076 2.160 0.082 42.338 41.324
25.000 -16.514 -0.058 -16.573 -0.053 -16.796 -0.045 -17.076 -0.034 -17.113 -0.030 -17.154 -0.025 -17.187 -0.027 -17.217 -0.050 -17.163 -0.200 -16.816 -0.564 5.073 0.129 2.160 0.133 42.343 41.546
