"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-12.010 15.032 0.125 0.250 0.000 2273859408934722510266421402562001178198016.000 75500337433350877350141741450239267569664.000
-11.003 14.769 0.127 0.250 0.000 2118956236481689335562256288203960118935552.000 72885366289641488053504590432028789309440.000
-9.996 6.156 0.136 1.068 0.049 1166549011166887534267830751632535010148352.000 16427712784958074180635319746496271745024.000
-8.989 6.182 0.135 1.071 0.049 1192784288712705638451382549536602496958464.000 16456041760656319018653973664955312898048.000
-7.982 6.207 0.134 1.074 0.048 1219604866737460394304222434682694560382976.000 16489406256507455469656997471990541451264.000
-6.975 6.231 0.133 1.077 0.048 1247010689857362761360745391920021602566144.000 16527701070322537862033248530454835888128.000
-5.969 7.649 0.206 0.763 0.037 1421324440546034337428257891403078406504448.000 23969223155606224786348304844607216156672.000
-4.962 7.696 0.206 0.764 0.036 1458625292931211794095609848235398738739200.000 24668320264428112830550804935842319040512.000
-3.955 7.738 0.205 0.765 0.036 1496104459679308747264021544987008700514304.000 25294751337214807062631733240861672079360.000
-2.948 7.224 0.157 0.897 0.036 1560090259386404901934528921741643994890240.000 18866451130148452268630953675996537028608.000
-1.941 7.238 0.155 0.903 0.036 1596657910309096756606183630362371294232576.000 18986566609585103783972664936135150010368.000
-0.934 7.250 0.152 0.911 0.036 1633332079880772502403204796376417229078528.000 19045261299738122278532566945415877885952.000
0.073 6.417 0.097 1.213 0.037 1778149797040640503031455614187763031605248.000 14918635076107284211353526452090629521408.000
1.080 6.431 0.095 1.219 0.037 1812289805186119791266048128751121475829760.000 14869379020097555059394626803245602832384.000
2.087 6.434 0.093 1.229 0.036 1844785495032519305524613986878237874061312.000 14783322589681750762981288508461586317312.000
3.094 6.441 0.091 1.237 0.036 1877048446706994266321901738997437840752640.000 14722496426926157249820073068856386519040.000
4.100 6.432 0.089 1.252 0.035 1911659884726027261873275115246427469512704.000 14709837452263865193250139164393647112192.000
5.107 6.430 0.087 1.262 0.035 1939318146852309834373073991866262673686528.000 14601742357989205838264822589965679460352.000
6.114 6.422 0.085 1.273 0.035 1964757908369829391321639198156023918493696.000 14490786904571012613516182440390313377792.000
