"Time (MJD)" Misc/Atlas.cyan Misc/Atlas.cyan_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-8.000 -18.047 -0.076 -18.086 -0.077 -18.043 -0.104 -17.681 -0.074 -17.632 -0.068 -17.575 -0.068 -17.424 -0.079 -16.207 -0.190 -16.202 -0.547 26.178 27.053 0.310 0.246 43.507 44.153
-7.000 -18.100 -0.062 -18.144 -0.063 -18.116 -0.089 -17.780 -0.059 -17.738 -0.054 -17.689 -0.055 -17.555 -0.066 -16.408 -0.177 -16.447 -0.482 33.199 33.113 0.277 0.196 43.822 44.449
-6.000 -18.142 -0.050 -18.190 -0.051 -18.178 -0.076 -17.868 -0.047 -17.832 -0.042 -17.791 -0.043 -17.674 -0.055 -16.595 -0.167 -16.678 -0.419 34.833 28.302 0.281 0.160 43.917 44.455
-5.000 -18.174 -0.040 -18.226 -0.041 -18.229 -0.066 -17.943 -0.037 -17.913 -0.033 -17.881 -0.034 -17.779 -0.047 -16.769 -0.160 -16.895 -0.359 33.088 21.039 0.302 0.138 43.892 44.324
-4.000 -18.195 -0.034 -18.252 -0.034 -18.269 -0.058 -18.007 -0.030 -17.983 -0.026 -17.958 -0.028 -17.872 -0.040 -16.930 -0.154 -17.097 -0.303 29.452 14.982 0.339 0.129 43.789 44.126
-3.000 -18.208 -0.029 -18.268 -0.029 -18.300 -0.052 -18.060 -0.027 -18.042 -0.023 -18.024 -0.023 -17.953 -0.035 -17.077 -0.150 -17.286 -0.251 15.062 2.465 0.624 0.106 43.154 43.022
-2.000 -18.212 -0.028 -18.276 -0.026 -18.321 -0.048 -18.103 -0.026 -18.090 -0.022 -18.079 -0.021 -18.023 -0.032 -17.212 -0.147 -17.459 -0.203 13.221 1.610 0.731 0.100 43.066 42.813
-1.000 -18.207 -0.027 -18.275 -0.026 -18.334 -0.046 -18.136 -0.028 -18.128 -0.023 -18.124 -0.021 -18.082 -0.030 -17.334 -0.144 -17.619 -0.160 11.971 1.180 0.832 0.099 43.005 42.669
-0.000 -18.195 -0.028 -18.266 -0.026 -18.339 -0.046 -18.160 -0.031 -18.157 -0.026 -18.159 -0.022 -18.130 -0.029 -17.444 -0.142 -17.764 -0.125 11.016 0.919 0.931 0.100 42.959 42.557
1.000 -18.176 -0.030 -18.251 -0.027 -18.336 -0.046 -18.176 -0.034 -18.177 -0.029 -18.185 -0.024 -18.169 -0.029 -17.542 -0.140 -17.894 -0.100 10.223 0.737 1.034 0.101 42.920 42.462
