"Time (MJD)" Misc/Atlas.cyan Misc/Atlas.cyan_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-8.000 -18.079 -0.065 -18.104 -0.065 -18.115 -0.087 -17.738 -0.073 -17.675 -0.064 -17.645 -0.060 -17.670 -0.075 -17.871 -0.271 25.469 5.003 0.344 0.053 43.551 43.477
-7.000 -18.120 -0.056 -18.147 -0.055 -18.169 -0.078 -17.815 -0.064 -17.756 -0.056 -17.729 -0.052 -17.756 -0.066 -17.936 -0.262 21.518 2.808 0.408 0.045 43.406 43.159
-6.000 -18.153 -0.048 -18.182 -0.047 -18.215 -0.070 -17.885 -0.056 -17.830 -0.048 -17.806 -0.044 -17.834 -0.059 -17.994 -0.254 18.543 1.717 0.479 0.041 43.286 42.896
-5.000 -18.177 -0.041 -18.209 -0.041 -18.253 -0.063 -17.948 -0.050 -17.897 -0.042 -17.876 -0.038 -17.905 -0.052 -18.046 -0.245 16.354 1.168 0.553 0.039 43.192 42.695
-4.000 -18.194 -0.036 -18.228 -0.035 -18.283 -0.057 -18.004 -0.045 -17.956 -0.037 -17.938 -0.033 -17.970 -0.046 -18.091 -0.237 14.659 0.779 0.631 0.036 43.117 42.499
-3.000 -18.204 -0.033 -18.239 -0.031 -18.306 -0.053 -18.052 -0.043 -18.009 -0.034 -17.994 -0.029 -18.027 -0.042 -18.130 -0.228 13.259 0.553 0.716 0.034 43.053 42.336
-2.000 -18.206 -0.030 -18.244 -0.028 -18.321 -0.051 -18.093 -0.041 -18.054 -0.033 -18.042 -0.027 -18.078 -0.038 -18.162 -0.220 12.130 0.415 0.806 0.033 43.001 42.206
-1.000 -18.202 -0.030 -18.242 -0.027 -18.329 -0.049 -18.127 -0.042 -18.092 -0.033 -18.084 -0.026 -18.121 -0.036 -18.189 -0.211 11.219 0.343 0.898 0.035 42.960 42.121
-0.000 -18.191 -0.030 -18.233 -0.028 -18.331 -0.049 -18.154 -0.043 -18.124 -0.034 -18.119 -0.027 -18.158 -0.034 -18.210 -0.202 10.434 0.279 0.996 0.036 42.923 42.035
1.000 -18.175 -0.031 -18.219 -0.029 -18.327 -0.051 -18.174 -0.045 -18.148 -0.036 -18.147 -0.028 -18.189 -0.034 -18.226 -0.194 9.779 0.254 1.095 0.040 42.893 41.998
