"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-19.000 -18.136 -0.073 -18.116 -0.070 -18.198 -0.082 -18.151 -0.137 8.158 0.465 1.423 0.127 42.806 41.428
-18.900 -18.158 -0.072 -18.139 -0.069 -18.221 -0.081 -18.172 -0.136 8.180 0.457 1.432 0.124 42.816 41.327
-18.800 -18.181 -0.071 -18.161 -0.068 -18.243 -0.080 -18.193 -0.135 8.203 0.460 1.441 0.125 42.826 41.511
-18.700 -18.203 -0.070 -18.184 -0.067 -18.266 -0.079 -18.214 -0.133 8.204 0.450 1.454 0.123 42.834 41.565
-18.600 -18.225 -0.069 -18.206 -0.066 -18.288 -0.077 -18.234 -0.132 8.197 0.437 1.473 0.123 42.844 41.240
-18.500 -18.246 -0.067 -18.228 -0.065 -18.309 -0.076 -18.254 -0.130 8.188 0.443 1.490 0.125 42.852 41.603
-18.400 -18.268 -0.066 -18.250 -0.064 -18.331 -0.075 -18.274 -0.129 8.193 0.426 1.503 0.122 42.860 41.448
-18.300 -18.289 -0.065 -18.272 -0.063 -18.352 -0.074 -18.294 -0.128 8.222 0.443 1.509 0.125 42.870 41.631
-18.200 -18.310 -0.064 -18.294 -0.063 -18.374 -0.073 -18.314 -0.126 8.214 0.420 1.527 0.122 42.879 41.455
-18.100 -18.331 -0.063 -18.315 -0.062 -18.395 -0.072 -18.333 -0.125 8.210 0.404 1.543 0.119 42.887 41.352
-18.000 -18.352 -0.062 -18.336 -0.061 -18.415 -0.071 -18.353 -0.124 8.212 0.398 1.558 0.118 42.895 41.431
-17.900 -18.372 -0.061 -18.357 -0.060 -18.436 -0.070 -18.372 -0.122 8.202 0.399 1.575 0.120 42.903 41.523
-17.800 -18.392 -0.060 -18.378 -0.059 -18.456 -0.069 -18.390 -0.121 8.220 0.388 1.583 0.116 42.912 41.555
-17.700 -18.412 -0.059 -18.399 -0.058 -18.476 -0.068 -18.409 -0.120 8.237 0.383 1.593 0.114 42.921 41.463
-17.600 -18.432 -0.058 -18.419 -0.057 -18.496 -0.067 -18.427 -0.118 8.230 0.384 1.610 0.117 42.928 41.440
-17.500 -18.451 -0.057 -18.439 -0.056 -18.516 -0.066 -18.445 -0.117 8.229 0.375 1.626 0.116 42.936 41.473
-17.400 -18.470 -0.056 -18.459 -0.056 -18.535 -0.065 -18.463 -0.116 8.242 0.376 1.636 0.116 42.945 41.482
-17.300 -18.489 -0.056 -18.478 -0.055 -18.555 -0.064 -18.480 -0.115 8.263 0.370 1.644 0.116 42.953 41.535
-17.200 -18.508 -0.055 -18.498 -0.054 -18.574 -0.064 -18.498 -0.113 8.245 0.358 1.664 0.113 42.960 41.419
-17.100 -18.527 -0.054 -18.517 -0.053 -18.592 -0.063 -18.515 -0.112 8.252 0.354 1.677 0.112 42.968 41.519
-17.000 -18.545 -0.053 -18.536 -0.053 -18.611 -0.062 -18.532 -0.111 8.241 0.348 1.695 0.111 42.975 41.252
-16.900 -18.563 -0.052 -18.554 -0.052 -18.629 -0.061 -18.548 -0.110 8.257 0.351 1.704 0.114 42.983 41.502
-16.800 -18.581 -0.051 -18.573 -0.051 -18.647 -0.060 -18.564 -0.108 8.247 0.339 1.721 0.110 42.990 41.339
-16.700 -18.598 -0.051 -18.591 -0.050 -18.665 -0.059 -18.580 -0.107 8.250 0.332 1.733 0.109 42.996 41.579
-16.600 -18.615 -0.050 -18.609 -0.050 -18.682 -0.059 -18.596 -0.106 8.252 0.331 1.747 0.109 43.004 41.499
-16.500 -18.632 -0.049 -18.626 -0.049 -18.699 -0.058 -18.612 -0.105 8.265 0.323 1.757 0.107 43.011 41.521
-16.400 -18.649 -0.048 -18.643 -0.049 -18.716 -0.057 -18.627 -0.104 8.256 0.314 1.773 0.106 43.017 41.426
-16.300 -18.665 -0.048 -18.661 -0.048 -18.733 -0.057 -18.642 -0.103 8.261 0.315 1.785 0.106 43.024 41.526
-16.200 -18.682 -0.047 -18.677 -0.047 -18.749 -0.056 -18.656 -0.101 8.256 0.308 1.801 0.105 43.031 41.484
-16.100 -18.697 -0.046 -18.694 -0.047 -18.766 -0.055 -18.671 -0.100 8.250 0.319 1.816 0.110 43.037 41.629
-16.000 -18.713 -0.046 -18.710 -0.046 -18.782 -0.054 -18.685 -0.099 8.271 0.311 1.823 0.107 43.045 41.655
-15.900 -18.728 -0.045 -18.726 -0.046 -18.797 -0.054 -18.698 -0.098 8.271 0.304 1.837 0.106 43.051 41.567
-15.800 -18.743 -0.044 -18.742 -0.045 -18.812 -0.053 -18.712 -0.097 8.260 0.295 1.852 0.103 43.056 41.586
-15.700 -18.758 -0.044 -18.757 -0.044 -18.828 -0.053 -18.725 -0.096 8.278 0.302 1.860 0.106 43.064 41.610
