"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-39.161 2.500 0.000 8.275 1.111 42.280 41.709
-38.157 2.500 0.000 8.189 1.075 42.271 41.690
-37.152 2.500 0.000 8.146 1.058 42.267 41.681
-36.148 2.500 0.000 8.122 1.006 42.264 41.658
-35.144 2.500 0.000 8.103 0.995 42.262 41.652
-34.139 2.500 0.000 8.002 0.910 42.251 41.608
-33.135 2.500 0.000 8.012 0.882 42.252 41.595
-32.130 2.500 0.000 7.949 0.849 42.245 41.575
-31.126 2.500 0.000 7.877 0.817 42.237 41.554
-30.121 2.500 0.000 7.808 0.785 42.230 41.533
-29.117 2.500 0.000 7.741 0.755 42.222 41.512
-28.112 2.500 0.000 7.677 0.725 42.215 41.491
-27.108 2.500 0.000 7.615 0.697 42.208 41.470
-26.103 2.500 0.000 7.555 0.669 42.201 41.449
-25.099 2.500 0.000 7.523 0.676 42.197 41.452
-24.094 2.500 0.000 7.459 0.642 42.190 41.426
-23.090 2.500 0.000 7.432 0.615 42.187 41.406
-22.085 2.500 0.000 7.363 0.599 42.179 41.390
-21.081 2.500 0.000 7.295 0.583 42.171 41.374
-20.076 2.500 0.000 7.261 0.557 42.167 41.353
-19.072 2.500 0.000 7.228 0.533 42.163 41.331
-18.067 2.500 0.000 7.201 0.520 42.159 41.319
-17.063 2.500 0.000 7.174 0.508 42.156 41.307
-16.059 2.500 0.000 7.147 0.496 42.153 41.295
-15.054 2.500 0.000 7.120 0.484 42.150 41.283
-14.050 2.500 0.000 7.093 0.472 42.146 41.271
-13.045 2.500 0.000 7.065 0.461 42.143 41.258
-12.041 2.500 0.000 7.038 0.450 42.139 41.246
-11.036 2.500 0.000 7.026 0.444 42.138 41.240
-10.032 2.500 0.000 7.014 0.438 42.137 41.233
-9.027 2.500 0.000 7.001 0.433 42.135 41.227
-8.023 2.500 0.000 6.989 0.427 42.133 41.220
-7.018 2.500 0.000 6.975 0.421 42.132 41.214
-6.014 2.500 0.000 6.962 0.416 42.130 41.207
-5.009 2.500 0.000 6.948 0.410 42.128 41.201
-4.005 2.500 0.000 6.934 0.405 42.127 41.194
-3.000 2.500 0.000 6.920 0.400 42.125 41.187
-1.996 2.500 0.000 6.906 0.394 42.123 41.181
-0.991 2.500 0.000 6.891 0.389 42.121 41.174
0.013 2.500 0.000 6.877 0.384 42.119 41.168
1.018 2.500 0.000 6.855 0.381 42.117 41.162
2.022 2.500 0.000 6.832 0.377 42.114 41.157
3.026 2.500 0.000 6.809 0.374 42.111 41.151
4.031 2.500 0.000 6.786 0.370 42.108 41.146
5.035 2.500 0.000 6.764 0.367 42.105 41.141
6.040 2.500 0.000 6.741 0.364 42.102 41.136
7.044 2.500 0.000 6.719 0.361 42.099 41.131
8.049 2.500 0.000 6.698 0.358 42.096 41.126
9.053 2.500 0.000 6.671 0.350 42.093 41.113
10.058 2.500 0.000 6.645 0.342 42.090 41.102
11.062 2.500 0.000 6.619 0.335 42.086 41.091
12.067 2.500 0.000 6.597 0.329 42.083 41.082
13.071 2.500 0.000 6.575 0.324 42.080 41.075
14.076 2.500 0.000 6.553 0.320 42.078 41.067
15.080 2.500 0.000 6.532 0.316 42.075 41.061
16.085 2.500 0.000 6.511 0.313 42.072 41.054
17.089 2.500 0.000 6.492 0.310 42.069 41.049
18.094 2.500 0.000 6.483 0.312 42.068 41.051
19.098 2.500 0.000 6.475 0.315 42.067 41.055
20.103 2.500 0.000 6.466 0.319 42.066 41.060
21.107 2.500 0.000 6.458 0.324 42.065 41.066
22.111 2.500 0.000 6.451 0.330 42.064 41.073
23.116 2.500 0.000 6.443 0.336 42.063 41.081
24.120 2.500 0.000 6.395 0.320 42.056 41.057
25.125 2.500 0.000 6.371 0.319 42.053 41.053
26.129 2.500 0.000 6.348 0.318 42.050 41.050
27.134 2.500 0.000 6.325 0.316 42.047 41.047
28.138 2.500 0.000 6.302 0.315 42.043 41.043
29.143 2.500 0.000 6.278 0.314 42.040 41.040
30.147 2.500 0.000 6.255 0.312 42.037 41.036
31.152 2.500 0.000 6.232 0.311 42.034 41.033
32.156 2.500 0.000 6.208 0.309 42.031 41.029
33.161 2.500 0.000 6.185 0.308 42.027 41.025
34.165 2.500 0.000 6.162 0.306 42.024 41.021
35.170 2.500 0.000 6.138 0.305 42.021 41.018
36.174 2.500 0.000 6.115 0.303 42.017 41.014
37.179 2.500 0.000 6.092 0.302 42.014 41.010
38.183 2.500 0.000 6.068 0.300 42.011 41.006
39.188 2.500 0.000 6.019 0.292 42.004 40.991
40.192 2.500 0.000 5.970 0.285 41.997 40.977
41.196 2.500 0.000 5.922 0.279 41.990 40.963
42.201 2.500 0.000 5.875 0.272 41.983 40.949
43.205 2.500 0.000 5.829 0.266 41.976 40.936
44.210 2.500 0.000 5.783 0.260 41.969 40.923
45.214 2.500 0.000 5.739 0.254 41.962 40.910
46.219 2.500 0.000 5.694 0.249 41.955 40.898
