"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-4.128 20.069 2.464 0.525 0.058 43.503 42.936
-3.126 19.177 2.190 0.579 0.061 43.510 42.901
-2.125 20.280 2.100 0.523 0.049 43.518 42.878
-1.123 21.510 2.302 0.531 0.050 43.633 43.016
-0.121 18.637 1.259 0.644 0.040 43.552 42.716
0.880 15.904 0.835 0.769 0.041 43.431 42.450
1.882 14.333 0.632 0.872 0.042 43.359 42.273
2.884 14.032 0.590 0.897 0.041 43.347 42.234
3.885 14.366 0.616 0.872 0.040 43.363 42.266
4.887 14.741 0.647 0.846 0.040 43.382 42.302
5.889 15.104 0.678 0.822 0.039 43.399 42.336
6.890 14.608 0.620 0.846 0.038 43.366 42.268
7.892 14.128 0.567 0.870 0.038 43.333 42.200
8.894 13.676 0.520 0.895 0.038 43.301 42.134
9.895 13.352 0.488 0.910 0.038 43.274 42.081
10.897 12.923 0.449 0.934 0.038 43.239 42.013
11.899 11.582 0.345 1.041 0.039 43.143 41.803
12.900 10.501 0.273 1.153 0.041 43.062 41.609
13.902 10.112 0.221 1.175 0.035 43.012 41.477
14.904 9.983 0.213 1.179 0.035 42.992 41.439
15.905 9.717 0.198 1.202 0.035 42.963 41.372
16.907 9.494 0.184 1.224 0.034 42.938 41.311
17.909 9.286 0.174 1.250 0.035 42.918 41.259
18.910 9.113 0.165 1.270 0.035 42.899 41.214
19.912 8.948 0.157 1.291 0.035 42.881 41.170
20.914 8.790 0.150 1.311 0.035 42.864 41.127
21.915 8.645 0.144 1.331 0.035 42.848 41.087
22.917 8.506 0.138 1.350 0.035 42.832 41.048
23.919 8.377 0.133 1.367 0.035 42.817 41.012
24.920 8.359 0.132 1.356 0.034 42.806 40.998
25.922 8.337 0.131 1.346 0.034 42.795 40.984
26.924 8.294 0.129 1.341 0.033 42.782 40.965
27.925 8.292 0.129 1.326 0.033 42.773 40.957
28.927 8.273 0.128 1.317 0.033 42.763 40.946
29.929 8.151 0.124 1.338 0.033 42.750 40.916
30.930 8.034 0.121 1.359 0.033 42.739 40.888
31.932 7.920 0.118 1.379 0.034 42.727 40.860
32.934 7.805 0.114 1.402 0.034 42.716 40.833
33.935 7.696 0.111 1.426 0.035 42.706 40.807
34.937 7.675 0.111 1.424 0.035 42.700 40.802
35.939 7.646 0.110 1.425 0.035 42.694 40.795
36.940 7.567 0.108 1.440 0.035 42.685 40.775
37.942 7.486 0.106 1.455 0.035 42.676 40.755
38.944 7.442 0.105 1.457 0.035 42.666 40.742
39.945 7.560 0.109 1.398 0.034 42.658 40.760
40.947 7.662 0.113 1.347 0.033 42.649 40.774
41.949 7.512 0.108 1.381 0.034 42.636 40.739
42.951 7.409 0.105 1.401 0.034 42.625 40.713
43.952 7.252 0.101 1.442 0.035 42.612 40.679
44.954 7.157 0.099 1.462 0.036 42.602 40.656
45.956 7.046 0.096 1.490 0.036 42.591 40.632
46.957 6.942 0.094 1.513 0.037 42.578 40.608
47.959 6.838 0.092 1.538 0.038 42.566 40.585
48.961 6.737 0.090 1.563 0.039 42.555 40.563
49.962 6.639 0.088 1.588 0.039 42.543 40.543
50.964 6.546 0.087 1.613 0.040 42.532 40.526
51.966 6.466 0.086 1.634 0.041 42.522 40.512
52.967 6.392 0.085 1.654 0.042 42.512 40.500
53.969 6.321 0.084 1.673 0.043 42.503 40.489
54.971 6.251 0.083 1.693 0.044 42.494 40.480
55.972 6.187 0.082 1.711 0.045 42.485 40.473
56.974 6.199 0.084 1.694 0.045 42.480 40.473
57.976 6.227 0.086 1.669 0.045 42.475 40.475
58.977 6.259 0.088 1.642 0.045 42.470 40.478
59.979 6.293 0.091 1.615 0.045 42.464 40.481
60.981 6.322 0.093 1.591 0.045 42.460 40.485
61.982 6.330 0.094 1.580 0.045 42.456 40.488
62.984 6.365 0.097 1.550 0.045 42.449 40.490
63.986 6.483 0.101 1.454 0.042 42.425 40.489
64.987 6.635 0.108 1.346 0.040 42.399 40.494
65.989 6.822 0.116 1.235 0.038 42.372 40.507
66.991 7.050 0.127 1.122 0.035 42.345 40.531
67.992 7.109 0.132 1.075 0.034 42.323 40.528
68.994 6.503 0.111 1.272 0.040 42.314 40.422
69.996 6.043 0.096 1.476 0.046 42.316 40.380
70.997 5.755 0.088 1.653 0.052 42.330 40.394
71.999 5.551 0.082 1.800 0.057 42.341 40.420
73.001 5.522 0.082 1.812 0.058 42.337 40.425
74.002 5.492 0.082 1.822 0.059 42.333 40.429
75.004 5.469 0.083 1.826 0.060 42.327 40.432
76.006 5.493 0.084 1.786 0.059 42.316 40.423
77.007 5.523 0.086 1.744 0.058 42.305 40.414
78.009 5.558 0.088 1.693 0.057 42.290 40.401
79.011 5.591 0.092 1.634 0.057 42.269 40.383
80.012 5.597 0.092 1.623 0.056 42.266 40.385
81.014 5.686 0.096 1.542 0.054 42.248 40.368
82.016 5.459 0.104 1.678 0.071 42.251 40.443
83.017 5.513 0.107 1.620 0.069 42.238 40.428
84.019 5.560 0.110 1.568 0.068 42.224 40.413
85.021 5.570 0.112 1.534 0.067 42.208 40.402
86.022 5.579 0.114 1.503 0.066 42.193 40.393
87.024 5.616 0.118 1.445 0.065 42.170 40.370
88.026 5.637 0.121 1.409 0.065 42.155 40.358
89.027 5.651 0.123 1.380 0.064 42.141 40.349
90.029 5.247 0.124 1.575 0.083 42.127 40.402
91.031 5.256 0.126 1.540 0.082 42.111 40.391
92.032 5.263 0.128 1.508 0.081 42.094 40.379
93.034 4.387 0.182 2.420 0.298 42.189 41.116
94.036 4.497 0.194 2.225 0.279 42.159 41.072
95.037 4.606 0.207 2.055 0.262 42.132 41.031
96.039 4.692 0.218 1.936 0.250 42.112 41.001
97.041 4.781 0.230 1.823 0.240 42.093 40.971
98.042 4.874 0.242 1.717 0.229 42.074 40.940
99.044 4.970 0.256 1.617 0.219 42.056 40.907
100.046 5.071 0.271 1.522 0.210 42.038 40.874
101.047 5.176 0.286 1.433 0.201 42.021 40.840
102.049 5.285 0.303 1.349 0.192 42.005 40.805
103.051 5.400 0.322 1.269 0.184 41.989 40.768
104.052 5.520 0.342 1.194 0.176 41.975 40.729
105.054 5.646 0.363 1.123 0.168 41.961 40.689
106.056 5.778 0.386 1.057 0.161 41.948 40.648
107.057 5.916 0.412 0.993 0.154 41.935 40.605
108.059 6.062 0.440 0.934 0.148 41.924 40.563
109.061 6.216 0.470 0.878 0.141 41.914 40.524
110.062 6.379 0.503 0.825 0.135 41.904 40.492
111.064 6.551 0.540 0.775 0.130 41.896 40.475
112.066 6.734 0.581 0.727 0.124 41.889 40.477
113.067 6.928 0.626 0.682 0.119 41.883 40.503
114.069 7.135 0.676 0.640 0.114 41.879 40.548
115.071 7.356 0.732 0.600 0.109 41.876 40.608
116.072 7.592 0.794 0.563 0.105 41.875 40.676
117.074 7.846 0.865 0.527 0.100 41.875 40.747
118.076 8.120 0.945 0.493 0.096 41.877 40.820
119.077 8.415 1.035 0.461 0.092 41.881 40.894
120.079 8.736 1.139 0.431 0.089 41.887 40.968
121.081 9.086 1.259 0.402 0.085 41.895 41.043
122.082 9.468 1.398 0.375 0.082 41.906 41.120
123.084 9.890 1.561 0.350 0.079 41.920 41.198
124.086 10.356 1.752 0.325 0.076 41.938 41.278
125.087 10.875 1.981 0.302 0.073 41.959 41.362
126.089 11.457 2.256 0.280 0.070 41.984 41.450
127.091 12.115 2.592 0.259 0.068 42.013 41.543
128.092 12.867 3.008 0.239 0.065 42.049 41.643
129.094 13.734 3.530 0.220 0.063 42.090 41.750
130.096 14.748 4.200 0.202 0.062 42.140 41.868
131.097 15.950 5.078 0.185 0.060 42.198 41.997
132.099 17.338 6.210 0.169 0.059 42.264 42.134
133.101 18.009 6.861 0.162 0.058 42.292 42.198
134.102 19.154 7.990 0.151 0.058 42.342 42.300
135.104 20.728 9.669 0.140 0.057 42.411 42.431
136.106 22.771 12.092 0.128 0.057 42.497 42.589
137.108 25.387 15.610 0.116 0.057 42.601 42.771
138.109 32.602 27.409 0.095 0.058 42.863 43.195
139.111 32.975 1.787 0.095 0.000 42.883 42.219
140.113 32.975 1.802 0.095 0.000 42.883 42.223
141.114 32.955 1.818 0.095 0.000 42.882 42.226
142.116 32.935 1.833 0.095 0.000 42.881 42.229
143.118 32.915 1.848 0.095 0.000 42.880 42.231
144.119 32.895 1.863 0.095 0.000 42.879 42.234
