"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-4.128 19.956 1.880 0.528 0.045 43.498 42.812
-3.120 19.103 1.679 0.581 0.048 43.505 42.780
-2.113 25.094 2.115 0.418 0.029 43.693 42.995
-1.105 26.722 2.337 0.430 0.030 43.828 43.153
-0.097 22.137 1.157 0.547 0.024 43.709 42.789
0.911 16.771 0.577 0.727 0.025 43.474 42.321
1.918 14.365 0.384 0.871 0.025 43.362 42.057
2.926 14.268 0.371 0.879 0.025 43.358 42.039
3.934 14.583 0.385 0.856 0.024 43.373 42.067
4.941 14.932 0.402 0.832 0.024 43.390 42.099
5.949 15.281 0.419 0.810 0.023 43.406 42.130
6.957 15.062 0.400 0.817 0.023 43.389 42.095
7.965 14.822 0.381 0.826 0.023 43.371 42.059
8.972 14.570 0.363 0.836 0.022 43.351 42.020
9.980 14.372 0.349 0.842 0.022 43.333 41.987
10.988 13.940 0.323 0.862 0.022 43.300 41.924
11.995 11.923 0.224 1.004 0.023 43.162 41.633
13.003 10.456 0.164 1.155 0.025 43.055 41.380
14.011 9.761 0.129 1.225 0.023 42.987 41.205
15.018 9.739 0.128 1.209 0.023 42.972 41.186
16.026 9.628 0.123 1.208 0.022 42.951 41.148
17.034 9.474 0.116 1.221 0.022 42.932 41.103
18.042 9.265 0.110 1.247 0.022 42.912 41.055
19.049 9.083 0.105 1.270 0.022 42.893 41.012
20.057 8.908 0.100 1.293 0.022 42.875 40.970
21.065 8.742 0.096 1.316 0.022 42.858 40.930
22.072 8.586 0.092 1.338 0.022 42.841 40.892
23.080 8.436 0.088 1.361 0.023 42.825 40.855
24.088 8.299 0.085 1.382 0.023 42.810 40.822
25.096 8.301 0.085 1.365 0.022 42.800 40.816
26.103 8.297 0.086 1.350 0.022 42.789 40.810
27.111 8.268 0.085 1.341 0.022 42.777 40.798
28.119 8.266 0.086 1.326 0.022 42.767 40.793
29.126 8.244 0.085 1.317 0.022 42.756 40.784
30.134 8.091 0.083 1.347 0.022 42.743 40.753
31.142 7.944 0.080 1.377 0.022 42.731 40.723
32.150 7.803 0.078 1.408 0.023 42.719 40.694
33.157 7.664 0.075 1.440 0.024 42.707 40.665
34.165 7.547 0.074 1.469 0.024 42.698 40.642
35.173 7.530 0.074 1.466 0.024 42.692 40.641
36.180 7.507 0.074 1.466 0.024 42.687 40.638
37.188 7.459 0.074 1.472 0.025 42.679 40.629
38.196 7.389 0.073 1.485 0.025 42.671 40.615
39.203 7.371 0.074 1.478 0.025 42.662 40.610
40.211 7.540 0.078 1.397 0.024 42.653 40.638
41.219 7.681 0.082 1.331 0.023 42.643 40.660
42.227 7.532 0.079 1.363 0.024 42.629 40.627
43.234 7.398 0.077 1.393 0.024 42.617 40.598
44.242 7.298 0.076 1.413 0.025 42.606 40.575
45.250 7.181 0.074 1.440 0.025 42.594 40.550
46.257 7.062 0.072 1.470 0.026 42.583 40.524
47.265 6.914 0.070 1.511 0.027 42.570 40.494
48.273 6.827 0.069 1.529 0.028 42.559 40.474
49.281 6.697 0.068 1.568 0.029 42.547 40.448
50.288 6.616 0.067 1.587 0.029 42.536 40.431
51.296 6.524 0.066 1.612 0.030 42.526 40.414
52.304 6.439 0.065 1.637 0.031 42.516 40.399
53.311 6.358 0.065 1.661 0.032 42.507 40.386
54.319 6.279 0.064 1.685 0.033 42.498 40.375
55.327 6.204 0.063 1.709 0.034 42.489 40.365
56.335 6.135 0.063 1.731 0.035 42.481 40.357
