"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-4.128 20.243 1.942 0.521 0.045 43.511 42.836
-3.120 19.295 1.719 0.576 0.048 43.515 42.797
-2.113 25.274 2.149 0.415 0.029 43.700 43.007
-1.105 26.886 2.369 0.428 0.030 43.835 43.164
-0.097 22.121 1.155 0.547 0.024 43.708 42.788
0.911 16.763 0.576 0.727 0.025 43.474 42.320
1.918 14.360 0.383 0.872 0.025 43.362 42.056
2.926 14.264 0.371 0.879 0.025 43.358 42.038
3.934 14.579 0.385 0.856 0.024 43.373 42.067
4.941 14.928 0.401 0.833 0.024 43.390 42.098
5.949 15.276 0.418 0.810 0.023 43.406 42.130
6.957 15.057 0.400 0.818 0.023 43.389 42.095
7.965 14.817 0.381 0.827 0.023 43.371 42.058
8.972 14.565 0.363 0.836 0.022 43.351 42.019
9.980 14.368 0.349 0.842 0.022 43.333 41.987
10.988 13.935 0.323 0.862 0.022 43.300 41.924
11.995 11.920 0.224 1.005 0.023 43.162 41.633
13.003 10.454 0.164 1.155 0.025 43.055 41.379
14.011 9.760 0.129 1.225 0.023 42.987 41.204
15.018 9.738 0.128 1.210 0.023 42.972 41.186
16.026 9.627 0.123 1.208 0.022 42.951 41.148
17.034 9.473 0.116 1.221 0.022 42.932 41.103
18.042 9.265 0.110 1.247 0.022 42.912 41.055
19.049 9.082 0.105 1.270 0.022 42.893 41.011
20.057 8.907 0.100 1.293 0.022 42.875 40.970
21.065 8.741 0.096 1.316 0.022 42.858 40.929
22.072 8.585 0.092 1.339 0.022 42.841 40.892
23.080 8.436 0.088 1.361 0.023 42.825 40.855
24.088 8.298 0.085 1.382 0.023 42.810 40.821
25.096 8.300 0.085 1.366 0.022 42.800 40.816
26.103 8.297 0.086 1.351 0.022 42.789 40.810
27.111 8.267 0.085 1.341 0.022 42.777 40.798
28.119 8.266 0.086 1.326 0.022 42.767 40.793
29.126 8.244 0.085 1.317 0.022 42.756 40.784
30.134 8.091 0.083 1.347 0.022 42.743 40.753
31.142 7.944 0.080 1.377 0.022 42.731 40.723
32.150 7.802 0.078 1.408 0.023 42.719 40.694
33.157 7.664 0.075 1.440 0.024 42.707 40.665
34.165 7.546 0.074 1.469 0.024 42.698 40.642
35.173 7.530 0.074 1.466 0.024 42.692 40.641
36.180 7.507 0.074 1.466 0.024 42.687 40.638
37.188 7.459 0.074 1.472 0.025 42.679 40.629
38.196 7.389 0.073 1.485 0.025 42.671 40.615
39.203 7.371 0.074 1.478 0.025 42.662 40.610
40.211 7.540 0.078 1.397 0.024 42.653 40.637
41.219 7.681 0.082 1.331 0.023 42.643 40.660
42.227 7.532 0.079 1.363 0.024 42.629 40.627
43.234 7.398 0.077 1.393 0.024 42.617 40.598
44.242 7.298 0.076 1.413 0.025 42.606 40.575
45.250 7.181 0.074 1.440 0.025 42.594 40.550
46.257 7.062 0.072 1.470 0.026 42.583 40.524
