"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-6.065 17.030 1.419 0.362 0.031 42.895 42.112
-5.056 14.647 0.790 0.436 0.025 42.794 41.804
-4.047 13.792 0.680 0.476 0.026 42.767 41.718
-3.038 13.249 0.610 0.516 0.027 42.767 41.675
-2.029 11.987 0.480 0.587 0.029 42.705 41.512
-1.021 11.443 0.430 0.628 0.030 42.683 41.441
-0.012 10.793 0.363 0.687 0.030 42.660 41.347
0.997 10.275 0.324 0.737 0.031 42.635 41.267
2.006 9.907 0.299 0.779 0.033 42.620 41.208
3.015 10.118 0.316 0.759 0.032 42.634 41.251
4.024 9.860 0.299 0.792 0.034 42.626 41.213
5.033 9.321 0.264 0.849 0.035 42.589 41.105
6.042 8.625 0.221 0.954 0.038 42.555 40.962
7.051 8.237 0.196 1.025 0.039 42.537 40.868
8.059 8.265 0.197 1.009 0.039 42.529 40.864
9.068 8.339 0.200 0.981 0.038 42.521 40.869
10.077 7.708 0.164 1.132 0.041 42.508 40.722
11.086 8.099 0.184 1.030 0.038 42.513 40.809
12.095 7.942 0.176 1.039 0.038 42.486 40.750
13.104 8.154 0.186 0.987 0.037 42.487 40.794
14.113 8.372 0.198 0.938 0.035 42.488 40.837
15.122 8.506 0.205 0.907 0.034 42.487 40.861
16.131 8.127 0.183 0.974 0.036 42.470 40.771
17.140 7.532 0.152 1.098 0.038 42.441 40.615
18.148 7.035 0.128 1.228 0.041 42.421 40.487
19.157 6.598 0.110 1.373 0.045 42.406 40.406
20.166 6.332 0.100 1.474 0.047 42.396 40.384
21.175 6.442 0.104 1.427 0.046 42.398 40.387
22.184 6.507 0.107 1.399 0.045 42.398 40.390
23.193 6.411 0.103 1.425 0.046 42.388 40.375
24.202 6.324 0.101 1.449 0.047 42.379 40.363
25.211 6.318 0.101 1.442 0.046 42.373 40.357
