"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-12.000 15.032 0.125 0.250 0.000 42.357 40.878
-11.000 14.769 0.127 0.250 0.000 42.326 40.863
-10.000 13.463 0.107 0.281 0.000 42.267 40.770
-9.000 6.263 0.140 1.038 0.048 42.072 40.209
-8.000 6.289 0.139 1.041 0.048 42.082 40.211
-7.000 6.313 0.139 1.045 0.047 42.092 40.212
-6.000 7.817 0.219 0.733 0.036 42.155 40.425
-5.000 7.868 0.219 0.733 0.036 42.166 40.438
-4.000 7.913 0.218 0.734 0.035 42.178 40.450
-3.000 7.351 0.165 0.866 0.036 42.193 40.305
-2.000 7.366 0.163 0.873 0.035 42.204 40.308
-1.000 7.378 0.160 0.880 0.035 42.213 40.310
0.000 6.584 0.074 1.148 0.026 42.247 40.029
1.000 6.511 0.096 1.197 0.036 42.264 40.170
2.000 6.517 0.094 1.206 0.035 42.272 40.168
3.000 6.507 0.092 1.221 0.035 42.279 40.167
4.000 6.504 0.090 1.231 0.034 42.286 40.164
5.000 6.494 0.088 1.242 0.034 42.292 40.160
6.000 6.471 0.086 1.259 0.034 42.297 40.157
7.000 6.440 0.083 1.279 0.034 42.302 40.154
8.000 6.402 0.080 1.300 0.033 42.306 40.152
9.000 5.912 0.057 1.580 0.032 42.337 40.111
10.000 6.026 0.058 1.508 0.030 42.330 40.082
11.000 6.050 0.058 1.493 0.030 42.328 40.071
12.000 5.985 0.055 1.532 0.030 42.332 40.073
13.000 5.992 0.055 1.524 0.029 42.329 40.063
14.000 6.112 0.056 1.448 0.027 42.319 40.036
15.000 6.010 0.054 1.499 0.028 42.320 40.037
16.000 5.908 0.051 1.547 0.028 42.317 40.040
17.000 5.631 0.045 1.732 0.030 42.332 40.095
18.000 5.516 0.042 1.784 0.031 42.322 40.103
19.000 5.711 0.045 1.657 0.028 42.318 40.052
20.000 5.596 0.042 1.703 0.029 42.307 40.057
21.000 5.323 0.038 1.896 0.031 42.313 40.117
22.000 5.040 0.034 2.098 0.034 42.306 40.172
23.000 5.160 0.035 1.986 0.032 42.299 40.129
24.000 5.140 0.034 1.985 0.032 42.292 40.121
25.000 5.129 0.034 1.978 0.031 42.285 40.112
26.000 5.109 0.033 1.982 0.031 42.280 40.106
27.000 5.098 0.033 1.975 0.031 42.274 40.097
28.000 5.082 0.032 1.973 0.030 42.267 40.090
29.000 5.344 0.036 1.703 0.027 42.227 39.989
30.000 5.274 0.035 1.766 0.027 42.235 40.009
31.000 4.936 0.030 2.076 0.031 42.261 40.103
32.000 5.050 0.031 1.971 0.030 42.255 40.072
33.000 5.128 0.033 1.879 0.028 42.240 40.038
34.000 5.193 0.034 1.806 0.027 42.228 40.009
35.000 5.237 0.034 1.746 0.027 42.213 39.983
36.000 5.284 0.035 1.686 0.026 42.198 39.956
37.000 5.333 0.036 1.627 0.025 42.184 39.929
38.000 4.996 0.031 1.947 0.029 42.226 40.046
39.000 5.140 0.033 1.776 0.027 42.195 39.983
40.000 4.833 0.029 2.118 0.032 42.241 40.097
41.000 5.006 0.031 1.887 0.029 42.202 40.021
42.000 4.758 0.028 2.190 0.033 42.243 40.116
43.000 5.227 0.035 1.641 0.026 42.156 39.927
44.000 4.837 0.029 2.055 0.031 42.217 40.075
45.000 4.887 0.030 1.981 0.030 42.203 40.052
46.000 4.876 0.030 1.984 0.031 42.200 40.053
47.000 4.864 0.030 1.990 0.031 42.198 40.056
48.000 4.875 0.031 1.978 0.031 42.197 40.054
49.000 4.997 0.033 1.835 0.029 42.175 40.008
50.000 5.004 0.033 1.825 0.029 42.173 40.006
51.000 4.787 0.031 2.002 0.032 42.176 40.066
52.000 4.812 0.031 1.972 0.032 42.172 40.060
53.000 4.773 0.031 2.025 0.033 42.181 40.080
54.000 4.823 0.032 1.974 0.033 42.177 40.069
55.000 4.970 0.034 1.846 0.031 42.171 40.032
56.000 4.897 0.034 1.928 0.032 42.182 40.065
57.000 5.151 0.039 1.650 0.029 42.135 39.967
58.000 5.024 0.037 1.769 0.031 42.153 40.018
59.000 4.927 0.036 1.869 0.033 42.166 40.060
60.000 4.944 0.037 1.836 0.033 42.157 40.054
61.000 4.884 0.036 1.890 0.034 42.161 40.075
62.000 4.857 0.036 1.902 0.035 42.157 40.083
63.000 4.825 0.036 1.920 0.036 42.153 40.093
64.000 4.798 0.036 1.933 0.037 42.149 40.101
65.000 4.775 0.037 1.961 0.038 42.154 40.118
66.000 4.779 0.038 1.950 0.039 42.150 40.122
67.000 4.537 0.033 2.232 0.043 42.177 40.202
68.000 4.544 0.034 2.203 0.044 42.169 40.199
69.000 4.786 0.040 1.851 0.038 42.108 40.097
70.000 4.787 0.040 1.837 0.039 42.101 40.097
71.000 4.787 0.041 1.823 0.039 42.095 40.097
72.000 4.788 0.042 1.807 0.039 42.087 40.096
73.000 4.788 0.042 1.791 0.040 42.080 40.095
74.000 4.786 0.043 1.778 0.040 42.073 40.095
75.000 4.769 0.043 1.778 0.041 42.066 40.098
76.000 4.751 0.043 1.779 0.041 42.060 40.102
77.000 4.731 0.044 1.784 0.042 42.056 40.107
78.000 4.708 0.044 1.791 0.042 42.051 40.113
79.000 4.713 0.045 1.791 0.043 42.052 40.111
80.000 4.783 0.046 1.702 0.041 42.034 40.086
81.000 4.772 0.047 1.693 0.042 42.025 40.088
82.000 4.801 0.055 1.653 0.046 42.015 40.088
83.000 4.831 0.057 1.614 0.046 42.005 40.078
84.000 4.851 0.058 1.589 0.046 41.998 40.072
