"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-7.000 21.215 0.320 0.300 0.000 43.114 41.894
-6.000 11.687 0.642 0.712 0.047 42.829 41.782
-5.000 22.225 2.631 0.386 0.038 43.414 42.859
-4.000 21.177 1.982 0.425 0.034 43.414 42.745
-3.000 14.125 0.800 0.646 0.039 43.073 42.099
-2.000 12.300 0.593 0.764 0.043 42.978 41.885
-1.000 12.098 0.565 0.774 0.043 42.961 41.847
0.000 11.762 0.366 0.799 0.030 42.940 41.635
1.000 10.735 0.421 0.903 0.046 42.887 41.640
2.000 10.796 0.424 0.869 0.044 42.864 41.619
3.000 9.644 0.327 1.003 0.048 42.792 41.414
4.000 10.909 0.428 0.841 0.042 42.853 41.615
5.000 10.863 0.419 0.829 0.041 42.834 41.586
6.000 7.841 0.210 1.386 0.062 42.714 41.032
7.000 7.474 0.188 1.487 0.066 42.692 40.921
8.000 7.147 0.170 1.592 0.069 42.673 40.821
9.000 6.853 0.154 1.702 0.072 42.658 40.737
10.000 6.587 0.141 1.815 0.076 42.645 40.682
11.000 6.355 0.130 1.925 0.080 42.634 40.660
12.000 6.178 0.122 2.008 0.083 42.622 40.658
13.000 6.025 0.116 2.081 0.085 42.609 40.667
14.000 6.332 0.130 1.854 0.077 42.595 40.622
15.000 6.461 0.137 1.769 0.075 42.589 40.618
16.000 6.064 0.120 1.994 0.084 42.583 40.636
17.000 5.646 0.105 2.319 0.098 42.590 40.735
18.000 6.159 0.123 1.776 0.073 42.510 40.539
19.000 6.515 0.133 1.582 0.064 42.507 40.543
20.000 6.111 0.117 1.788 0.072 42.502 40.548
21.000 5.906 0.110 1.909 0.077 42.499 40.577
22.000 5.338 0.092 2.437 0.099 42.536 40.747
23.000 5.389 0.097 2.356 0.099 42.523 40.725
24.000 5.496 0.102 2.232 0.095 42.510 40.687
25.000 5.549 0.104 2.138 0.091 42.490 40.654
26.000 5.764 0.112 1.907 0.081 42.457 40.573
27.000 5.647 0.108 1.985 0.085 42.455 40.612
28.000 5.528 0.104 2.069 0.089 42.454 40.639
29.000 5.796 0.158 1.844 0.105 42.437 40.569
30.000 5.026 0.120 2.569 0.146 42.477 40.813
31.000 5.186 0.125 2.260 0.125 42.420 40.705
32.000 4.971 0.116 2.509 0.140 42.438 40.785
33.000 4.776 0.108 2.781 0.157 42.457 40.861
34.000 4.595 0.101 3.081 0.176 42.480 40.932
35.000 4.428 0.095 3.412 0.197 42.504 41.001
36.000 4.274 0.090 3.777 0.220 42.530 41.067
37.000 4.130 0.085 4.178 0.247 42.559 41.131
38.000 3.996 0.081 4.621 0.277 42.589 41.194
39.000 3.873 0.078 5.086 0.311 42.618 41.255
40.000 3.779 0.076 5.454 0.343 42.636 41.301
41.000 3.655 0.074 6.051 0.394 42.668 41.371
42.000 3.585 0.073 6.407 0.426 42.684 41.408
43.000 3.546 0.072 6.603 0.445 42.691 41.428
44.000 3.494 0.071 6.889 0.472 42.702 41.455
45.000 3.767 0.080 5.069 0.334 42.566 41.253
46.000 3.666 0.078 5.513 0.372 42.593 41.307
47.000 3.590 0.076 5.900 0.409 42.615 41.353
48.000 3.592 0.079 5.900 0.424 42.616 41.368
49.000 3.633 0.083 5.699 0.420 42.605 41.361
50.000 3.633 0.087 5.699 0.438 42.605 41.377
51.000 3.686 0.092 5.438 0.428 42.590 41.363
52.000 3.722 0.097 5.257 0.429 42.577 41.359
53.000 3.549 0.338 5.774 1.732 42.576 41.918
54.000 2.953 0.235 10.950 3.296 42.813 42.265
55.000 2.829 0.216 12.972 3.909 42.885 42.358
56.000 2.713 0.199 15.405 4.648 42.962 42.454
57.000 2.749 0.209 14.858 4.559 42.953 42.445
58.000 2.606 0.189 18.594 5.741 43.055 42.571
59.000 2.477 0.172 23.266 7.230 43.162 42.699
60.000 2.360 0.157 29.110 9.107 43.272 42.828
61.000 2.253 0.005 36.419 0.000 43.387 41.325
62.000 2.156 0.005 45.560 0.000 43.505 41.427
63.000 2.067 0.004 56.995 0.000 43.626 41.533
64.000 1.985 0.004 71.299 0.000 43.750 41.643
65.000 1.909 0.004 89.191 0.000 43.877 41.757
66.000 1.839 0.003 111.572 0.000 44.007 41.874
67.000 1.774 0.003 139.569 0.000 44.138 41.993
68.000 1.713 0.003 174.590 0.000 44.272 42.116
69.000 1.657 0.003 218.398 0.000 44.408 42.241
70.000 1.658 0.003 218.398 0.000 44.410 42.330
71.000 1.660 0.003 218.398 0.000 44.411 42.335
72.000 1.643 0.003 218.398 0.000 44.394 42.313
