nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,global_aperture_host_log_sfr,global_aperture_host_log_sfr_err_upper,global_aperture_host_log_sfr_err_lower 
0.0545,0.0003,0.0003,0.3270235073465507,0.19627147243602783,0.2985461998185044
0.0037,0.0038,0.0038,0.14024547126583428,0.5800389013677498,1.0581238617966413
0.0588,0.01,0.01,-0.12172575726128497,0.5097180446849455,0.5854860000495743
0.0341,0.0006,0.0006,-0.23685284048251812,0.2049662720397839,0.20025609180603196
0.0536,0.0119,0.0119,-1.1174971412346142,0.8623229840925397,1.1283602699750104
0.032,0.0023,0.0023,-1.9562025713841977,0.35639544383399335,0.49001207457510243
0.0047,0.0002,0.0002,-1.134643338499557,0.7874687799542296,1.428097483345614
0.0234,0.0017,0.0017,-1.4189908480522955,0.25524351210241747,0.2927819772143838
0.0466,0.0116,0.0116,-0.6523617105521199,0.41341412012574497,0.6127453899811394
0.052,0.0162,0.0162,0.30854081582075493,0.42741683508145006,0.3410126923743537
0.0085,0.0002,0.0002,0.07831069813134965,0.4592603980588155,0.6961935431741775
0.0044,0.0033,0.0033,-0.0351719243566015,0.24051620864537349,0.3106326295174845
0.0087,0.0012,0.0012,0.383999536702446,0.20060828505474493,0.21149764066065702
0.0394,0.0051,0.0051,0.490265725495369,0.270965256590383,0.284497195990039
0.005,0.001,0.001,-0.2738496465089854,0.4449362099553201,0.318839128855758
0.002,0.001,0.001,0.07433853097646494,0.42567079939809005,0.606541736883479
0.005,0.003,0.003,-1.134643338499557,0.7874687799542296,1.428097483345614
0.007,0.003,0.003,0.2947647553421053,0.42835822235487303,0.38417232739466767
0.004,0.001,0.001,-0.0351719243566015,0.24051620864537349,0.3106326295174845
0.05,0.008,0.009,-1.1174971412346142,0.8623229840925397,1.1283602699750104
0.02,0.007,0.01,-1.1745137346658423,0.4202534507043926,0.38151994660711175
0.063,0.001,0.001,0.17265178867802114,0.34410084641525296,0.3365569610936356
0.069,0.004,0.003,-1.5168338870653317,0.7635317473797433,1.2276184798959402
0.033,0.003,0.002,1.349199218855585,0.37395932284530553,0.44347861912660036
0.021,0.002,0.002,-1.1745137346658423,0.4202534507043926,0.38151994660711175
0.1239,0.0024,0.0021,0.2779822046638,0.40313010668034194,0.517886694383462
0.1105,0.0028,0.0024,0.719876895769188,0.36807076205298206,0.510771531822056
0.0684,0.0017,0.0017,-0.138648917001493,0.4210044094738,0.35632464335605196
