nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,local_aperture_host_logsfh,local_aperture_host_logsfh_err_upper,local_aperture_host_logsfh_err_lower 
0.0545,0.0003,0.0003,-2.5186387267730765,0.7775492843780758,1.163431417971927
0.0037,0.0038,0.0038,-0.5249945094642784,0.18660359881668243,0.18327008811495438
0.0588,0.01,0.01,-1.700828562043056,0.5244622365133871,0.8273227176515272
0.0207,0.0019,0.0019,-1.71719058320852,0.13052103044659003,0.16055823215730003
0.0341,0.0006,0.0006,-1.3773356712183578,0.14257939104462136,0.20444468886044365
0.0536,0.0119,0.0119,-1.1765757266754593,0.525594020056535,0.9490556590782948
0.032,0.0023,0.0023,-1.5006455120630902,0.34029949028484596,0.468201755957415
0.0047,0.0002,0.0002,-0.6322571388310739,0.190750567757222,0.20334905708390327
0.0021,0.0002,0.0002,-0.521958459199141,0.277232615350137,0.28755971585057405
0.0234,0.0017,0.0017,-1.6239808683029697,0.3550984592526012,0.5394440068973536
0.0466,0.0116,0.0116,-0.5702201832761413,0.2930261737305684,0.5728796207366267
0.052,0.0162,0.0162,-0.41513058831197613,0.28483135172340973,0.37061018217224273
0.0085,0.0002,0.0002,-1.0449515617177563,0.16735430386985195,0.23824701917493418
0.0044,0.0033,0.0033,-1.05668102051926,0.154246428763386,0.22391569623669993
0.0087,0.0012,0.0012,-0.589587174990624,0.330131758650168,0.39187183443879603
0.0497,0.0059,0.0059,-0.27667373118084,0.21773046190927778,0.16116124590340203
0.0394,0.0051,0.0051,-0.421326901941917,0.22346594320325602,0.29343058068606
0.005,0.001,0.001,-1.1793990956423022,0.36918994402896155,0.43244825455680225
0.002,0.001,0.001,-1.3423439955985264,0.5573868987707467,1.1875323983371482
0.005,0.003,0.003,-0.6322571388310739,0.190750567757222,0.20334905708390327
0.007,0.003,0.003,-0.8071393674959159,0.2827151067316259,0.32230866653231705
0.006,0.003,0.003,-0.521958459199141,0.277232615350137,0.28755971585057405
0.004,0.001,0.001,-1.05668102051926,0.154246428763386,0.22391569623669993
0.05,0.008,0.009,-1.1765757266754593,0.525594020056535,0.9490556590782948
0.017,0.006,0.009,-1.2314405514869586,0.47294073086872046,0.34761357827000183
0.063,0.001,0.001,-1.108550787768175,0.3882152332498995,0.37283345795225054
0.069,0.004,0.003,-1.2175953164256912,0.45093489824102706,0.558157465602017
0.0684,0.0017,0.0017,-0.338898029044838,0.20226923594868101,0.274041159086832
0.1239,0.0024,0.0021,-1.74937125134114,0.875259404502912,1.3176538209119002
0.0441,0.0004,0.0004,-1.33867882155102,0.15157189563403994,0.16219917556749008
0.1105,0.0028,0.0024,-1.4996283251069,0.45282655421569995,0.5006746655729399
