Name	MNi	e_MNi
2013bu       	 0.0021	 0.0007
2013fs       	 0.0545	 0.0003
LSQ13dpa     	 0.0714	 0.0127
2014cy       	 0.0037	 0.0038
2014dw       	 0.0094	 0.0008
ASASSN-14dq  	 0.0461	 0.0079
ASASSN-14gm  	 0.0767	 0.0102
ASASSN-14ha  	 0.0014	 0.0002
2015W        	 0.0314	 0.0098
2013ab       	 0.0588	 0.0100
2013by       	 0.0320	 0.0043
2013ej       	 0.0207	 0.0019
2014G        	 0.0341	 0.0006
1999em       	 0.0536	 0.0119
1999gi       	 0.0320	 0.0023
2001X        	 0.0550	 0.0047
2003Z        	 0.0047	 0.0002
2003hn       	 0.0324	 0.0046
2004et       	 0.0414	 0.0086
2005cs       	 0.0021	 0.0002
2008in       	 0.0037	 0.0007
2009N        	 0.0165	 0.0021
2009bw       	 0.0234	 0.0017
2009dd       	 0.0466	 0.0116
2009ib       	 0.0520	 0.0162
2009kr       	 0.0085	 0.0002
2009md       	 0.0044	 0.0033
2012A        	 0.0087	 0.0012
2012aw       	 0.0497	 0.0059
2012ec       	 0.0394	 0.0051

