# ph	T_bb	err	R_bb	err	L_bb	err

58942.48	1.11e+04	1.30e+03	2.34e+14	6.54e+13	5.94e+41	4.32e+41
58954.44	1.09e+04	7.81e+02	9.84e+14	1.79e+14	9.72e+42	4.50e+42
58954.44	1.09e+04	7.81e+02	9.85e+14	1.79e+14	9.74e+42	4.51e+42
58955.43	1.09e+04	7.79e+02	1.05e+15	1.91e+14	1.11e+43	5.15e+42
58956.34	1.09e+04	7.88e+02	1.10e+15	2.05e+14	1.21e+43	5.70e+42
58956.47	1.08e+04	8.14e+02	8.73e+14	1.70e+14	7.51e+42	3.69e+42
58960.46	1.10e+04	7.96e+02	1.24e+15	2.35e+14	1.60e+43	7.64e+42
58961.41	1.10e+04	7.97e+02	1.23e+15	2.38e+14	1.58e+43	7.64e+42
58964.28	1.09e+04	7.99e+02	1.22e+15	2.44e+14	1.49e+43	7.40e+42
58967.34	1.10e+04	8.19e+02	1.18e+15	2.44e+14	1.43e+43	7.34e+42
58970.39	1.10e+04	8.38e+02	1.11e+15	2.39e+14	1.31e+43	6.88e+42
58973.30	1.11e+04	8.50e+02	1.06e+15	2.31e+14	1.21e+43	6.46e+42
58974.42	1.06e+04	8.05e+02	1.14e+15	2.16e+14	1.18e+43	5.72e+42
58975.43	1.07e+04	8.19e+02	1.11e+15	2.14e+14	1.15e+43	5.66e+42
58976.30	1.07e+04	8.29e+02	1.10e+15	2.13e+14	1.13e+43	5.62e+42
58980.33	1.06e+04	1.18e+03	1.03e+15	2.86e+14	9.60e+42	6.83e+42
58991.24	1.08e+04	1.08e+03	9.24e+14	2.29e+14	8.38e+42	5.34e+42
58997.29	1.15e+04	1.19e+03	7.92e+14	1.94e+14	7.82e+42	5.03e+42
59004.27	1.21e+04	1.31e+03	7.09e+14	1.75e+14	7.58e+42	4.99e+42
59009.21	1.28e+04	1.57e+03	6.20e+14	1.64e+14	7.27e+42	5.26e+42
59012.24	1.31e+04	1.63e+03	5.79e+14	1.50e+14	7.07e+42	5.07e+42
59019.22	1.36e+04	1.67e+03	5.46e+14	1.36e+14	7.21e+42	5.04e+42
59022.23	1.49e+04	2.26e+03	4.42e+14	1.27e+14	6.87e+42	5.74e+42
