# ph	T_bb	err	R_bb	err	L_bb	err

58868.66	2.10e+04	3.45e+03	8.18e+13	1.25e+13	9.26e+41	6.71e+41
58954.39	2.04e+04	3.96e+03	5.26e+14	9.20e+13	3.38e+43	2.88e+43
58954.39	2.03e+04	3.96e+03	5.28e+14	9.29e+13	3.36e+43	2.88e+43
58955.40	1.95e+04	1.92e+03	5.77e+14	5.24e+13	3.42e+43	1.49e+43
58956.37	2.24e+04	9.84e+03	5.36e+14	2.01e+14	5.20e+43	9.92e+43
58956.47	2.47e+04	1.64e+04	4.21e+14	2.29e+14	4.65e+43	1.34e+44
58958.51	2.38e+04	1.37e+04	5.23e+14	2.52e+14	6.22e+43	1.56e+44
58960.46	1.78e+04	3.14e+03	7.01e+14	1.19e+14	3.54e+43	2.77e+43
58964.35	1.87e+04	1.03e+03	6.69e+14	3.46e+13	3.92e+43	9.53e+42
58967.29	1.63e+04	2.44e+03	7.37e+14	1.12e+14	2.74e+43	1.84e+43
58969.37	1.87e+04	1.73e+03	6.63e+14	5.79e+13	3.79e+43	1.56e+43
58970.31	1.49e+04	3.20e+03	7.70e+14	1.78e+14	2.10e+43	2.05e+43
58972.43	1.35e+04	4.30e+03	7.90e+14	2.91e+14	1.48e+43	2.17e+43
58973.27	1.49e+04	3.24e+03	7.41e+14	1.74e+14	1.92e+43	1.90e+43
58975.28	1.27e+04	1.94e+03	8.43e+14	1.55e+14	1.32e+43	9.44e+42
58976.20	1.24e+04	1.95e+03	8.58e+14	1.65e+14	1.24e+43	9.16e+42
58979.24	1.17e+04	1.83e+03	8.92e+14	1.78e+14	1.06e+43	7.86e+42
58982.45	1.00e+04	1.58e+03	1.03e+15	2.33e+14	7.63e+42	5.91e+42
58984.29	9.99e+03	1.51e+03	1.01e+15	2.22e+14	7.29e+42	5.45e+42
58985.30	1.08e+04	1.58e+03	9.16e+14	1.81e+14	8.28e+42	5.83e+42
58987.38	9.69e+03	1.35e+03	1.02e+15	2.11e+14	6.52e+42	4.53e+42
58991.31	1.07e+04	1.57e+03	8.90e+14	1.78e+14	7.49e+42	5.31e+42
58992.29	8.90e+03	1.33e+03	1.10e+15	2.62e+14	5.41e+42	4.12e+42
58994.24	1.05e+04	1.66e+03	8.98e+14	1.97e+14	7.01e+42	5.38e+42
58997.22	9.61e+03	1.56e+03	9.78e+14	2.38e+14	5.80e+42	4.71e+42
58997.32	8.90e+03	1.43e+03	1.07e+15	2.75e+14	5.12e+42	4.22e+42
58999.37	8.77e+03	1.36e+03	1.06e+15	2.65e+14	4.72e+42	3.76e+42
59000.25	1.01e+04	1.59e+03	8.97e+14	2.03e+14	5.90e+42	4.58e+42
59000.27	9.85e+03	1.56e+03	9.19e+14	2.13e+14	5.68e+42	4.45e+42
59004.20	9.20e+03	1.70e+03	9.79e+14	2.80e+14	4.89e+42	4.56e+42
59009.24	8.46e+03	1.33e+03	1.05e+15	2.75e+14	4.02e+42	3.30e+42
59012.21	8.33e+03	1.21e+03	1.05e+15	2.57e+14	3.78e+42	2.87e+42
59014.42	6.78e+03	9.96e+02	1.37e+15	4.11e+14	2.84e+42	2.38e+42
59016.21	8.24e+03	1.11e+03	1.04e+15	2.37e+14	3.54e+42	2.49e+42
59017.29	6.88e+03	9.55e+02	1.32e+15	3.67e+14	2.78e+42	2.18e+42
59019.26	8.29e+03	1.04e+03	1.01e+15	2.13e+14	3.42e+42	2.24e+42
59021.29	7.02e+03	9.71e+02	1.25e+15	3.42e+14	2.71e+42	2.11e+42
59022.29	7.14e+03	9.64e+02	1.20e+15	3.13e+14	2.64e+42	1.99e+42
59025.24	9.16e+03	1.49e+03	7.81e+14	1.98e+14	3.05e+42	2.52e+42
59028.28	6.08e+03	7.52e+02	1.39e+15	3.88e+14	1.89e+42	1.40e+42
59029.21	8.77e+03	6.88e+02	8.44e+14	1.07e+14	3.00e+42	1.21e+42
59037.22	8.09e+03	7.07e+02	8.74e+14	1.32e+14	2.34e+42	1.08e+42
59042.29	6.11e+03	9.93e+02	1.21e+15	4.42e+14	1.45e+42	1.42e+42
59045.24	8.28e+03	9.62e+02	7.48e+14	1.47e+14	1.88e+42	1.14e+42
59047.27	6.93e+03	6.78e+02	9.20e+14	1.79e+14	1.39e+42	7.67e+41
59048.27	8.65e+03	1.16e+03	6.84e+14	1.49e+14	1.87e+42	1.29e+42
59051.28	5.82e+03	8.54e+02	1.16e+15	4.00e+14	1.09e+42	9.89e+41
59053.27	4.57e+03	5.30e+02	1.74e+15	6.04e+14	9.41e+41	7.85e+41
59588.65	7.94e+03	9.32e+02	3.09e+14	6.35e+13	2.70e+41	1.68e+41
59604.61	1.92e+04	1.92e+04	1.17e+14	1.11e+14	1.33e+42	5.90e+42
