# ph	Lobs	err	L+BB	err	

58942.48	1.12e+42	1.55e+41	1.20e+42	1.65e+41
58954.44	1.03e+43	7.22e+41	1.16e+43	9.27e+41
58954.44	1.03e+43	7.23e+41	1.16e+43	9.29e+41
58955.43	1.17e+43	8.07e+41	1.33e+43	1.05e+42
58956.34	1.27e+43	8.60e+41	1.44e+43	1.13e+42
58956.47	8.01e+42	5.44e+41	9.06e+42	7.23e+41
58960.46	1.69e+43	1.04e+42	1.92e+43	1.44e+42
58961.41	1.68e+43	1.00e+42	1.90e+43	1.41e+42
58964.28	1.57e+43	8.90e+41	1.78e+43	1.31e+42
58967.34	1.52e+43	8.20e+41	1.72e+43	1.26e+42
58970.39	1.40e+43	7.29e+41	1.58e+43	1.16e+42
58973.30	1.30e+43	6.72e+41	1.47e+43	1.08e+42
58974.42	1.19e+43	7.04e+41	1.36e+43	1.02e+42
58975.43	1.17e+43	6.85e+41	1.33e+43	9.98e+41
58976.30	1.15e+43	6.69e+41	1.30e+43	9.83e+41
58980.33	1.14e+43	7.09e+41	1.26e+43	1.13e+42
58991.24	9.90e+42	6.30e+41	1.10e+43	9.33e+41
58997.29	9.49e+42	6.07e+41	1.06e+43	9.19e+41
59004.27	9.24e+42	5.92e+41	1.04e+43	9.55e+41
59009.21	8.68e+42	5.43e+41	9.86e+42	1.05e+42
59012.24	8.03e+42	4.92e+41	9.23e+42	1.05e+42
59019.22	7.79e+42	4.64e+41	9.14e+42	1.11e+42
59022.23	7.89e+42	4.78e+41	9.48e+42	1.54e+42
59025.21	7.99e+42	4.98e+41	9.49e+42	1.34e+42
59028.22	7.95e+42	5.08e+41	1.03e+43	3.15e+42
59030.28	7.99e+42	4.97e+41	9.46e+42	1.33e+42
59031.22	7.93e+42	4.90e+41	9.42e+42	1.35e+42
59033.28	7.84e+42	4.79e+41	9.38e+42	1.42e+42
59036.26	7.06e+42	3.61e+41	8.41e+42	1.09e+42
59037.20	5.95e+42	3.10e+41	7.00e+42	8.03e+41
59037.27	6.18e+42	3.23e+41	7.30e+42	8.70e+41
59038.20	6.42e+42	3.46e+41	7.68e+42	1.07e+42
59039.23	6.27e+42	3.53e+41	7.61e+42	1.23e+42
59040.27	5.18e+42	3.05e+41	6.23e+42	9.51e+41
59042.23	6.04e+42	3.99e+41	7.96e+42	2.42e+42
59043.24	5.79e+42	4.03e+41	7.33e+42	1.70e+42
59044.22	5.87e+42	4.31e+41	7.28e+42	1.42e+42
59045.20	5.10e+42	3.92e+41	6.10e+42	8.41e+41
59046.20	4.94e+42	4.01e+41	5.99e+42	9.67e+41
59047.22	4.72e+42	4.05e+41	5.83e+42	1.14e+42
59047.27	4.31e+42	3.69e+41	5.25e+42	9.08e+41
59048.21	5.15e+42	4.65e+41	6.21e+42	9.44e+41
59051.20	4.72e+42	5.00e+41	6.71e+42	3.04e+42
59053.28	3.41e+42	3.93e+41	3.61e+42	1.06e+42
59081.25	9.48e+41	2.35e+41	1.06e+42	2.54e+41
59095.25	8.68e+41	2.83e+41	9.69e+41	2.91e+41
59097.24	1.09e+42	3.75e+41	1.19e+42	3.90e+41
59242.64	4.57e+42	3.17e+42	4.39e+42	3.17e+42
59313.53	4.05e+41	2.54e+41	5.28e+41	2.68e+41
59333.43	8.44e+41	5.67e+41	1.20e+42	6.61e+41
59596.62	5.78e+41	3.67e+41	6.81e+41	3.71e+41
59597.60	1.46e+42	9.91e+41	1.47e+42	9.93e+41
59598.62	1.04e+42	6.81e+41	1.06e+42	6.82e+41
59600.62	5.66e+41	3.45e+41	6.57e+41	3.52e+41
59623.56	7.45e+41	4.68e+41	8.81e+41	4.73e+41
59693.39	1.25e+42	8.17e+41	1.67e+42	9.80e+41
59717.35	5.91e+41	3.81e+41	6.96e+41	3.91e+41
59726.27	8.13e+41	5.25e+41	9.27e+41	5.28e+41
59731.26	8.52e+41	5.47e+41	9.56e+41	5.50e+41
59734.27	7.53e+41	4.77e+41	8.23e+41	4.81e+41
59767.27	9.77e+41	6.21e+41	1.10e+42	6.26e+41
59776.30	7.01e+41	4.46e+41	7.93e+41	4.49e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020hgw_SDAUBgVriz.txt and logL-bb_2020hgw_SDAUBgVriz.txt for simple LC files
# Methodology:
# filters used:SDAUBgVriz
# redshift used:0.043
# extinction used:0.011
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
