# ph	Lobs	err	L+BB	err	

58868.66	8.14e+40	1.10e+40	9.28e+41	6.09e+41
58954.39	3.20e+42	3.06e+41	3.39e+43	2.60e+43
58954.39	3.20e+42	3.06e+41	3.37e+43	2.59e+43
58955.40	3.57e+42	3.39e+41	3.43e+43	1.32e+43
58956.37	3.95e+42	3.82e+41	5.21e+43	9.15e+43
58956.47	2.86e+42	2.79e+41	4.66e+43	1.25e+44
58958.51	4.16e+42	4.04e+41	6.24e+43	1.45e+44
58960.46	4.57e+42	4.26e+41	3.56e+43	2.40e+43
58964.35	4.49e+42	4.23e+41	3.94e+43	8.40e+42
58967.29	4.22e+42	3.91e+41	2.76e+43	1.54e+43
58969.37	4.35e+42	4.10e+41	3.81e+43	1.37e+43
58970.31	3.87e+42	3.55e+41	2.12e+43	1.65e+43
58972.43	3.41e+42	3.08e+41	1.51e+43	1.65e+43
58973.27	3.57e+42	3.27e+41	1.94e+43	1.53e+43
58975.28	3.26e+42	2.98e+41	1.34e+43	6.91e+42
58976.20	3.20e+42	2.92e+41	1.26e+43	6.58e+42
58979.24	2.99e+42	2.73e+41	1.07e+43	5.40e+42
58982.45	2.70e+42	2.45e+41	7.76e+42	3.54e+42
58984.29	2.59e+42	2.35e+41	7.41e+42	3.25e+42
58985.30	2.61e+42	2.38e+41	8.39e+42	3.76e+42
58987.38	2.40e+42	2.18e+41	6.62e+42	2.62e+42
58991.31	2.38e+42	2.17e+41	7.58e+42	3.39e+42
58992.29	2.20e+42	2.00e+41	5.50e+42	2.17e+42
58994.24	2.31e+42	2.10e+41	7.10e+42	3.37e+42
58997.22	2.17e+42	1.97e+41	5.90e+42	2.69e+42
58997.32	2.10e+42	1.91e+41	5.22e+42	2.22e+42
58999.37	1.99e+42	1.81e+41	4.84e+42	1.95e+42
59000.25	2.09e+42	1.90e+41	6.01e+42	2.75e+42
59000.27	2.07e+42	1.88e+41	5.79e+42	2.62e+42
59004.20	1.99e+42	1.80e+41	5.04e+42	2.49e+42
59009.24	1.76e+42	1.60e+41	4.13e+42	1.64e+42
59012.21	1.66e+42	1.51e+41	3.86e+42	1.40e+42
59014.42	1.47e+42	1.36e+41	2.94e+42	9.62e+41
59016.21	1.55e+42	1.42e+41	3.60e+42	1.21e+42
59017.29	1.41e+42	1.31e+41	2.85e+42	8.91e+41
59019.26	1.48e+42	1.35e+41	3.47e+42	1.09e+42
59021.29	1.36e+42	1.26e+41	2.79e+42	8.72e+41
59022.29	1.32e+42	1.22e+41	2.72e+42	8.34e+41
59025.24	1.23e+42	1.16e+41	3.13e+42	1.37e+42
59028.28	9.97e+41	9.70e+40	1.94e+42	5.56e+41
59029.21	1.21e+42	1.13e+41	3.02e+42	6.33e+41
59037.22	1.01e+42	9.34e+40	2.34e+42	5.16e+41
59042.29	8.11e+41	7.67e+40	1.54e+42	5.57e+41
59045.24	8.11e+41	7.44e+40	1.90e+42	5.57e+41
59047.27	6.73e+41	6.31e+40	1.40e+42	3.17e+41
59048.27	7.88e+41	7.22e+40	1.91e+42	6.58e+41
59051.28	6.07e+41	5.86e+40	1.15e+42	3.95e+41
59053.27	4.57e+41	4.74e+40	9.53e+41	3.83e+41
59588.65	1.15e+41	1.13e+40	2.66e+41	7.84e+40
59604.61	1.52e+41	1.51e+40	1.34e+42	5.24e+42

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020hgw_griz.txt and logL-bb_2020hgw_griz.txt for simple LC files
# Methodology:
# filters used:griz
# redshift used:0.043
# extinction used:0.011
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
