##phase	S	err	D	err	A	err	U	err	B	err	g	err	V	err	r	err	i	err	z	err	
#
58942.48	20.72	0.16	20.71	0.16	20.59	0.17	20.48	0.18	20.08	0.18	18.44	0.14	20.48	0.23	21.26	0.23	21.66	0.26	21.60	0.38
58954.44	17.72	0.10	17.71	0.10	17.59	0.11	17.48	0.13	17.08	0.13	17.87	0.14	17.48	0.19	18.26	0.23	18.66	0.25	18.60	0.36
58954.44	17.71	0.10	17.71	0.10	17.58	0.11	17.48	0.13	17.08	0.13	17.87	0.14	17.48	0.19	18.26	0.23	18.66	0.25	18.60	0.36
58955.43	17.56	0.10	17.56	0.10	17.43	0.11	17.33	0.13	16.93	0.13	17.78	0.14	17.33	0.19	18.11	0.23	18.51	0.25	18.45	0.36
58956.34	17.48	0.10	17.48	0.10	17.35	0.11	17.24	0.12	16.85	0.12	17.62	0.14	17.25	0.19	18.03	0.23	18.43	0.25	18.37	0.36
58956.47	18.00	0.10	18.00	0.09	17.87	0.11	17.77	0.12	17.37	0.12	17.95	0.14	17.77	0.19	18.55	0.23	18.95	0.25	18.89	0.36
58960.46	17.15	0.08	17.15	0.08	17.02	0.09	16.91	0.11	16.52	0.11	17.58	0.14	16.92	0.18	17.70	0.23	18.09	0.25	18.03	0.36
58961.41	17.16	0.07	17.16	0.07	17.03	0.09	16.93	0.11	16.53	0.11	17.58	0.14	16.93	0.18	17.71	0.23	18.09	0.25	18.05	0.36
58964.28	17.25	0.06	17.24	0.06	17.12	0.08	17.01	0.10	16.62	0.10	17.56	0.14	17.02	0.17	17.80	0.23	18.08	0.25	18.13	0.36
58967.34	17.28	0.05	17.27	0.05	17.15	0.07	17.04	0.09	16.64	0.09	17.68	0.14	17.04	0.17	17.82	0.23	18.07	0.25	18.16	0.35
58970.39	17.37	0.05	17.37	0.04	17.24	0.06	17.13	0.09	16.74	0.09	17.82	0.14	17.14	0.17	17.92	0.23	18.05	0.25	18.25	0.35
58973.30	17.44	0.04	17.44	0.04	17.31	0.06	17.21	0.09	16.81	0.09	17.91	0.14	17.21	0.16	17.99	0.23	18.15	0.25	18.33	0.35
58974.42	17.54	0.10	17.54	0.10	17.41	0.10	17.31	0.10	16.91	0.10	17.99	0.14	17.31	0.16	18.09	0.23	18.21	0.25	18.30	0.35
58975.43	17.53	0.10	17.55	0.10	17.44	0.10	17.31	0.10	16.94	0.10	18.06	0.14	17.38	0.16	18.03	0.23	18.27	0.25	18.32	0.35
58976.30	17.51	0.10	17.56	0.10	17.46	0.10	17.31	0.10	16.96	0.10	18.09	0.14	17.43	0.16	18.05	0.23	18.28	0.25	18.33	0.35
58980.33	17.50	0.10	17.57	0.10	17.80	0.10	17.43	0.10	16.92	0.10	18.26	0.14	17.06	0.16	18.14	0.23	18.30	0.25	18.40	0.35
58991.24	17.73	0.10	17.81	0.10	17.82	0.10	17.64	0.10	17.06	0.10	18.46	0.14	17.11	0.16	18.40	0.23	18.44	0.25	18.58	0.35
58997.29	17.77	0.10	17.78	0.10	17.74	0.10	17.75	0.10	17.14	0.10	18.72	0.14	17.10	0.16	18.46	0.23	18.47	0.25	18.67	0.35
59004.27	17.72	0.10	17.75	0.10	17.67	0.10	17.84	0.10	17.19	0.10	18.83	0.14	17.13	0.16	18.42	0.23	18.68	0.25	18.77	0.35
59009.21	17.57	0.10	17.72	0.10	17.70	0.10	17.87	0.10	17.20	0.10	19.00	0.14	17.41	0.16	18.58	0.23	18.73	0.25	18.83	0.35
59012.24	17.56	0.10	17.72	0.10	17.69	0.10	17.97	0.10	17.32	0.10	19.07	0.14	17.63	0.16	18.67	0.23	18.75	0.25	18.86	0.35
59019.22	17.58	0.10	17.61	0.10	17.70	0.10	17.84	0.10	17.45	0.10	19.17	0.14	17.66	0.16	18.84	0.23	18.84	0.25	18.94	0.35
59022.23	17.59	0.10	17.63	0.10	17.64	0.10	17.85	0.10	17.34	0.10	19.47	0.14	17.69	0.16	18.83	0.23	19.00	0.25	18.98	0.35
59025.21	17.59	0.10	17.66	0.10	17.62	0.10	17.87	0.10	17.22	0.10	19.32	0.14	17.72	0.16	18.92	0.23	19.39	0.25	19.01	0.35
59028.22	17.60	0.10	17.68	0.10	17.64	0.10	17.89	0.10	17.15	0.10	19.96	0.14	17.73	0.16	19.05	0.23	19.34	0.25	19.05	0.35
59030.28	17.60	0.10	17.69	0.10	17.61	0.10	17.87	0.10	17.23	0.10	19.35	0.14	17.71	0.16	19.04	0.23	19.13	0.25	19.02	0.35
