##phase	g	err	r	err	i	err	z	err	
#
58868.66	21.87	0.14	22.26	0.43	22.38	0.51	22.29	0.63
58954.39	17.88	0.14	18.28	0.23	18.39	0.25	18.31	0.36
58954.39	17.88	0.14	18.28	0.23	18.39	0.25	18.31	0.36
58955.40	17.78	0.14	18.11	0.23	18.29	0.25	18.21	0.36
58956.37	17.62	0.14	18.13	0.23	18.13	0.25	18.04	0.36
58956.47	17.95	0.14	18.54	0.23	18.46	0.25	18.38	0.36
58958.51	17.55	0.14	18.11	0.23	18.06	0.25	17.98	0.36
58960.46	17.58	0.14	17.70	0.23	18.09	0.25	18.01	0.36
58964.35	17.56	0.14	17.80	0.23	18.08	0.25	17.99	0.36
58967.29	17.68	0.14	17.82	0.23	18.07	0.25	18.11	0.35
58969.37	17.58	0.14	17.89	0.23	18.06	0.25	18.00	0.35
58970.31	17.81	0.14	17.91	0.23	18.05	0.25	18.23	0.35
58972.43	18.04	0.14	17.97	0.23	18.11	0.25	18.47	0.35
58973.27	17.90	0.14	17.99	0.23	18.15	0.25	18.33	0.35
58975.28	18.06	0.14	18.04	0.23	18.26	0.25	18.31	0.35
58976.20	18.09	0.14	18.05	0.23	18.27	0.25	18.33	0.35
58979.24	18.19	0.14	18.12	0.23	18.30	0.25	18.38	0.35
58982.45	18.39	0.14	18.19	0.23	18.32	0.25	18.44	0.35
58984.29	18.44	0.14	18.24	0.23	18.37	0.25	18.47	0.35
58985.30	18.37	0.14	18.26	0.23	18.40	0.25	18.49	0.35
58987.38	18.53	0.14	18.31	0.23	18.45	0.25	18.52	0.35
58991.31	18.46	0.14	18.40	0.23	18.44	0.25	18.58	0.35
58992.29	18.69	0.14	18.41	0.23	18.43	0.25	18.59	0.35
58994.24	18.52	0.14	18.43	0.23	18.45	0.25	18.62	0.35
58997.22	18.65	0.14	18.46	0.23	18.47	0.25	18.67	0.35
58997.32	18.75	0.14	18.46	0.23	18.47	0.25	18.67	0.35
58999.37	18.84	0.14	18.45	0.23	18.64	0.25	18.70	0.35
59000.25	18.68	0.14	18.44	0.23	18.65	0.25	18.71	0.35
59000.27	18.70	0.14	18.44	0.23	18.65	0.25	18.71	0.35
59004.20	18.82	0.14	18.42	0.23	18.68	0.25	18.77	0.35
59009.24	19.00	0.14	18.58	0.23	18.73	0.25	18.83	0.35
59012.21	19.06	0.14	18.67	0.23	18.75	0.25	18.86	0.35
59014.42	19.43	0.14	18.72	0.23	18.77	0.25	18.89	0.35
59016.21	19.13	0.14	18.77	0.23	18.80	0.25	18.91	0.35
59017.29	19.44	0.14	18.79	0.23	18.81	0.25	18.92	0.35
59019.26	19.16	0.14	18.84	0.23	18.84	0.25	18.94	0.35
59021.29	19.45	0.14	18.83	0.23	18.87	0.25	18.97	0.35
59022.29	19.47	0.14	18.83	0.23	19.01	0.25	18.98	0.35
59025.24	19.32	0.14	18.92	0.23	19.39	0.25	19.01	0.35
59028.28	19.97	0.14	19.05	0.23	19.33	0.25	19.05	0.35
59029.21	19.31	0.14	19.04	0.23	19.24	0.25	19.04	0.35
59037.22	19.56	0.14	19.29	0.23	19.26	0.25	19.26	0.35
59042.29	20.27	0.14	19.27	0.23	19.42	0.25	19.51	0.35
59045.24	19.82	0.14	19.47	0.23	19.55	0.25	19.57	0.35
59047.27	20.18	0.14	19.65	0.23	19.64	0.25	19.61	0.35
59048.27	19.84	0.14	19.45	0.23	19.68	0.25	19.63	0.35
59051.28	20.64	0.14	19.54	0.23	19.81	0.25	19.70	0.35
59053.27	21.34	0.14	19.89	0.23	19.88	0.25	19.74	0.35
59588.65	21.86	0.14	21.85	0.23	21.54	0.25	21.31	0.35
59604.61	21.19	0.14	21.88	0.23	21.43	0.25	21.24	0.35
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
