# ph	T_bb	err	R_bb	err	L_bb	err

58975.20	1.00e+04	6.50e+02	3.37e+14	5.43e+13	8.17e+41	3.38e+41
58976.11	1.04e+04	6.77e+02	4.54e+14	5.63e+13	1.75e+42	6.27e+41
58976.16	1.04e+04	6.72e+02	4.58e+14	5.67e+13	1.76e+42	6.28e+41
58976.30	1.01e+04	6.76e+02	5.04e+14	7.41e+13	1.86e+42	7.42e+41
58977.18	9.36e+03	5.56e+02	6.33e+14	8.73e+13	2.19e+42	7.96e+41
58977.55	9.21e+03	5.45e+02	6.65e+14	9.25e+13	2.27e+42	8.28e+41
58977.73	9.10e+03	5.26e+02	6.88e+14	9.47e+13	2.32e+42	8.33e+41
58978.18	8.72e+03	4.40e+02	7.52e+14	9.44e+13	2.34e+42	7.52e+41
58978.25	8.69e+03	4.27e+02	7.56e+14	9.27e+13	2.32e+42	7.30e+41
58978.50	8.58e+03	4.18e+02	7.75e+14	9.53e+13	2.33e+42	7.30e+41
58979.18	8.28e+03	3.86e+02	8.38e+14	1.02e+14	2.35e+42	7.20e+41
58979.33	8.24e+03	3.80e+02	8.41e+14	1.01e+14	2.33e+42	7.05e+41
58979.41	8.01e+03	4.07e+02	8.77e+14	1.19e+14	2.26e+42	7.66e+41
58980.51	7.70e+03	3.13e+02	9.47e+14	1.09e+14	2.25e+42	6.34e+41
58980.72	7.60e+03	3.15e+02	9.67e+14	1.15e+14	2.22e+42	6.45e+41
58981.18	7.38e+03	3.09e+02	1.01e+15	1.25e+14	2.16e+42	6.45e+41
58981.25	7.34e+03	3.11e+02	1.02e+15	1.28e+14	2.15e+42	6.53e+41
58982.18	7.13e+03	3.09e+02	1.05e+15	1.39e+14	2.02e+42	6.43e+41
58983.21	6.94e+03	3.13e+02	1.07e+15	1.52e+14	1.88e+42	6.34e+41
58984.72	6.61e+03	3.19e+02	1.13e+15	1.80e+14	1.73e+42	6.44e+41
58985.18	6.50e+03	3.04e+02	1.16e+15	1.82e+14	1.71e+42	6.25e+41
58986.19	6.24e+03	2.84e+02	1.25e+15	1.99e+14	1.68e+42	6.18e+41
58986.26	6.22e+03	2.81e+02	1.25e+15	1.98e+14	1.68e+42	6.10e+41
58986.27	6.22e+03	2.80e+02	1.25e+15	1.97e+14	1.67e+42	6.06e+41
58986.74	6.10e+03	2.87e+02	1.29e+15	2.16e+14	1.63e+42	6.30e+41
58988.19	5.77e+03	2.78e+02	1.39e+15	2.53e+14	1.53e+42	6.30e+41
58988.54	5.70e+03	2.75e+02	1.42e+15	2.60e+14	1.51e+42	6.26e+41
58989.22	5.54e+03	2.70e+02	1.50e+15	2.85e+14	1.50e+42	6.42e+41
58989.87	5.40e+03	2.66e+02	1.57e+15	3.10e+14	1.49e+42	6.59e+41
58989.89	5.39e+03	2.65e+02	1.57e+15	3.10e+14	1.49e+42	6.57e+41
58990.19	5.33e+03	2.61e+02	1.61e+15	3.17e+14	1.49e+42	6.55e+41
58991.19	5.15e+03	2.58e+02	1.71e+15	3.59e+14	1.46e+42	6.78e+41
58991.70	5.06e+03	2.57e+02	1.75e+15	3.79e+14	1.43e+42	6.84e+41
58992.19	4.98e+03	2.51e+02	1.80e+15	3.93e+14	1.42e+42	6.81e+41
58992.23	4.97e+03	2.52e+02	1.81e+15	3.96e+14	1.42e+42	6.84e+41
58993.43	4.78e+03	2.43e+02	1.92e+15	4.38e+14	1.38e+42	6.86e+41
58994.19	4.69e+03	2.39e+02	2.00e+15	4.68e+14	1.38e+42	7.02e+41
58995.19	4.63e+03	2.29e+02	2.04e+15	4.71e+14	1.36e+42	6.84e+41
58995.23	4.63e+03	2.28e+02	2.04e+15	4.70e+14	1.36e+42	6.82e+41
58996.27	4.59e+03	2.26e+02	2.06e+15	4.77e+14	1.35e+42	6.78e+41
58996.53	4.59e+03	2.21e+02	2.07e+15	4.70e+14	1.35e+42	6.65e+41
58998.22	4.54e+03	2.14e+02	2.12e+15	4.79e+14	1.36e+42	6.66e+41
58999.73	4.49e+03	2.10e+02	2.17e+15	4.91e+14	1.37e+42	6.69e+41
59000.28	4.47e+03	2.07e+02	2.20e+15	4.93e+14	1.37e+42	6.66e+41
59001.28	4.43e+03	2.06e+02	2.25e+15	5.11e+14	1.39e+42	6.82e+41
59002.25	4.41e+03	2.02e+02	2.25e+15	5.04e+14	1.36e+42	6.58e+41
59002.79	4.40e+03	2.03e+02	2.24e+15	5.06e+14	1.34e+42	6.54e+41
59003.27	4.40e+03	2.03e+02	2.24e+15	5.07e+14	1.33e+42	6.52e+41
59003.34	4.40e+03	2.04e+02	2.22e+15	5.03e+14	1.32e+42	6.45e+41
59004.25	4.39e+03	2.07e+02	2.23e+15	5.13e+14	1.31e+42	6.52e+41
59004.31	4.38e+03	2.07e+02	2.23e+15	5.17e+14	1.32e+42	6.58e+41
59004.81	4.38e+03	2.10e+02	2.25e+15	5.29e+14	1.32e+42	6.70e+41
59006.48	4.35e+03	2.11e+02	2.26e+15	5.34e+14	1.30e+42	6.66e+41
59007.25	4.33e+03	2.11e+02	2.28e+15	5.41e+14	1.30e+42	6.68e+41
59007.83	4.29e+03	2.13e+02	2.36e+15	5.71e+14	1.34e+42	7.02e+41
59008.25	4.26e+03	2.13e+02	2.39e+15	5.79e+14	1.35e+42	7.07e+41
59008.29	4.27e+03	2.14e+02	2.37e+15	5.76e+14	1.33e+42	7.00e+41
59009.75	4.20e+03	2.25e+02	2.43e+15	6.32e+14	1.31e+42	7.37e+41
59010.26	4.17e+03	2.27e+02	2.46e+15	6.48e+14	1.31e+42	7.47e+41
59011.25	4.11e+03	2.30e+02	2.56e+15	6.95e+14	1.34e+42	7.84e+41
59011.29	4.11e+03	2.30e+02	2.57e+15	6.99e+14	1.34e+42	7.89e+41
59012.25	4.06e+03	2.34e+02	2.62e+15	7.30e+14	1.33e+42	8.03e+41
59012.36	4.07e+03	2.34e+02	2.62e+15	7.31e+14	1.33e+42	8.06e+41
59013.26	4.09e+03	2.33e+02	2.59e+15	7.11e+14	1.34e+42	7.93e+41
59014.25	4.11e+03	2.37e+02	2.55e+15	6.96e+14	1.32e+42	7.84e+41
59014.79	4.13e+03	2.38e+02	2.53e+15	6.91e+14	1.33e+42	7.84e+41
59015.24	4.14e+03	2.36e+02	2.50e+15	6.66e+14	1.31e+42	7.58e+41
59015.26	4.14e+03	2.36e+02	2.51e+15	6.71e+14	1.32e+42	7.66e+41
59016.26	4.17e+03	2.36e+02	2.47e+15	6.49e+14	1.31e+42	7.49e+41
59017.24	4.20e+03	2.39e+02	2.41e+15	6.33e+14	1.29e+42	7.35e+41
59018.26	4.22e+03	2.40e+02	2.37e+15	6.16e+14	1.26e+42	7.17e+41
59020.24	4.18e+03	2.41e+02	2.39e+15	6.33e+14	1.25e+42	7.20e+41
59022.22	4.15e+03	2.44e+02	2.41e+15	6.49e+14	1.22e+42	7.19e+41
59023.22	4.13e+03	2.45e+02	2.42e+15	6.58e+14	1.21e+42	7.19e+41
59023.29	4.13e+03	2.46e+02	2.41e+15	6.59e+14	1.21e+42	7.19e+41
59023.78	4.12e+03	2.50e+02	2.41e+15	6.70e+14	1.19e+42	7.25e+41
59025.72	4.09e+03	2.52e+02	2.41e+15	6.79e+14	1.16e+42	7.11e+41
59027.26	4.06e+03	2.57e+02	2.43e+15	7.08e+14	1.14e+42	7.26e+41
59028.26	4.04e+03	2.60e+02	2.42e+15	7.15e+14	1.12e+42	7.21e+41
59030.26	4.02e+03	2.66e+02	2.37e+15	7.19e+14	1.05e+42	6.96e+41
59031.26	4.03e+03	2.74e+02	2.30e+15	7.14e+14	9.92e+41	6.73e+41
59031.70	4.02e+03	2.74e+02	2.32e+15	7.22e+14	9.96e+41	6.77e+41
59032.26	4.00e+03	2.73e+02	2.35e+15	7.32e+14	1.00e+42	6.82e+41
59032.28	3.99e+03	2.72e+02	2.36e+15	7.36e+14	1.01e+42	6.86e+41
59033.18	3.99e+03	2.75e+02	2.32e+15	7.29e+14	9.71e+41	6.66e+41
59033.26	3.99e+03	2.79e+02	2.31e+15	7.37e+14	9.64e+41	6.71e+41
59034.26	4.01e+03	2.86e+02	2.18e+15	7.06e+14	8.78e+41	6.20e+41
59034.30	4.01e+03	2.85e+02	2.19e+15	7.04e+14	8.78e+41	6.19e+41
59035.26	3.99e+03	2.84e+02	2.18e+15	7.00e+14	8.58e+41	6.03e+41
59036.22	3.97e+03	2.86e+02	2.18e+15	7.06e+14	8.41e+41	5.96e+41
59036.26	3.97e+03	2.82e+02	2.19e+15	7.01e+14	8.47e+41	5.93e+41
59037.26	4.02e+03	2.90e+02	1.99e+15	6.40e+14	7.32e+41	5.17e+41
59038.77	4.07e+03	2.97e+02	1.77e+15	5.70e+14	6.15e+41	4.34e+41
59039.30	4.09e+03	2.96e+02	1.71e+15	5.41e+14	5.80e+41	4.04e+41
59041.28	4.17e+03	2.97e+02	1.45e+15	4.39e+14	4.53e+41	3.04e+41
59048.28	4.02e+03	3.32e+02	1.32e+15	4.44e+14	3.24e+41	2.43e+41
59050.75	4.07e+03	3.36e+02	1.26e+15	4.24e+14	3.09e+41	2.32e+41
59060.37	4.33e+03	3.04e+02	1.01e+15	2.86e+14	2.55e+41	1.62e+41
59163.49	5.50e+03	3.52e+02	3.37e+14	7.58e+13	7.40e+40	3.83e+40
59169.48	5.56e+03	3.72e+02	3.15e+14	7.35e+13	6.74e+40	3.62e+40
59176.56	5.64e+03	3.64e+02	2.94e+14	6.54e+13	6.24e+40	3.21e+40
59180.51	5.67e+03	3.60e+02	2.88e+14	6.28e+13	6.11e+40	3.09e+40
59180.56	5.67e+03	3.60e+02	2.88e+14	6.28e+13	6.11e+40	3.09e+40
59184.51	5.73e+03	3.54e+02	2.76e+14	5.84e+13	5.84e+40	2.86e+40
59188.51	5.77e+03	3.52e+02	2.66e+14	5.54e+13	5.60e+40	2.71e+40
59194.52	5.89e+03	3.54e+02	2.41e+14	4.88e+13	5.02e+40	2.36e+40
59196.58	5.87e+03	3.62e+02	2.40e+14	4.97e+13	4.86e+40	2.34e+40
59197.58	5.86e+03	3.57e+02	2.39e+14	4.90e+13	4.81e+40	2.29e+40
59198.49	5.86e+03	3.49e+02	2.38e+14	4.75e+13	4.75e+40	2.21e+40
59199.54	5.84e+03	3.50e+02	2.39e+14	4.80e+13	4.73e+40	2.21e+40
59200.53	5.84e+03	3.42e+02	2.38e+14	4.66e+13	4.67e+40	2.13e+40
59201.55	5.84e+03	3.34e+02	2.36e+14	4.49e+13	4.59e+40	2.04e+40
59203.50	5.82e+03	3.27e+02	2.34e+14	4.38e+13	4.50e+40	1.96e+40
59203.53	5.82e+03	3.26e+02	2.34e+14	4.38e+13	4.49e+40	1.96e+40
59209.30	5.85e+03	3.08e+02	2.26e+14	3.95e+13	4.28e+40	1.74e+40
59211.66	5.91e+03	3.03e+02	2.19e+14	3.70e+13	4.14e+40	1.64e+40
59215.27	6.06e+03	3.18e+02	1.98e+14	3.40e+13	3.75e+40	1.51e+40
