# ph	Lobs	err	L+BB	err	

58975.20	9.54e+41	2.14e+40	1.07e+42	4.81e+40
58976.11	2.26e+42	8.90e+40	2.51e+42	1.20e+41
58976.16	2.27e+42	8.97e+40	2.52e+42	1.21e+41
58976.30	2.33e+42	9.42e+40	2.59e+42	1.33e+41
58977.18	2.57e+42	1.00e+41	2.88e+42	1.46e+41
58977.55	2.66e+42	1.03e+41	2.98e+42	1.53e+41
58977.73	2.61e+42	1.03e+41	2.94e+42	1.55e+41
58978.18	2.57e+42	9.94e+40	2.93e+42	1.50e+41
58978.25	2.54e+42	9.82e+40	2.90e+42	1.47e+41
58978.50	2.54e+42	9.87e+40	2.90e+42	1.49e+41
58979.18	2.49e+42	9.76e+40	2.88e+42	1.53e+41
58979.33	2.46e+42	9.70e+40	2.84e+42	1.51e+41
58979.41	2.46e+42	9.69e+40	2.85e+42	1.65e+41
58980.51	2.41e+42	9.53e+40	2.82e+42	1.53e+41
58980.72	2.39e+42	9.58e+40	2.81e+42	1.57e+41
58981.18	2.32e+42	9.32e+40	2.74e+42	1.61e+41
58981.25	2.32e+42	9.30e+40	2.75e+42	1.64e+41
58982.18	2.21e+42	9.04e+40	2.63e+42	1.67e+41
58983.21	2.08e+42	8.60e+40	2.49e+42	1.69e+41
58984.72	1.96e+42	8.40e+40	2.38e+42	1.82e+41
58985.18	1.90e+42	8.14e+40	2.32e+42	1.81e+41
58986.19	1.79e+42	7.72e+40	2.24e+42	1.89e+41
58986.26	1.77e+42	7.55e+40	2.22e+42	1.87e+41
58986.27	1.76e+42	7.50e+40	2.21e+42	1.86e+41
58986.74	1.78e+42	7.78e+40	2.23e+42	1.99e+41
58988.19	1.64e+42	7.35e+40	2.11e+42	2.14e+41
58988.54	1.60e+42	7.22e+40	2.07e+42	2.16e+41
58989.22	1.58e+42	7.17e+40	2.07e+42	2.30e+41
58989.87	1.57e+42	7.20e+40	2.07e+42	2.45e+41
58989.89	1.56e+42	7.17e+40	2.07e+42	2.44e+41
58990.19	1.53e+42	7.05e+40	2.04e+42	2.47e+41
58991.19	1.51e+42	6.99e+40	2.04e+42	2.68e+41
58991.70	1.49e+42	6.99e+40	2.03e+42	2.77e+41
58992.19	1.45e+42	6.65e+40	1.99e+42	2.81e+41
58992.23	1.45e+42	6.64e+40	2.00e+42	2.83e+41
58993.43	1.38e+42	6.46e+40	1.94e+42	2.98e+41
58994.19	1.37e+42	6.47e+40	1.95e+42	3.12e+41
58995.19	1.32e+42	6.11e+40	1.90e+42	3.09e+41
58995.23	1.31e+42	6.04e+40	1.89e+42	3.08e+41
58996.27	1.30e+42	6.08e+40	1.88e+42	3.09e+41
58996.53	1.26e+42	5.93e+40	1.84e+42	3.03e+41
58998.22	1.23e+42	5.71e+40	1.83e+42	3.07e+41
58999.73	1.21e+42	5.72e+40	1.82e+42	3.13e+41
59000.28	1.19e+42	5.61e+40	1.80e+42	3.13e+41
59001.28	1.20e+42	5.68e+40	1.83e+42	3.24e+41
59002.25	1.14e+42	5.39e+40	1.75e+42	3.14e+41
59002.79	1.13e+42	5.43e+40	1.74e+42	3.13e+41
59003.27	1.11e+42	5.27e+40	1.72e+42	3.12e+41
59003.34	1.10e+42	5.24e+40	1.70e+42	3.08e+41
59004.25	1.11e+42	5.25e+40	1.71e+42	3.12e+41
59004.31	1.12e+42	5.28e+40	1.72e+42	3.16e+41
59004.81	1.14e+42	5.41e+40	1.74e+42	3.22e+41
59006.48	1.09e+42	5.15e+40	1.69e+42	3.22e+41
59007.25	1.06e+42	5.05e+40	1.67e+42	3.25e+41
59007.83	1.08e+42	5.09e+40	1.70e+42	3.44e+41
59008.25	1.05e+42	5.02e+40	1.69e+42	3.49e+41
59008.29	1.04e+42	4.99e+40	1.67e+42	3.45e+41
59009.75	1.03e+42	4.90e+40	1.66e+42	3.69e+41
59010.26	1.01e+42	4.84e+40	1.65e+42	3.77e+41
59011.25	1.02e+42	4.84e+40	1.68e+42	4.02e+41
59011.29	1.02e+42	4.85e+40	1.68e+42	4.05e+41
59012.25	1.01e+42	4.80e+40	1.67e+42	4.16e+41
59012.36	1.01e+42	4.79e+40	1.68e+42	4.18e+41
59013.26	9.88e+41	4.68e+40	1.65e+42	4.09e+41
59014.25	9.90e+41	4.69e+40	1.64e+42	4.01e+41
59014.79	9.96e+41	4.71e+40	1.65e+42	4.00e+41
59015.24	9.57e+41	4.58e+40	1.59e+42	3.85e+41
59015.26	9.67e+41	4.58e+40	1.61e+42	3.89e+41
59016.26	9.47e+41	4.47e+40	1.58e+42	3.78e+41
59017.24	9.46e+41	4.45e+40	1.56e+42	3.68e+41
59018.26	9.24e+41	4.36e+40	1.53e+42	3.58e+41
59020.24	9.09e+41	4.23e+40	1.51e+42	3.62e+41
59022.22	8.79e+41	4.16e+40	1.47e+42	3.65e+41
59023.22	8.62e+41	4.02e+40	1.45e+42	3.66e+41
59023.29	8.63e+41	4.08e+40	1.45e+42	3.66e+41
59023.78	8.74e+41	4.13e+40	1.46e+42	3.70e+41
59025.72	8.18e+41	3.82e+40	1.39e+42	3.66e+41
59027.26	8.09e+41	3.81e+40	1.38e+42	3.76e+41
59028.26	7.91e+41	3.67e+40	1.35e+42	3.75e+41
59030.26	7.40e+41	3.44e+40	1.27e+42	3.63e+41
59031.26	7.20e+41	3.38e+40	1.22e+42	3.51e+41
59031.70	7.14e+41	3.31e+40	1.22e+42	3.55e+41
59032.26	6.96e+41	3.23e+40	1.20e+42	3.59e+41
59032.28	6.97e+41	3.23e+40	1.21e+42	3.61e+41
59033.18	6.71e+41	3.06e+40	1.16e+42	3.51e+41
59033.26	6.82e+41	3.16e+40	1.17e+42	3.54e+41
59034.26	6.38e+41	2.95e+40	1.08e+42	3.25e+41
59034.30	6.31e+41	2.92e+40	1.07e+42	3.24e+41
59035.26	5.96e+41	2.72e+40	1.03e+42	3.17e+41
59036.22	5.67e+41	2.60e+40	9.94e+41	3.15e+41
59036.26	5.54e+41	2.52e+40	9.85e+41	3.14e+41
59037.26	5.05e+41	2.28e+40	8.73e+41	2.70e+41
59038.77	4.36e+41	1.97e+40	7.40e+41	2.24e+41
59039.30	4.03e+41	1.82e+40	6.89e+41	2.07e+41
59041.28	3.12e+41	1.43e+40	5.30e+41	1.53e+41
59048.28	1.89e+41	9.25e+39	3.50e+41	1.27e+41
59050.75	1.88e+41	9.07e+39	3.39e+41	1.20e+41
59060.37	1.62e+41	7.67e+39	2.78e+41	7.79e+40
59163.49	8.38e+40	5.16e+39	1.08e+41	1.42e+40
59169.48	8.15e+40	5.14e+39	1.03e+41	1.33e+40
59176.56	7.31e+40	4.54e+39	9.25e+40	1.16e+40
59180.51	7.03e+40	4.28e+39	8.91e+40	1.10e+40
59180.56	7.03e+40	4.28e+39	8.91e+40	1.10e+40
59184.51	6.58e+40	3.99e+39	8.35e+40	1.01e+40
59188.51	6.27e+40	3.74e+39	7.95e+40	9.40e+39
59194.52	5.67e+40	3.35e+39	7.12e+40	8.00e+39
59196.58	5.21e+40	2.88e+39	6.62e+40	7.81e+39
59197.58	4.93e+40	2.63e+39	6.34e+40	7.60e+39
59198.49	4.63e+40	2.41e+39	6.01e+40	7.28e+39
59199.54	4.51e+40	2.24e+39	5.89e+40	7.27e+39
59200.53	4.24e+40	2.06e+39	5.61e+40	6.99e+39
59201.55	3.98e+40	1.90e+39	5.32e+40	6.67e+39
59203.50	3.70e+40	1.69e+39	5.02e+40	6.39e+39
59203.53	3.70e+40	1.69e+39	5.02e+40	6.39e+39
59209.30	3.39e+40	1.43e+39	4.65e+40	5.61e+39
59211.66	3.24e+40	1.38e+39	4.44e+40	5.21e+39
59215.27	3.15e+40	1.36e+39	4.19e+40	4.64e+39
59216.51	3.08e+40	1.34e+39	4.07e+40	4.41e+39
59216.65	3.10e+40	1.34e+39	4.08e+40	4.42e+39
59221.26	3.19e+40	1.47e+39	4.09e+40	4.61e+39
59221.44	3.12e+40	1.43e+39	4.02e+40	4.48e+39
59223.47	3.13e+40	1.49e+39	3.98e+40	4.36e+39
59227.25	3.46e+40	1.75e+39	4.28e+40	4.39e+39
59227.38	3.40e+40	1.74e+39	4.21e+40	4.26e+39
59229.43	3.71e+40	1.92e+39	4.48e+40	3.98e+39
59229.52	3.77e+40	1.94e+39	4.54e+40	4.03e+39
59231.48	3.91e+40	2.09e+39	4.62e+40	3.62e+39
59231.60	3.92e+40	2.10e+39	4.62e+40	3.60e+39
59237.31	5.23e+40	2.87e+39	5.89e+40	3.89e+39
59243.57	4.55e+40	2.60e+39	5.16e+40	3.56e+39
59245.43	3.22e+40	1.82e+39	3.83e+40	3.62e+39
59249.41	3.28e+40	1.90e+39	3.85e+40	3.55e+39
59250.27	3.27e+40	1.91e+39	3.83e+40	3.50e+39
59251.46	3.28e+40	1.93e+39	3.83e+40	3.48e+39
59253.49	3.32e+40	1.96e+39	3.86e+40	3.47e+39
59255.04	3.33e+40	1.98e+39	3.85e+40	3.42e+39
