##phase	S	err	D	err	A	err	u	err	B	err	g	err	V	err	r	err	i	err	z	err	
#
58975.20	15.96	0.05	15.89	0.03	15.79	0.06	15.29	0.04	15.89	0.06	15.67	0.08	15.79	0.04	16.02	0.10	16.25	0.06	16.47	0.06
58976.11	15.03	0.10	14.95	0.10	14.86	0.10	14.36	0.10	14.95	0.10	14.73	0.10	14.85	0.10	15.08	0.10	15.31	0.06	15.53	0.06
58976.16	15.03	0.10	14.95	0.10	14.86	0.10	14.35	0.10	14.94	0.10	14.69	0.10	14.89	0.10	15.06	0.10	15.30	0.06	15.52	0.06
58976.30	15.03	0.10	14.95	0.10	14.86	0.10	14.34	0.10	14.92	0.10	14.52	0.10	14.87	0.10	15.04	0.10	15.28	0.10	15.50	0.10
58977.18	15.05	0.10	14.92	0.10	14.88	0.10	14.28	0.10	14.76	0.10	14.54	0.10	14.62	0.10	14.77	0.10	14.94	0.10	15.15	0.10
58977.55	15.05	0.10	14.91	0.10	14.89	0.10	14.26	0.10	14.70	0.10	14.55	0.10	14.47	0.10	14.76	0.10	14.88	0.10	15.07	0.10
58977.73	15.08	0.10	14.91	0.10	14.90	0.10	14.38	0.10	14.76	0.10	14.42	0.10	14.43	0.10	14.65	0.10	14.85	0.10	15.02	0.10
58978.18	15.36	0.10	15.04	0.10	14.96	0.10	14.39	0.10	14.76	0.10	14.49	0.10	14.42	0.10	14.62	0.10	14.76	0.10	14.93	0.10
58978.25	15.40	0.10	15.06	0.10	14.97	0.10	14.40	0.10	14.76	0.10	14.51	0.10	14.44	0.10	14.64	0.10	14.76	0.10	14.92	0.10
58978.50	15.44	0.10	15.11	0.10	15.00	0.10	14.42	0.10	14.71	0.10	14.49	0.10	14.45	0.10	14.61	0.10	14.77	0.10	14.89	0.10
58979.18	15.57	0.10	15.25	0.10	15.10	0.10	14.49	0.10	14.71	0.10	14.45	0.10	14.49	0.10	14.54	0.10	14.67	0.10	14.81	0.10
58979.33	15.59	0.10	15.28	0.10	15.12	0.10	14.50	0.10	14.71	0.10	14.44	0.10	14.46	0.10	14.68	0.10	14.66	0.10	14.79	0.10
58979.41	15.70	0.10	15.36	0.10	15.30	0.10	14.49	0.10	14.71	0.10	14.43	0.10	14.47	0.10	14.55	0.10	14.67	0.10	14.79	0.10
58980.51	16.15	0.10	15.73	0.10	15.25	0.10	14.55	0.10	14.71	0.10	14.43	0.10	14.52	0.10	14.50	0.10	14.62	0.10	14.76	0.10
58980.72	16.22	0.10	15.82	0.10	15.32	0.10	14.57	0.10	14.71	0.10	14.38	0.10	14.51	0.10	14.48	0.10	14.62	0.10	14.75	0.10
58981.18	16.38	0.10	16.01	0.10	15.48	0.10	14.62	0.10	14.72	0.10	14.42	0.10	14.49	0.10	14.51	0.10	14.60	0.10	14.74	0.10
58981.25	16.40	0.10	16.04	0.10	15.50	0.10	14.63	0.10	14.73	0.10	14.44	0.10	14.49	0.10	14.45	0.10	14.60	0.10	14.74	0.10
58982.18	16.62	0.10	16.29	0.10	15.69	0.10	14.71	0.10	14.77	0.10	14.44	0.10	14.45	0.10	14.51	0.10	14.66	0.10	14.76	0.10
58983.21	16.80	0.10	16.56	0.10	15.88	0.10	14.83	0.10	14.79	0.10	14.49	0.10	14.50	0.10	14.52	0.10	14.67	0.10	14.82	0.10
58984.72	17.09	0.10	16.99	0.10	16.20	0.10	14.97	0.10	14.81	0.10	14.48	0.10	14.51	0.10	14.51	0.10	14.74	0.10	14.85	0.10
58985.18	17.22	0.10	17.13	0.10	16.27	0.10	15.04	0.10	14.82	0.10	14.52	0.10	14.55	0.10	14.53	0.10	14.73	0.10	14.84	0.10
58986.19	17.48	0.10	17.46	0.10	16.47	0.10	15.20	0.10	14.87	0.10	14.59	0.10	14.57	0.10	14.54	0.10	14.66	0.10	14.82	0.10
58986.26	17.50	0.10	17.48	0.10	16.49	0.10	15.21	0.10	14.88	0.10	14.66	0.10	14.56	0.10	14.55	0.10	14.66	0.10	14.82	0.10
58986.27	17.50	0.10	17.49	0.10	16.50	0.10	15.22	0.10	14.88	0.10	14.66	0.10	14.56	0.10	14.58	0.10	14.66	0.10	14.82	0.10
58986.74	17.62	0.10	17.66	0.10	16.62	0.10	15.24	0.10	14.91	0.10	14.54	0.10	14.55	0.10	14.53	0.10	14.70	0.10	14.82	0.10
58988.19	17.98	0.10	18.16	0.10	16.99	0.10	15.47	0.10	14.99	0.10	14.61	0.10	14.51	0.10	14.55	0.10	14.74	0.10	14.83	0.10
58988.54	18.06	0.10	18.29	0.10	17.08	0.10	15.53	0.10	15.01	0.10	14.63	0.10	14.53	0.10	14.56	0.10	14.77	0.10	14.82	0.10
58989.22	18.23	0.10	18.53	0.10	17.25	0.10	15.61	0.10	15.05	0.10	14.60	0.10	14.57	0.10	14.54	0.10	14.71	0.10	14.82	0.10
58989.87	18.39	0.10	18.75	0.10	17.42	0.10	15.69	0.10	15.09	0.10	14.59	0.10	14.55	0.10	14.48	0.10	14.73	0.10	14.80	0.10
58989.89	18.40	0.10	18.76	0.10	17.42	0.10	15.69	0.10	15.09	0.10	14.59	0.10	14.55	0.10	14.51	0.10	14.73	0.10	14.80	0.10
58990.19	18.47	0.10	18.87	0.10	17.50	0.10	15.72	0.10	15.10	0.10	14.60	0.10	14.58	0.10	14.54	0.10	14.74	0.10	14.79	0.10
58991.19	18.72	0.10	19.22	0.10	17.76	0.10	15.83	0.10	15.13	0.10	14.62	0.10	14.56	0.10	14.50	0.10	14.69	0.10	14.79	0.10
58991.70	18.85	0.10	19.40	0.10	17.89	0.10	15.88	0.10	15.15	0.10	14.61	0.10	14.57	0.10	14.49	0.10	14.71	0.10	14.80	0.10
58992.19	18.97	0.10	19.57	0.10	18.01	0.10	15.94	0.10	15.16	0.10	14.72	0.10	14.57	0.10	14.54	0.10	14.69	0.10	14.81	0.10
58992.23	18.98	0.10	19.59	0.10	18.02	0.10	15.94	0.10	15.16	0.10	14.74	0.10	14.57	0.10	14.50	0.10	14.69	0.10	14.81	0.10
58993.43	19.27	0.10	20.01	0.10	18.33	0.10	16.08	0.10	15.20	0.10	14.74	0.10	14.61	0.10	14.56	0.10	14.75	0.10	14.81	0.10
58994.19	19.48	0.10	20.21	0.10	18.50	0.10	16.16	0.10	15.23	0.10	14.72	0.10	14.61	0.10	14.56	0.10	14.69	0.10	14.81	0.10
58995.19	19.80	0.10	20.33	0.10	18.67	0.10	16.24	0.10	15.28	0.10	14.80	0.10	14.71	0.10	14.55	0.10	14.70	0.10	14.81	0.10
58995.23	19.81	0.10	20.34	0.10	18.67	0.10	16.24	0.10	15.29	0.10	14.84	0.10	14.70	0.10	14.55	0.10	14.70	0.10	14.81	0.10
58996.27	20.02	0.10	20.40	0.10	18.80	0.10	16.37	0.10	15.34	0.10	14.82	0.10	14.63	0.10	14.55	0.10	14.71	0.10	14.81	0.10
58996.53	20.06	0.10	20.41	0.10	18.82	0.10	16.41	0.10	15.35	0.10	14.85	0.10	14.63	0.10	14.66	0.10	14.71	0.10	14.81	0.10
58998.22	20.32	0.10	20.45	0.10	18.99	0.10	16.57	0.10	15.45	0.10	14.94	0.10	14.66	0.10	14.56	0.10	14.70	0.10	14.79	0.10
58999.73	20.55	0.10	20.50	0.10	19.13	0.10	16.71	0.10	15.53	0.10	14.88	0.10	14.68	0.10	14.56	0.10	14.69	0.10	14.77	0.10
59000.28	20.63	0.10	20.51	0.10	19.19	0.10	16.77	0.10	15.56	0.10	14.91	0.10	14.69	0.10	14.59	0.10	14.69	0.10	14.77	0.10
59001.28	20.79	0.10	20.54	0.10	19.28	0.10	16.87	0.10	15.61	0.10	14.92	0.10	14.61	0.10	14.56	0.10	14.67	0.10	14.74	0.10
59002.25	20.94	0.10	20.57	0.10	19.38	0.10	16.96	0.10	15.67	0.10	14.95	0.10	14.72	0.10	14.62	0.10	14.71	0.10	14.76	0.10
59002.79	20.98	0.10	20.58	0.10	19.42	0.10	17.06	0.10	15.72	0.10	14.96	0.10	14.64	0.10	14.62	0.10	14.73	0.10	14.77	0.10
59003.27	20.98	0.10	20.58	0.10	19.44	0.10	16.99	0.10	15.78	0.10	15.02	0.10	14.64	0.10	14.66	0.10	14.72	0.10	14.78	0.10
59003.34	20.98	0.10	20.58	0.10	19.44	0.10	16.98	0.10	15.78	0.10	15.03	0.10	14.64	0.10	14.66	0.10	14.77	0.10	14.78	0.10
59004.25	20.98	0.10	20.58	0.10	19.48	0.10	17.09	0.10	15.79	0.10	15.06	0.10	14.61	0.10	14.63	0.10	14.72	0.10	14.80	0.10
59004.31	20.98	0.10	20.58	0.10	19.48	0.10	17.10	0.10	15.79	0.10	15.05	0.10	14.61	0.10	14.62	0.10	14.69	0.10	14.80	0.10
59004.81	20.99	0.10	20.58	0.10	19.51	0.10	17.16	0.10	15.79	0.10	14.98	0.10	14.63	0.10	14.59	0.10	14.66	0.10	14.80	0.10
59006.48	20.99	0.10	20.59	0.10	19.58	0.10	17.22	0.10	15.80	0.10	15.06	0.10	14.68	0.10	14.63	0.10	14.72	0.10	14.80	0.10
59007.25	21.00	0.10	20.59	0.10	19.63	0.10	17.33	0.10	15.81	0.10	15.05	0.10	14.76	0.10	14.65	0.10	14.71	0.10	14.80	0.10
59007.83	21.00	0.10	20.59	0.10	19.70	0.10	17.35	0.10	15.82	0.10	15.05	0.10	14.76	0.10	14.60	0.10	14.70	0.10	14.77	0.10
59008.25	21.01	0.10	20.59	0.10	19.75	0.10	17.38	0.10	15.83	0.10	15.05	0.10	14.76	0.10	14.65	0.10	14.77	0.10	14.74	0.10
59008.29	21.01	0.10	20.59	0.10	19.75	0.10	17.38	0.10	15.83	0.10	15.05	0.10	14.77	0.10	14.67	0.10	14.77	0.10	14.76	0.10
59009.75	21.02	0.10	20.59	0.10	19.93	0.10	17.49	0.10	15.86	0.10	15.10	0.10	14.79	0.10	14.65	0.10	14.73	0.10	14.79	0.10
59010.26	21.03	0.10	20.59	0.10	19.99	0.10	17.54	0.10	15.87	0.10	15.09	0.10	14.80	0.10	14.74	0.10	14.69	0.10	14.79	0.10
59011.25	21.04	0.10	20.59	0.10	20.11	0.10	17.62	0.10	15.90	0.10	15.11	0.10	14.80	0.10	14.68	0.10	14.72	0.10	14.77	0.10
59011.29	21.04	0.10	20.59	0.10	20.11	0.10	17.62	0.10	15.90	0.10	15.11	0.10	14.80	0.10	14.68	0.10	14.69	0.10	14.77	0.10
59012.25	21.04	0.10	20.59	0.10	20.22	0.10	17.70	0.10	15.92	0.10	15.14	0.10	14.78	0.10	14.69	0.10	14.73	0.10	14.78	0.10
59012.36	21.01	0.10	20.58	0.10	20.21	0.10	17.71	0.10	15.92	0.10	15.16	0.10	14.80	0.10	14.65	0.10	14.72	0.10	14.78	0.10
