# ph	T_bb	err	R_bb	err	L_bb	err

58973.45	1.00e+05	1.00e+05	3.27e+13	3.27e+13	7.63e+43	3.41e+44
58984.40	2.06e+04	2.82e+03	3.24e+14	3.80e+13	1.36e+43	8.05e+42
58984.40	2.07e+04	2.87e+03	3.24e+14	3.88e+13	1.36e+43	8.25e+42
58985.38	1.94e+04	3.17e+03	3.52e+14	5.10e+13	1.26e+43	9.01e+42
58986.29	2.00e+04	4.39e+03	3.60e+14	6.92e+13	1.48e+43	1.42e+43
58987.33	1.82e+04	4.26e+03	4.02e+14	8.64e+13	1.26e+43	1.30e+43
58989.51	1.72e+04	2.76e+03	4.35e+14	6.49e+13	1.17e+43	8.33e+42
58991.27	1.35e+04	1.67e+03	5.44e+14	7.18e+13	7.10e+42	3.98e+42
58992.27	1.39e+04	1.92e+03	5.25e+14	7.61e+13	7.35e+42	4.58e+42
58993.30	1.38e+04	1.96e+03	5.37e+14	8.19e+13	7.51e+42	4.83e+42
58994.31	1.32e+04	2.35e+03	5.56e+14	1.10e+14	6.61e+42	5.40e+42
58995.26	1.28e+04	2.39e+03	5.80e+14	1.22e+14	6.46e+42	5.54e+42
58996.27	1.19e+04	2.06e+03	6.41e+14	1.32e+14	5.92e+42	4.76e+42
58997.29	1.19e+04	2.11e+03	6.31e+14	1.33e+14	5.69e+42	4.70e+42
58998.26	1.20e+04	2.28e+03	6.06e+14	1.35e+14	5.49e+42	4.83e+42
58998.29	1.21e+04	2.39e+03	5.95e+14	1.36e+14	5.48e+42	5.00e+42
58999.30	1.11e+04	1.91e+03	7.08e+14	1.51e+14	5.34e+42	4.33e+42
59001.26	1.16e+04	2.14e+03	6.22e+14	1.37e+14	4.94e+42	4.26e+42
59003.45	1.14e+04	1.83e+03	6.47e+14	1.24e+14	5.01e+42	3.75e+42
59004.27	1.09e+04	1.79e+03	6.44e+14	1.30e+14	4.18e+42	3.22e+42
59007.31	1.07e+04	2.24e+03	6.63e+14	1.72e+14	4.14e+42	4.07e+42
59008.32	1.01e+04	2.12e+03	6.96e+14	1.89e+14	3.61e+42	3.61e+42
59009.35	9.69e+03	2.21e+03	7.24e+14	2.20e+14	3.30e+42	3.62e+42
59011.26	1.01e+04	2.19e+03	6.92e+14	1.92e+14	3.59e+42	3.70e+42
59014.24	9.87e+03	1.81e+03	7.09e+14	1.70e+14	3.41e+42	2.98e+42
59016.44	1.00e+04	1.62e+03	6.88e+14	1.44e+14	3.39e+42	2.62e+42
59017.26	8.62e+03	1.44e+03	8.22e+14	1.99e+14	2.67e+42	2.20e+42
59023.20	8.37e+03	1.36e+03	8.50e+14	2.04e+14	2.53e+42	2.04e+42
59023.44	8.49e+03	1.30e+03	8.26e+14	1.85e+14	2.52e+42	1.91e+42
59024.25	8.25e+03	1.30e+03	8.61e+14	2.02e+14	2.45e+42	1.92e+42
59026.29	8.09e+03	1.38e+03	8.92e+14	2.32e+14	2.43e+42	2.09e+42
59029.21	7.72e+03	1.48e+03	9.57e+14	2.89e+14	2.32e+42	2.27e+42
59030.39	7.68e+03	1.25e+03	9.46e+14	2.45e+14	2.21e+42	1.85e+42
59031.29	7.63e+03	1.25e+03	9.51e+14	2.48e+14	2.19e+42	1.83e+42
59032.25	7.60e+03	1.36e+03	9.74e+14	2.78e+14	2.26e+42	2.07e+42
59034.28	7.55e+03	1.24e+03	9.77e+14	2.57e+14	2.21e+42	1.86e+42
59037.38	7.23e+03	1.01e+03	1.06e+15	2.44e+14	2.17e+42	1.57e+42
59038.21	7.15e+03	9.32e+02	1.07e+15	2.35e+14	2.14e+42	1.46e+42
59040.37	6.94e+03	8.53e+02	1.13e+15	2.40e+14	2.13e+42	1.38e+42
59041.25	7.14e+03	9.68e+02	1.07e+15	2.44e+14	2.12e+42	1.50e+42
59044.23	7.65e+03	1.34e+03	9.19e+14	2.56e+14	2.06e+42	1.85e+42
59047.21	7.43e+03	1.34e+03	9.55e+14	2.79e+14	1.98e+42	1.84e+42
59048.35	8.08e+03	1.35e+03	8.48e+14	2.15e+14	2.18e+42	1.83e+42
59050.29	7.02e+03	1.23e+03	1.03e+15	3.07e+14	1.83e+42	1.68e+42
59054.20	7.64e+03	1.37e+03	9.16e+14	2.61e+14	2.03e+42	1.86e+42
59055.33	7.57e+03	1.27e+03	9.16e+14	2.45e+14	1.97e+42	1.68e+42
59057.17	7.37e+03	1.31e+03	9.57e+14	2.78e+14	1.92e+42	1.77e+42
59059.38	7.17e+03	1.18e+03	9.78e+14	2.71e+14	1.80e+42	1.55e+42
59062.37	6.92e+03	1.08e+03	1.02e+15	2.77e+14	1.71e+42	1.42e+42
59065.30	6.95e+03	1.15e+03	9.81e+14	2.80e+14	1.60e+42	1.40e+42
59066.24	6.94e+03	1.22e+03	9.75e+14	2.96e+14	1.57e+42	1.46e+42
59067.18	6.94e+03	1.28e+03	9.65e+14	3.07e+14	1.54e+42	1.50e+42
59069.35	6.96e+03	1.34e+03	9.33e+14	3.10e+14	1.45e+42	1.48e+42
59072.18	7.65e+03	1.48e+03	7.86e+14	2.41e+14	1.51e+42	1.49e+42
59073.18	7.55e+03	1.55e+03	7.93e+14	2.61e+14	1.46e+42	1.53e+42
