# ph	Lobs	err	L+BB	err	

58973.45	1.70e+41	3.47e+40	7.63e+43	3.41e+44
58984.40	1.24e+42	1.71e+41	1.36e+43	7.28e+42
58984.40	1.24e+42	1.71e+41	1.36e+43	7.46e+42
58985.38	1.29e+42	1.74e+41	1.26e+43	8.02e+42
58986.29	1.40e+42	1.87e+41	1.48e+43	1.27e+43
58987.33	1.44e+42	1.86e+41	1.26e+43	1.13e+43
58989.51	1.58e+42	2.34e+41	1.17e+43	7.12e+42
58991.27	1.53e+42	2.18e+41	7.09e+42	3.03e+42
58992.27	1.54e+42	2.20e+41	7.36e+42	3.54e+42
58993.30	1.60e+42	2.02e+41	7.53e+42	3.72e+42
58994.31	1.56e+42	1.94e+41	6.65e+42	4.03e+42
58995.26	1.59e+42	1.96e+41	6.50e+42	4.06e+42
58996.27	1.58e+42	1.90e+41	5.90e+42	3.31e+42
58997.29	1.53e+42	1.87e+41	5.68e+42	3.26e+42
58998.26	1.47e+42	1.85e+41	5.50e+42	3.38e+42
58998.29	1.46e+42	1.83e+41	5.50e+42	3.52e+42
58999.30	1.55e+42	1.95e+41	5.28e+42	2.83e+42
59001.26	1.40e+42	1.87e+41	4.95e+42	2.89e+42
59003.45	1.44e+42	2.06e+41	5.00e+42	2.52e+42
59004.27	1.34e+42	1.95e+41	4.20e+42	2.08e+42
59007.31	1.33e+42	2.17e+41	4.16e+42	2.58e+42
59008.32	1.27e+42	2.15e+41	3.64e+42	2.16e+42
59009.35	1.25e+42	2.23e+41	3.35e+42	2.08e+42
59011.26	1.28e+42	2.43e+41	3.64e+42	2.22e+42
59014.24	1.25e+42	2.58e+41	3.44e+42	1.75e+42
59016.44	1.21e+42	2.59e+41	3.41e+42	1.57e+42
59017.26	1.16e+42	2.63e+41	2.70e+42	1.13e+42
59023.20	1.14e+42	3.07e+41	2.57e+42	1.02e+42
59023.44	1.10e+42	2.87e+41	2.55e+42	9.75e+41
59024.25	1.11e+42	3.03e+41	2.48e+42	9.50e+41
59026.29	1.16e+42	3.48e+41	2.50e+42	1.02e+42
59029.21	1.21e+42	4.17e+41	2.46e+42	1.06e+42
59030.39	1.09e+42	3.46e+41	2.27e+42	8.64e+41
59031.29	1.09e+42	3.45e+41	2.25e+42	8.54e+41
59032.25	1.17e+42	4.16e+41	2.36e+42	9.69e+41
59034.28	1.12e+42	4.11e+41	2.28e+42	8.81e+41
59037.38	1.11e+42	4.37e+41	2.22e+42	7.64e+41
59038.21	1.09e+42	4.25e+41	2.17e+42	7.15e+41
59040.37	1.10e+42	4.48e+41	2.16e+42	6.94e+41
59041.25	1.09e+42	4.60e+41	2.16e+42	7.49e+41
59044.23	1.06e+42	4.84e+41	2.16e+42	9.25e+41
59047.21	1.07e+42	5.28e+41	2.10e+42	9.24e+41
59048.35	1.04e+42	4.80e+41	2.24e+42	9.64e+41
59050.29	1.03e+42	5.41e+41	1.95e+42	8.47e+41
59054.20	1.06e+42	5.77e+41	2.14e+42	9.80e+41
59055.33	1.01e+42	5.24e+41	2.04e+42	8.82e+41
59057.17	1.04e+42	5.89e+41	2.04e+42	9.31e+41
59059.38	9.63e+41	5.25e+41	1.88e+42	8.08e+41
59062.37	9.36e+41	5.52e+41	1.79e+42	7.73e+41
59065.30	8.93e+41	5.64e+41	1.69e+42	7.78e+41
59066.24	9.02e+41	5.87e+41	1.68e+42	8.11e+41
59067.18	8.98e+41	5.94e+41	1.66e+42	8.25e+41
59069.35	8.53e+41	5.56e+41	1.58e+42	7.94e+41
59072.18	8.01e+41	5.36e+41	1.60e+42	8.31e+41
59073.18	8.12e+41	5.77e+41	1.58e+42	8.66e+41
59079.26	6.42e+41	4.72e+41	1.17e+42	6.33e+41
59083.26	5.25e+41	4.08e+41	9.08e+41	5.02e+41
59094.26	3.09e+41	2.97e+41	5.65e+41	3.28e+41
59096.26	2.76e+41	2.44e+41	5.16e+41	2.71e+41
59108.25	2.21e+41	1.68e+41	4.26e+41	2.16e+41
59119.24	2.31e+41	2.13e+41	4.47e+41	2.37e+41
59122.23	2.58e+41	2.75e+41	4.84e+41	2.99e+41
59136.22	2.02e+41	1.76e+41	3.98e+41	2.02e+41
59303.52	1.04e+41	8.63e+40	2.21e+41	1.09e+41
59314.47	7.28e+40	4.71e+40	1.69e+41	1.87e+41
59334.45	1.52e+41	1.36e+41	2.92e+41	1.78e+41
59408.39	8.25e+40	6.54e+40	2.10e+41	1.48e+41
59830.25	3.67e+41	3.33e+41	2.41e+42	6.61e+42

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020jww_gwrizy.txt and logL-bb_2020jww_gwrizy.txt for simple LC files
# Methodology:
# filters used:gwrizy
# redshift used:0.046
# extinction used:0.035
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
