##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
58973.45	20.84	0.25	22.07	0.08	22.15	0.20	22.44	0.21	22.24	0.24	23.18	1.20
58984.40	19.20	0.25	19.34	0.04	19.42	0.20	19.71	0.20	19.52	0.21	20.45	1.20
58984.40	19.20	0.25	19.34	0.04	19.42	0.20	19.71	0.20	19.51	0.21	20.45	1.20
58985.38	19.19	0.25	19.27	0.04	19.35	0.20	19.66	0.20	19.45	0.21	20.38	1.20
58986.29	19.12	0.25	19.17	0.04	19.25	0.20	19.60	0.20	19.34	0.21	20.27	1.20
58987.33	19.14	0.25	19.11	0.04	19.19	0.20	19.54	0.20	19.28	0.21	20.22	1.20
58989.51	19.02	0.25	19.03	0.10	19.11	0.20	19.41	0.20	19.21	0.21	20.14	1.20
58991.27	19.14	0.25	19.09	0.10	19.10	0.20	19.31	0.20	19.19	0.21	20.13	1.20
58992.27	19.10	0.25	19.12	0.10	19.14	0.20	19.25	0.20	19.23	0.20	20.17	1.20
58993.30	19.06	0.25	19.09	0.04	19.11	0.20	19.19	0.20	19.20	0.20	20.13	1.20
58994.31	19.12	0.25	19.13	0.04	19.15	0.20	19.13	0.20	19.24	0.20	20.18	1.20
58995.26	19.12	0.25	19.10	0.04	19.12	0.20	19.07	0.20	19.22	0.20	20.15	1.20
58996.27	19.21	0.25	19.06	0.05	19.08	0.20	19.07	0.20	19.17	0.20	20.11	1.20
58997.29	19.24	0.25	19.10	0.06	19.12	0.20	19.09	0.20	19.21	0.20	20.14	1.20
58998.26	19.27	0.25	19.16	0.07	19.18	0.20	19.11	0.20	19.27	0.20	20.20	1.20
58998.29	19.27	0.25	19.18	0.07	19.20	0.20	19.11	0.20	19.29	0.20	20.23	1.20
58999.30	19.30	0.25	19.01	0.08	19.03	0.20	19.12	0.20	19.12	0.20	20.06	1.20
59001.26	19.35	0.25	19.19	0.09	19.21	0.20	19.16	0.20	19.30	0.20	20.24	1.20
59003.45	19.33	0.25	19.13	0.11	19.15	0.20	19.19	0.20	19.23	0.20	20.18	1.20
59004.27	19.32	0.25	19.33	0.12	19.34	0.20	19.21	0.20	19.26	0.20	20.37	1.20
59007.31	19.54	0.25	19.15	0.15	19.16	0.20	19.26	0.20	19.36	0.20	20.19	1.20
59008.32	19.64	0.25	19.19	0.16	19.20	0.20	19.27	0.20	19.40	0.20	20.23	1.20
59009.35	19.74	0.25	19.16	0.17	19.18	0.20	19.27	0.20	19.43	0.20	20.21	1.20
59011.26	19.65	0.25	19.16	0.19	19.18	0.20	19.28	0.20	19.41	0.20	20.20	1.20
59014.24	19.64	0.25	19.22	0.22	19.24	0.20	19.29	0.20	19.38	0.20	20.27	1.20
59016.44	19.60	0.25	19.32	0.24	19.33	0.20	19.30	0.20	19.38	0.20	20.36	1.20
59017.26	19.84	0.25	19.29	0.25	19.31	0.20	19.30	0.20	19.38	0.20	20.34	1.20
59023.20	19.87	0.25	19.32	0.31	19.33	0.20	19.29	0.20	19.38	0.20	20.36	1.20
59023.44	19.84	0.25	19.41	0.31	19.43	0.20	19.29	0.20	19.38	0.20	20.45	1.20
59024.25	19.89	0.25	19.37	0.32	19.38	0.20	19.28	0.20	19.38	0.20	20.41	1.20
59026.29	19.93	0.25	19.26	0.34	19.28	0.20	19.27	0.20	19.38	0.20	20.31	1.20
59029.21	20.00	0.25	19.14	0.37	19.16	0.20	19.24	0.20	19.38	0.20	20.18	1.20
59030.39	20.01	0.25	19.38	0.38	19.40	0.20	19.21	0.20	19.38	0.20	20.43	1.20
59031.29	20.02	0.25	19.41	0.39	19.43	0.20	19.19	0.20	19.37	0.20	20.46	1.20
59032.25	20.02	0.25	19.22	0.40	19.24	0.20	19.21	0.20	19.37	0.20	20.27	1.20
59034.28	20.03	0.25	19.29	0.42	19.31	0.20	19.25	0.20	19.36	0.20	20.34	1.20
59037.38	20.05	0.25	19.29	0.45	19.31	0.20	19.31	0.20	19.28	0.20	20.34	1.20
59038.21	20.06	0.25	19.34	0.46	19.36	0.20	19.31	0.20	19.25	0.20	20.39	1.20
59040.37	20.07	0.25	19.33	0.48	19.35	0.20	19.32	0.20	19.20	0.20	20.38	1.20
59041.25	20.08	0.25	19.32	0.49	19.34	0.20	19.32	0.20	19.28	0.20	20.37	1.20
59044.23	20.11	0.25	19.33	0.52	19.34	0.20	19.32	0.20	19.47	0.20	20.37	1.20
59047.21	20.17	0.25	19.29	0.55	19.31	0.20	19.33	0.20	19.48	0.20	20.34	1.20
59048.35	20.02	0.25	19.42	0.56	19.44	0.20	19.33	0.20	19.48	0.20	20.47	1.20
59050.29	20.28	0.25	19.32	0.58	19.34	0.20	19.33	0.20	19.48	0.20	20.37	1.20
59054.20	20.12	0.25	19.32	0.62	19.34	0.20	19.32	0.20	19.49	0.20	20.37	1.20
59055.33	20.14	0.25	19.45	0.63	19.46	0.20	19.32	0.20	19.49	0.20	20.49	1.20
59057.17	20.19	0.25	19.35	0.65	19.36	0.20	19.31	0.20	19.50	0.20	20.39	1.20
59059.38	20.26	0.25	19.51	0.67	19.53	0.20	19.30	0.20	19.50	0.20	20.56	1.20
59062.37	20.34	0.25	19.50	0.70	19.52	0.20	19.37	0.20	19.51	0.20	20.54	1.20
59065.30	20.42	0.25	19.52	0.73	19.54	0.20	19.44	0.20	19.60	0.20	20.56	1.20
59066.24	20.45	0.25	19.49	0.74	19.51	0.20	19.43	0.20	19.63	0.20	20.53	1.20
59067.18	20.48	0.25	19.49	0.75	19.51	0.20	19.42	0.20	19.66	0.20	20.54	1.20
59069.35	20.54	0.25	19.59	0.77	19.61	0.20	19.39	0.20	19.73	0.20	20.64	1.20
59072.18	20.44	0.25	19.67	0.80	19.69	0.20	19.54	0.20	19.83	0.20	20.72	1.20
59073.18	20.50	0.25	19.60	0.81	19.62	0.20	19.55	0.20	19.86	0.20	20.65	1.20
59079.26	20.89	0.25	19.90	0.87	19.91	0.20	19.67	0.20	20.06	0.20	20.94	1.20
59083.26	21.30	0.25	20.10	0.91	20.12	0.20	19.83	0.20	20.19	0.20	21.15	1.20
59094.26	21.67	0.25	20.57	1.02	20.59	0.20	20.82	0.20	20.55	0.20	21.62	1.20
59096.26	21.73	0.25	20.81	1.04	20.82	0.20	20.76	0.20	20.61	0.20	21.85	1.20
59108.25	21.73	0.25	21.33	1.16	21.35	0.20	20.82	0.20	20.68	0.20	22.38	1.20
59119.24	21.77	0.25	21.11	1.20	21.13	0.20	20.91	0.20	20.75	0.20	22.16	1.20
59122.23	21.78	0.25	20.83	1.20	20.85	0.20	20.94	0.20	20.76	0.20	21.88	1.20
59136.22	21.82	0.25	21.32	1.20	21.34	0.20	21.05	0.20	20.83	0.20	22.37	1.20
59303.52	22.34	0.25	22.10	1.20	22.11	0.20	21.87	0.20	21.61	0.20	23.14	1.20
59314.47	22.37	0.25	22.77	1.20	22.78	0.20	22.54	0.20	21.66	0.20	23.81	1.20
59334.45	22.85	0.25	21.60	1.20	21.62	0.20	21.37	0.29	20.50	0.21	22.64	1.20
59408.39	22.63	0.25	22.46	1.20	22.47	0.20	22.23	0.97	21.35	0.83	23.50	1.20
59830.25	21.01	1.20	20.83	1.20	20.85	0.20	20.60	1.20	19.73	1.20	21.88	1.20
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
