# ph	T_bb	err	R_bb	err	L_bb	err

59090.51	6.62e+03	1.93e+03	1.23e+15	6.56e+14	2.05e+42	3.25e+42
59090.58	6.54e+03	1.93e+03	1.26e+15	6.93e+14	2.07e+42	3.34e+42
59094.42	6.86e+03	1.62e+03	1.18e+15	4.96e+14	2.21e+42	2.79e+42
59094.44	6.78e+03	1.62e+03	1.22e+15	5.20e+14	2.22e+42	2.85e+42
59096.40	7.00e+03	1.46e+03	1.16e+15	4.19e+14	2.29e+42	2.52e+42
59102.46	7.64e+03	9.71e+02	9.96e+14	2.03e+14	2.41e+42	1.57e+42
59108.46	7.69e+03	7.70e+02	9.46e+14	1.47e+14	2.24e+42	1.13e+42
59108.59	7.71e+03	7.98e+02	9.53e+14	1.53e+14	2.29e+42	1.20e+42
59111.42	7.62e+03	8.35e+02	9.30e+14	1.55e+14	2.08e+42	1.15e+42
59114.46	7.51e+03	8.64e+02	9.15e+14	1.58e+14	1.90e+42	1.09e+42
59114.57	7.74e+03	9.04e+02	8.73e+14	1.49e+14	1.95e+42	1.13e+42
59116.43	7.47e+03	8.51e+02	9.05e+14	1.53e+14	1.81e+42	1.03e+42
59117.38	7.20e+03	7.82e+02	9.57e+14	1.59e+14	1.75e+42	9.57e+41
59118.56	6.42e+03	7.35e+02	1.19e+15	2.59e+14	1.71e+42	1.08e+42
59123.36	6.39e+03	7.74e+02	1.18e+15	2.71e+14	1.64e+42	1.10e+42
59124.35	6.47e+03	7.30e+02	1.14e+15	2.44e+14	1.63e+42	1.01e+42
59125.46	6.52e+03	7.39e+02	1.12e+15	2.38e+14	1.62e+42	1.00e+42
59128.41	6.42e+03	6.76e+02	1.12e+15	2.24e+14	1.52e+42	8.83e+41
59130.43	6.31e+03	6.92e+02	1.15e+15	2.42e+14	1.49e+42	9.07e+41
59130.49	6.32e+03	7.18e+02	1.15e+15	2.51e+14	1.49e+42	9.42e+41
59134.44	6.29e+03	6.62e+02	1.13e+15	2.30e+14	1.42e+42	8.32e+41
59138.34	6.19e+03	6.61e+02	1.15e+15	2.42e+14	1.39e+42	8.31e+41
59140.37	6.07e+03	6.75e+02	1.19e+15	2.64e+14	1.36e+42	8.53e+41
59142.36	6.04e+03	6.54e+02	1.19e+15	2.58e+14	1.33e+42	8.16e+41
59144.40	5.84e+03	6.03e+02	1.24e+15	2.65e+14	1.27e+42	7.58e+41
59148.42	6.21e+03	5.69e+02	1.12e+15	2.00e+14	1.34e+42	6.84e+41
59150.30	6.17e+03	6.03e+02	1.13e+15	2.17e+14	1.31e+42	7.20e+41
59151.37	6.15e+03	5.74e+02	1.13e+15	2.08e+14	1.29e+42	6.77e+41
59152.39	6.08e+03	6.22e+02	1.14e+15	2.33e+14	1.27e+42	7.35e+41
59155.28	5.90e+03	6.27e+02	1.18e+15	2.58e+14	1.21e+42	7.35e+41
59157.42	6.15e+03	6.01e+02	1.08e+15	2.09e+14	1.20e+42	6.60e+41
59158.35	5.81e+03	6.18e+02	1.17e+15	2.58e+14	1.11e+42	6.81e+41
59158.49	5.80e+03	6.24e+02	1.18e+15	2.64e+14	1.12e+42	6.98e+41
59165.35	5.80e+03	5.92e+02	1.13e+15	2.40e+14	1.03e+42	6.09e+41
59167.35	5.73e+03	5.79e+02	1.14e+15	2.42e+14	9.97e+41	5.85e+41
59169.28	5.66e+03	6.01e+02	1.15e+15	2.60e+14	9.66e+41	5.99e+41
59172.39	5.95e+03	6.09e+02	1.04e+15	2.15e+14	9.57e+41	5.59e+41
59174.34	5.70e+03	5.20e+02	1.09e+15	2.15e+14	8.94e+41	4.80e+41
59176.33	5.80e+03	5.46e+02	1.05e+15	2.10e+14	8.86e+41	4.87e+41
59178.32	5.70e+03	5.27e+02	1.06e+15	2.10e+14	8.51e+41	4.60e+41
59185.25	5.43e+03	5.15e+02	1.11e+15	2.29e+14	7.58e+41	4.26e+41
59185.40	5.43e+03	5.29e+02	1.11e+15	2.36e+14	7.62e+41	4.40e+41
59187.25	5.36e+03	5.39e+02	1.12e+15	2.49e+14	7.39e+41	4.43e+41
59189.24	5.26e+03	4.65e+02	1.13e+15	2.24e+14	6.95e+41	3.70e+41
59194.25	5.43e+03	5.42e+02	8.69e+14	1.67e+14	4.66e+41	2.59e+41
59194.33	5.29e+03	5.09e+02	9.29e+14	1.77e+14	4.81e+41	2.61e+41
59196.25	5.01e+03	4.77e+02	1.02e+15	2.10e+14	4.64e+41	2.61e+41
59198.21	5.30e+03	6.02e+02	8.00e+14	1.95e+14	3.60e+41	2.39e+41
59200.24	5.11e+03	5.64e+02	8.86e+14	2.03e+14	3.82e+41	2.43e+41
