# ph	Lobs	err	L+BB	err	

59090.51	1.17e+42	1.54e+41	2.16e+42	1.31e+42
59090.58	1.20e+42	1.56e+41	2.18e+42	1.33e+42
59094.42	1.14e+42	1.44e+41	2.25e+42	1.15e+42
59094.44	1.15e+42	1.45e+41	2.26e+42	1.16e+42
59096.40	1.12e+42	1.41e+41	2.29e+42	1.06e+42
59102.46	1.08e+42	1.44e+41	2.41e+42	7.25e+41
59108.46	1.01e+42	1.36e+41	2.27e+42	5.35e+41
59108.59	1.03e+42	1.40e+41	2.33e+42	5.67e+41
59111.42	9.73e+41	1.33e+41	2.14e+42	5.35e+41
59114.46	9.20e+41	1.26e+41	1.97e+42	5.01e+41
59114.57	9.20e+41	1.25e+41	2.02e+42	5.32e+41
59116.43	8.89e+41	1.21e+41	1.89e+42	4.71e+41
59117.38	8.79e+41	1.19e+41	1.83e+42	4.25e+41
59118.56	8.55e+41	1.17e+41	1.74e+42	4.41e+41
59123.36	8.28e+41	1.13e+41	1.67e+42	4.46e+41
59124.35	8.08e+41	1.09e+41	1.65e+42	4.13e+41
59125.46	7.99e+41	1.07e+41	1.63e+42	4.12e+41
59128.41	7.51e+41	1.00e+41	1.53e+42	3.61e+41
59130.43	7.43e+41	9.93e+40	1.50e+42	3.68e+41
59130.49	7.46e+41	9.93e+40	1.51e+42	3.81e+41
59134.44	7.05e+41	9.33e+40	1.43e+42	3.38e+41
59138.34	6.95e+41	9.34e+40	1.40e+42	3.36e+41
59140.37	6.87e+41	9.27e+40	1.37e+42	3.44e+41
59142.36	6.71e+41	8.98e+40	1.34e+42	3.29e+41
59144.40	6.44e+41	8.57e+40	1.28e+42	3.07e+41
59148.42	6.58e+41	8.67e+40	1.34e+42	2.80e+41
59150.30	6.53e+41	8.57e+40	1.32e+42	2.93e+41
59151.37	6.41e+41	8.46e+40	1.29e+42	2.76e+41
59152.39	6.38e+41	8.33e+40	1.28e+42	2.97e+41
59155.28	6.12e+41	7.91e+40	1.22e+42	2.96e+41
59157.42	5.98e+41	7.61e+40	1.20e+42	2.67e+41
59158.35	5.63e+41	7.06e+40	1.12e+42	2.75e+41
59158.49	5.71e+41	7.16e+40	1.13e+42	2.81e+41
59165.35	5.21e+41	6.52e+40	1.04e+42	2.46e+41
59167.35	5.03e+41	6.29e+40	9.99e+41	2.38e+41
59169.28	4.90e+41	6.11e+40	9.70e+41	2.44e+41
59172.39	4.80e+41	5.98e+40	9.58e+41	2.25e+41
59174.34	4.52e+41	5.26e+40	8.94e+41	1.95e+41
59176.33	4.45e+41	5.18e+40	8.86e+41	1.97e+41
59178.32	4.26e+41	5.05e+40	8.48e+41	1.88e+41
59185.25	3.77e+41	5.02e+40	7.54e+41	1.78e+41
59185.40	3.80e+41	5.12e+40	7.59e+41	1.84e+41
59187.25	3.71e+41	5.45e+40	7.40e+41	1.88e+41
59189.24	3.38e+41	5.22e+40	6.84e+41	1.61e+41
59194.25	2.56e+41	4.85e+40	4.87e+41	1.15e+41
59194.33	2.62e+41	5.05e+40	5.01e+41	1.18e+41
59196.25	2.45e+41	5.19e+40	4.78e+41	1.23e+41
59198.21	1.92e+41	4.09e+40	3.71e+41	1.06e+41
59200.24	1.72e+41	3.87e+40	3.65e+41	1.09e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020rth_gcwroiz.txt and logL-bb_2020rth_gcwroiz.txt for simple LC files
# Methodology:
# filters used:gcwroiz
# redshift used:0.0184
# extinction used:0.041
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
