##phase	g	err	c	err	w	err	r	err	o	err	i	err	z	err	
#
59090.51	17.25	0.11	18.16	0.10	17.15	0.10	17.13	0.10	17.15	0.08	17.70	0.10	17.10	0.15
59090.58	17.25	0.11	18.16	0.10	17.15	0.10	17.07	0.10	17.09	0.08	17.70	0.10	17.05	0.14
59094.42	17.38	0.11	18.06	0.10	17.20	0.10	17.17	0.10	17.19	0.07	17.62	0.10	17.15	0.13
59094.44	17.38	0.11	18.06	0.10	17.20	0.10	17.14	0.10	17.16	0.07	17.61	0.10	17.11	0.13
59096.40	17.44	0.11	18.01	0.10	17.22	0.10	17.19	0.10	17.21	0.07	17.57	0.10	17.17	0.12
59102.46	17.65	0.11	17.85	0.10	17.30	0.10	17.28	0.10	17.30	0.10	17.44	0.10	17.26	0.09
59108.46	17.96	0.11	17.76	0.10	17.39	0.10	17.37	0.10	17.37	0.10	17.40	0.10	17.34	0.06
59108.59	17.91	0.11	17.76	0.10	17.40	0.10	17.34	0.10	17.27	0.10	17.40	0.10	17.32	0.06
59111.42	18.11	0.11	17.74	0.10	17.43	0.10	17.42	0.10	17.37	0.10	17.43	0.10	17.39	0.05
59114.46	18.21	0.11	17.90	0.10	17.48	0.10	17.47	0.10	17.37	0.10	17.45	0.10	17.45	0.04
59114.57	18.15	0.11	17.92	0.10	17.48	0.10	17.49	0.10	17.38	0.10	17.45	0.10	17.47	0.04
59116.43	18.26	0.11	17.95	0.10	17.50	0.10	17.50	0.10	17.43	0.10	17.47	0.10	17.48	0.04
59117.38	18.32	0.11	17.96	0.10	17.52	0.10	17.48	0.10	17.45	0.10	17.48	0.10	17.45	0.04
59118.56	18.39	0.11	17.98	0.10	17.53	0.10	17.53	0.10	17.48	0.10	17.49	0.10	17.50	0.10
59123.36	18.44	0.11	18.05	0.10	17.60	0.10	17.51	0.10	17.48	0.10	17.53	0.10	17.55	0.10
59124.35	18.42	0.11	18.06	0.10	17.61	0.10	17.55	0.10	17.57	0.10	17.54	0.10	17.56	0.10
59125.46	18.41	0.11	18.08	0.10	17.63	0.10	17.53	0.10	17.63	0.10	17.55	0.10	17.57	0.10
59128.41	18.49	0.11	18.12	0.10	17.67	0.10	17.65	0.10	17.77	0.10	17.57	0.10	17.60	0.10
59130.43	18.54	0.11	18.15	0.10	17.70	0.10	17.64	0.10	17.72	0.10	17.59	0.10	17.62	0.10
59130.49	18.54	0.11	18.15	0.10	17.70	0.10	17.58	0.10	17.73	0.10	17.59	0.10	17.62	0.10
59134.44	18.59	0.11	18.21	0.10	17.75	0.10	17.68	0.10	17.83	0.10	17.63	0.10	17.65	0.10
