# ph	T_bb	err	R_bb	err	L_bb	err

59060.50	1.00e+05	1.00e+05	3.40e+13	3.40e+13	8.25e+43	3.69e+44
59108.39	1.00e+05	1.00e+05	9.13e+13	9.13e+13	5.94e+44	2.66e+45
59108.39	1.00e+05	1.00e+05	9.13e+13	9.13e+13	5.94e+44	2.66e+45
59109.41	1.00e+05	1.00e+05	1.07e+14	1.07e+14	8.09e+44	3.62e+45
59110.36	1.00e+05	1.00e+05	1.17e+14	1.17e+14	9.74e+44	4.36e+45
59111.50	1.00e+05	1.00e+05	1.27e+14	1.27e+14	1.15e+45	5.15e+45
59113.30	1.00e+05	1.00e+05	1.37e+14	1.37e+14	1.34e+45	5.98e+45
59113.34	1.00e+05	1.00e+05	1.37e+14	1.37e+14	1.34e+45	5.98e+45
59115.31	1.00e+05	1.00e+05	1.49e+14	1.49e+14	1.58e+45	7.09e+45
59116.34	4.98e+04	4.98e+04	2.32e+14	2.28e+14	2.36e+44	1.05e+45
59116.36	4.81e+04	4.81e+04	2.37e+14	2.25e+14	2.15e+44	9.52e+44
59117.37	2.38e+04	1.28e+04	3.99e+14	1.71e+14	3.67e+43	8.50e+43
59118.26	1.44e+04	2.44e+03	6.31e+14	1.10e+14	1.22e+43	9.31e+42
59120.38	8.89e+03	1.97e+03	1.14e+15	3.67e+14	5.74e+42	6.31e+42
59126.36	7.67e+03	1.35e+03	1.40e+15	4.08e+14	4.87e+42	4.45e+42
59127.36	7.53e+03	1.45e+03	1.44e+15	4.65e+14	4.77e+42	4.79e+42
59129.27	7.39e+03	9.05e+02	1.45e+15	3.04e+14	4.50e+42	2.89e+42
59130.48	7.61e+03	9.13e+02	1.36e+15	2.71e+14	4.44e+42	2.77e+42
59131.24	7.82e+03	1.05e+03	1.31e+15	2.85e+14	4.54e+42	3.15e+42
59134.30	7.65e+03	7.29e+02	1.29e+15	2.04e+14	4.07e+42	2.01e+42
59136.30	7.36e+03	7.51e+02	1.35e+15	2.36e+14	3.84e+42	2.06e+42
59137.45	7.38e+03	7.57e+02	1.34e+15	2.35e+14	3.81e+42	2.06e+42
59138.31	7.17e+03	7.17e+02	1.40e+15	2.44e+14	3.68e+42	1.95e+42
59140.25	7.54e+03	7.73e+02	1.27e+15	2.17e+14	3.69e+42	1.97e+42
59142.27	7.22e+03	5.81e+02	1.31e+15	1.83e+14	3.31e+42	1.41e+42
59144.21	6.95e+03	9.90e+02	1.44e+15	3.75e+14	3.46e+42	2.67e+42
59154.41	6.04e+03	8.71e+02	1.77e+15	5.18e+14	2.98e+42	2.45e+42
59155.26	6.05e+03	1.00e+03	1.79e+15	6.01e+14	3.04e+42	2.88e+42
59157.33	5.82e+03	8.87e+02	1.87e+15	5.96e+14	2.85e+42	2.51e+42
59158.39	5.79e+03	1.32e+03	1.90e+15	9.15e+14	2.89e+42	3.84e+42
59167.23	5.58e+03	7.24e+02	1.88e+15	5.24e+14	2.44e+42	1.86e+42
59169.19	5.72e+03	7.55e+02	1.77e+15	4.91e+14	2.39e+42	1.83e+42
59173.22	5.24e+03	6.20e+02	2.00e+15	5.38e+14	2.16e+42	1.55e+42
59173.38	5.21e+03	5.75e+02	2.02e+15	5.10e+14	2.13e+42	1.43e+42
59182.36	4.68e+03	4.56e+02	2.29e+15	5.61e+14	1.78e+42	1.12e+42
59186.35	4.56e+03	5.41e+02	2.30e+15	7.06e+14	1.62e+42	1.26e+42
59390.60	6.91e+03	8.60e+02	4.97e+14	1.20e+14	4.00e+41	2.77e+41
59400.57	9.72e+03	4.94e+03	1.61e+14	1.18e+14	1.65e+41	4.13e+41
59757.59	3.74e+03	3.79e+02	1.34e+15	4.26e+14	2.53e+41	1.90e+41
