# ph	Lobs	err	L+BB	err	

59077.47	1.14e+41	4.96e+40	3.15e+43	1.40e+44
59107.36	6.71e+41	2.96e+41	2.37e+44	1.06e+45
59107.53	5.84e+41	2.54e+41	1.80e+44	8.01e+44
59109.32	1.65e+42	5.75e+41	8.24e+44	3.68e+45
59109.32	1.65e+42	5.75e+41	8.24e+44	3.68e+45
59110.35	1.96e+42	7.45e+41	9.90e+44	4.42e+45
59111.37	2.26e+42	1.04e+42	1.15e+45	5.14e+45
59111.51	2.48e+42	1.34e+42	1.18e+45	5.26e+45
59112.55	2.54e+42	1.26e+42	1.22e+45	5.45e+45
59113.39	2.51e+42	1.20e+42	1.35e+45	6.01e+45
59114.32	2.46e+42	1.12e+42	1.47e+45	6.58e+45
59116.26	2.61e+42	1.35e+42	4.02e+44	1.79e+45
59116.31	2.60e+42	1.34e+42	2.71e+44	1.20e+45
59117.29	2.64e+42	1.30e+42	3.01e+43	5.71e+43
59117.37	2.71e+42	1.31e+42	3.57e+43	7.84e+43
59119.34	2.57e+42	1.22e+42	6.94e+42	3.43e+42
59119.36	2.61e+42	1.22e+42	7.21e+42	3.98e+42
59120.28	2.52e+42	1.16e+42	6.01e+42	3.46e+42
59121.31	2.45e+42	1.11e+42	5.79e+42	3.08e+42
59129.33	2.15e+42	8.63e+41	4.55e+42	1.48e+42
59131.32	2.10e+42	8.06e+41	4.60e+42	1.63e+42
59132.45	1.99e+42	7.77e+41	4.24e+42	1.31e+42
59134.27	1.80e+42	6.85e+41	4.02e+42	1.12e+42
59136.34	1.82e+42	8.27e+41	3.88e+42	1.19e+42
59137.46	1.81e+42	7.56e+41	3.86e+42	1.15e+42
59138.23	1.73e+42	6.92e+41	3.69e+42	1.06e+42
59140.28	1.69e+42	6.86e+41	3.70e+42	1.09e+42
59142.27	1.43e+42	4.77e+41	3.19e+42	7.55e+41
59143.27	1.29e+42	4.09e+41	2.78e+42	8.69e+41
59144.33	1.49e+42	4.31e+41	3.74e+42	2.34e+42
59145.29	1.56e+42	4.50e+41	4.06e+42	2.97e+42
59147.42	1.39e+42	4.37e+41	3.28e+42	1.66e+42
59163.36	1.10e+42	3.51e+41	2.37e+42	9.96e+41
59169.22	1.21e+42	4.97e+41	2.43e+42	8.96e+41
59173.38	9.89e+41	4.03e+41	2.08e+42	7.21e+41
59190.29	5.60e+41	2.39e+41	1.26e+42	5.12e+41
59192.31	5.83e+41	2.62e+41	1.30e+42	5.28e+41
59381.58	4.68e+41	7.63e+41	8.76e+41	8.17e+41
59400.57	1.65e+41	2.58e+41	3.06e+41	4.76e+41
59412.51	3.02e+41	5.06e+41	4.88e+43	2.17e+44
59431.48	3.30e+41	5.59e+41	5.00e+43	2.22e+44
59467.57	2.44e+41	4.07e+41	4.89e+43	2.17e+44
59519.28	1.88e+41	3.06e+41	3.91e+41	6.57e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020tly_gcwroiz.txt and logL-bb_2020tly_gcwroiz.txt for simple LC files
# Methodology:
# filters used:gcwroiz
# redshift used:0.058
# extinction used:0.071
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
