##phase	g	err	c	err	w	err	r	err	o	err	i	err	z	err	
#
59060.50	22.27	0.28	22.66	0.48	22.34	0.27	22.21	0.21	21.81	0.32	23.32	0.27	22.20	0.48
59108.39	20.14	0.27	20.53	0.41	20.21	0.07	20.08	0.21	19.68	0.24	21.19	0.14	20.07	0.38
59108.39	20.14	0.27	20.53	0.41	20.21	0.07	20.08	0.21	19.68	0.24	21.19	0.14	20.07	0.38
59109.41	19.27	0.27	20.06	0.41	19.70	0.07	19.57	0.21	19.25	0.24	21.01	0.14	19.55	0.38
59110.36	19.08	0.27	19.62	0.41	19.43	0.07	19.30	0.21	19.60	0.24	20.85	0.14	19.29	0.38
59111.50	19.01	0.27	18.83	0.41	19.33	0.07	19.21	0.21	19.42	0.24	20.64	0.14	19.19	0.38
59113.30	19.01	0.27	18.99	0.41	19.20	0.10	19.07	0.21	19.15	0.24	20.33	0.14	19.06	0.38
59113.34	19.01	0.27	18.99	0.41	19.20	0.10	19.20	0.21	19.15	0.24	20.32	0.14	19.18	0.38
59115.31	19.08	0.27	19.16	0.41	19.24	0.10	19.06	0.21	19.19	0.24	19.97	0.14	19.04	0.38
59116.34	19.14	0.27	18.83	0.41	19.26	0.10	19.08	0.21	19.18	0.24	19.79	0.14	19.07	0.38
59116.36	19.13	0.27	18.83	0.41	19.26	0.10	19.08	0.21	19.18	0.24	19.79	0.14	19.07	0.38
59117.37	19.01	0.27	18.88	0.41	19.27	0.10	19.07	0.21	19.16	0.24	19.61	0.14	19.05	0.38
59118.26	19.12	0.27	18.92	0.41	19.29	0.10	19.23	0.21	19.19	0.24	19.45	0.14	19.22	0.38
59120.38	19.19	0.27	19.01	0.41	19.33	0.10	19.50	0.21	19.29	0.24	19.08	0.14	19.22	0.38
59126.36	19.53	0.27	19.28	0.41	19.43	0.10	19.24	0.21	18.72	0.24	19.17	0.14	19.22	0.38
59127.36	19.59	0.27	19.32	0.41	19.45	0.10	19.15	0.21	18.60	0.24	19.19	0.14	19.23	0.38
59129.27	19.70	0.27	19.41	0.41	19.48	0.10	19.25	0.21	19.06	0.24	19.22	0.14	19.27	0.38
59130.48	19.61	0.27	19.46	0.41	19.50	0.10	19.45	0.21	19.15	0.24	19.23	0.14	19.29	0.38
59131.24	19.55	0.27	19.49	0.41	19.52	0.10	19.30	0.21	19.17	0.24	19.25	0.14	19.31	0.38
59134.30	19.83	0.27	19.63	0.41	19.57	0.10	19.39	0.21	19.58	0.24	19.34	0.14	19.37	0.38
59136.30	20.01	0.27	19.36	0.41	19.60	0.10	19.38	0.21	19.53	0.24	19.39	0.14	19.42	0.38
59137.45	19.99	0.27	19.53	0.41	19.62	0.10	19.50	0.21	19.25	0.24	19.43	0.14	19.44	0.38
59138.31	20.08	0.27	19.66	0.41	19.64	0.10	19.46	0.21	19.29	0.24	19.45	0.14	19.46	0.38
59140.25	20.03	0.27	19.64	0.41	19.67	0.10	19.44	0.21	19.38	0.24	19.50	0.14	19.50	0.38
59142.27	20.12	0.27	20.16	0.41	19.71	0.10	19.70	0.21	19.59	0.24	19.56	0.14	19.54	0.38
59144.21	20.29	0.27	20.36	0.41	19.59	0.07	19.58	0.21	19.58	0.24	19.53	0.14	19.58	0.38
59154.41	20.70	0.27	19.79	0.41	19.68	0.13	19.67	0.21	19.33	0.24	19.49	0.14	19.72	0.38
59155.26	20.74	0.27	19.74	0.41	19.53	0.14	19.52	0.21	19.35	0.24	19.50	0.14	19.73	0.38
59157.33	20.82	0.27	19.63	0.41	19.66	0.16	19.65	0.21	19.40	0.24	19.51	0.14	19.75	0.38
59158.39	20.87	0.27	19.57	0.41	19.40	0.17	19.39	0.21	18.22	0.24	19.52	0.14	19.76	0.38
59167.23	20.95	0.27	20.26	0.41	19.92	0.25	19.91	0.21	19.46	0.24	19.62	0.14	19.85	0.38
59169.19	20.88	0.27	20.33	0.41	19.99	0.27	19.98	0.21	19.39	0.24	19.64	0.14	19.87	0.38
59173.22	21.22	0.27	20.48	0.41	19.94	0.31	19.93	0.21	19.77	0.24	19.76	0.14	19.91	0.38
59173.38	21.23	0.27	20.49	0.41	20.04	0.31	20.03	0.21	19.78	0.24	19.76	0.14	19.91	0.38
59182.36	21.71	0.27	20.83	0.41	20.27	0.40	20.26	0.21	20.01	0.24	20.02	0.14	20.00	0.38
59186.35	21.92	0.27	20.98	0.41	20.31	0.44	20.30	0.21	19.84	0.24	20.14	0.14	20.14	0.38
59390.60	22.52	0.27	22.39	1.20	21.73	1.20	21.72	0.21	21.26	1.20	21.55	1.20	21.72	0.38
59400.57	23.14	0.27	24.04	1.20	23.37	1.20	23.36	0.21	22.90	1.20	23.20	1.20	21.80	0.38
59757.59	22.87	1.20	23.76	1.20	23.10	1.20	23.09	0.21	22.63	1.20	22.93	1.20	21.53	0.42
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
