# ph	T_bb	err	R_bb	err	L_bb	err

58868.65	7.95e+03	6.15e+02	2.19e+14	3.07e+13	1.36e+41	5.68e+40
58868.66	7.95e+03	6.15e+02	2.79e+14	3.92e+13	2.21e+41	9.23e+40
58873.62	7.95e+03	6.15e+02	9.61e+13	1.35e+13	2.63e+40	1.10e+40
58873.62	7.95e+03	6.15e+02	1.75e+14	2.46e+13	8.75e+40	3.66e+40
58929.54	7.95e+03	6.15e+02	2.26e+14	3.18e+13	1.45e+41	6.08e+40
58942.48	7.95e+03	6.15e+02	3.13e+14	4.40e+13	2.79e+41	1.16e+41
58942.48	7.95e+03	6.15e+02	3.68e+14	5.17e+13	3.85e+41	1.61e+41
58954.39	7.95e+03	6.15e+02	1.75e+15	2.45e+14	8.67e+42	3.62e+42
58954.39	7.95e+03	6.15e+02	1.75e+15	2.45e+14	8.67e+42	3.62e+42
58954.44	7.95e+03	6.15e+02	1.47e+15	2.06e+14	6.12e+42	2.56e+42
58954.44	7.95e+03	6.15e+02	1.47e+15	2.06e+14	6.12e+42	2.56e+42
58954.46	7.95e+03	6.15e+02	1.31e+15	1.84e+14	4.86e+42	2.03e+42
58955.40	7.95e+03	6.15e+02	1.83e+15	2.57e+14	9.52e+42	3.98e+42
58955.43	7.95e+03	6.15e+02	1.57e+15	2.21e+14	7.02e+42	2.93e+42
58956.34	7.95e+03	6.15e+02	1.63e+15	2.29e+14	7.58e+42	3.17e+42
58956.37	7.95e+03	6.15e+02	1.97e+15	2.77e+14	1.11e+43	4.62e+42
58956.47	7.95e+03	6.15e+02	1.69e+15	2.38e+14	8.15e+42	3.41e+42
58956.47	7.95e+03	6.15e+02	1.28e+15	1.80e+14	4.68e+42	1.95e+42
58958.51	7.95e+03	6.15e+02	2.03e+15	2.86e+14	1.18e+43	4.92e+42
58958.52	7.95e+03	6.15e+02	1.58e+15	2.22e+14	7.08e+42	2.96e+42
58960.46	7.95e+03	6.15e+02	2.00e+15	2.82e+14	1.14e+43	4.78e+42
58960.46	7.95e+03	6.15e+02	1.90e+15	2.67e+14	1.03e+43	4.30e+42
58961.41	7.95e+03	6.15e+02	1.89e+15	2.65e+14	1.01e+43	4.24e+42
58964.28	7.95e+03	6.15e+02	1.82e+15	2.55e+14	9.39e+42	3.93e+42
58964.35	7.95e+03	6.15e+02	2.03e+15	2.85e+14	1.17e+43	4.88e+42
58967.29	7.95e+03	6.15e+02	1.92e+15	2.69e+14	1.04e+43	4.37e+42
58967.34	7.95e+03	6.15e+02	1.79e+15	2.52e+14	9.14e+42	3.82e+42
58969.37	7.95e+03	6.15e+02	2.01e+15	2.82e+14	1.15e+43	4.79e+42
58970.31	7.95e+03	6.15e+02	1.81e+15	2.54e+14	9.28e+42	3.88e+42
58970.39	7.95e+03	6.15e+02	1.72e+15	2.41e+14	8.39e+42	3.51e+42
58971.36	7.95e+03	6.15e+02	1.62e+15	2.27e+14	7.42e+42	3.10e+42
58972.43	7.95e+03	6.15e+02	1.62e+15	2.28e+14	7.49e+42	3.13e+42
58972.43	7.95e+03	6.15e+02	1.41e+15	1.98e+14	5.62e+42	2.35e+42
58973.27	7.95e+03	6.15e+02	1.73e+15	2.43e+14	8.50e+42	3.55e+42
58973.30	7.95e+03	6.15e+02	1.66e+15	2.33e+14	7.84e+42	3.28e+42
58973.39	7.95e+03	6.15e+02	2.19e+15	3.08e+14	1.37e+43	5.73e+42
58973.39	7.95e+03	6.15e+02	2.28e+15	3.20e+14	1.48e+43	6.18e+42
58973.39	7.95e+03	6.15e+02	2.03e+15	2.85e+14	1.17e+43	4.88e+42
58973.39	7.95e+03	6.15e+02	2.03e+15	2.85e+14	1.17e+43	4.88e+42
58973.39	7.95e+03	6.15e+02	2.06e+15	2.89e+14	1.20e+43	5.02e+42
58973.39	7.95e+03	6.15e+02	2.06e+15	2.89e+14	1.20e+43	5.02e+42
58974.42	7.95e+03	6.15e+02	1.59e+15	2.23e+14	7.16e+42	2.99e+42
58974.42	7.95e+03	6.15e+02	1.44e+15	2.02e+14	5.90e+42	2.47e+42
58975.28	7.95e+03	6.15e+02	1.61e+15	2.26e+14	7.38e+42	3.09e+42
58975.43	7.95e+03	6.15e+02	1.63e+15	2.29e+14	7.55e+42	3.16e+42
58975.43	7.95e+03	6.15e+02	1.46e+15	2.05e+14	6.07e+42	2.54e+42
58976.20	7.95e+03	6.15e+02	1.59e+15	2.23e+14	7.15e+42	2.99e+42
