# ph	Lobs	err	L+BB	err	

58868.65	8.92e+40	4.63e+40	1.42e+41	4.93e+40
58868.66	1.45e+41	7.53e+40	2.30e+41	8.01e+40
58873.62	1.73e+40	8.97e+39	2.74e+40	9.54e+39
58873.62	5.74e+40	2.98e+40	9.12e+40	3.17e+40
58929.54	9.55e+40	4.96e+40	1.52e+41	5.28e+40
58942.48	1.83e+41	9.50e+40	2.90e+41	1.01e+41
58942.48	2.52e+41	1.31e+41	4.01e+41	1.40e+41
58954.39	5.69e+42	2.96e+42	9.04e+42	3.15e+42
58954.39	5.69e+42	2.96e+42	9.04e+42	3.15e+42
58954.44	4.02e+42	2.09e+42	6.38e+42	2.22e+42
58954.44	4.02e+42	2.09e+42	6.38e+42	2.22e+42
58954.46	3.19e+42	1.66e+42	5.07e+42	1.77e+42
58955.40	6.25e+42	3.25e+42	9.92e+42	3.46e+42
58955.43	4.61e+42	2.39e+42	7.32e+42	2.55e+42
58956.34	4.97e+42	2.58e+42	7.90e+42	2.75e+42
58956.37	7.26e+42	3.77e+42	1.15e+43	4.02e+42
58956.47	5.35e+42	2.78e+42	8.49e+42	2.96e+42
58956.47	3.07e+42	1.59e+42	4.87e+42	1.70e+42
58958.51	7.73e+42	4.02e+42	1.23e+43	4.27e+42
58958.52	4.65e+42	2.41e+42	7.38e+42	2.57e+42
58960.46	7.50e+42	3.90e+42	1.19e+43	4.15e+42
58960.46	6.75e+42	3.50e+42	1.07e+43	3.73e+42
58961.41	6.66e+42	3.46e+42	1.06e+43	3.68e+42
58964.28	6.16e+42	3.20e+42	9.79e+42	3.41e+42
58964.35	7.66e+42	3.98e+42	1.22e+43	4.24e+42
58967.29	6.86e+42	3.56e+42	1.09e+43	3.79e+42
58967.34	6.00e+42	3.12e+42	9.53e+42	3.32e+42
58969.37	7.53e+42	3.91e+42	1.20e+43	4.16e+42
58970.31	6.09e+42	3.16e+42	9.67e+42	3.37e+42
58970.39	5.51e+42	2.86e+42	8.75e+42	3.05e+42
58971.36	4.87e+42	2.53e+42	7.74e+42	2.69e+42
58972.43	4.91e+42	2.55e+42	7.80e+42	2.72e+42
58972.43	3.69e+42	1.92e+42	5.86e+42	2.04e+42
58973.27	5.58e+42	2.90e+42	8.86e+42	3.09e+42
58973.30	5.15e+42	2.67e+42	8.17e+42	2.85e+42
58973.39	8.99e+42	4.67e+42	1.43e+43	4.97e+42
58973.39	9.71e+42	5.04e+42	1.54e+43	5.37e+42
