##phase	U	err	B	err	g	err	V	err	r	err	i	err	z	err	
#
58868.65	22.39	1.01	22.39	1.01	22.39	1.01	22.39	1.01	22.39	1.01	22.39	1.01	22.39	1.01
58868.66	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01
58873.62	24.18	1.01	24.18	1.01	24.18	1.01	24.18	1.01	24.18	1.01	24.18	1.01	24.18	1.01
58873.62	22.87	1.01	22.87	1.01	22.87	1.01	22.87	1.01	22.87	1.01	22.87	1.01	22.87	1.01
58929.54	22.32	1.01	22.32	1.01	22.32	1.01	22.32	1.01	22.32	1.01	22.32	1.01	22.32	1.01
58942.48	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01
58942.48	21.26	1.01	21.26	1.01	21.26	1.01	21.26	1.01	21.26	1.01	21.26	1.01	21.26	1.01
58954.39	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01
58954.39	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01	17.88	1.01
58954.44	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01
58954.44	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01	18.26	1.01
58954.46	18.51	1.01	18.51	1.01	18.51	1.01	18.51	1.01	18.51	1.01	18.51	1.01	18.51	1.01
58955.40	17.78	1.01	17.78	1.01	17.78	1.01	17.78	1.01	17.78	1.01	17.78	1.01	17.78	1.01
58955.43	18.11	1.01	18.11	1.01	18.11	1.01	18.11	1.01	18.11	1.01	18.11	1.01	18.11	1.01
58956.34	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01
58956.37	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01
58956.47	17.95	1.01	17.95	1.01	17.95	1.01	17.95	1.01	17.95	1.01	17.95	1.01	17.95	1.01
58956.47	18.55	1.01	18.55	1.01	18.55	1.01	18.55	1.01	18.55	1.01	18.55	1.01	18.55	1.01
58958.51	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01
58958.52	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01
58960.46	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01
58960.46	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01
58961.41	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01
58964.28	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01
58964.35	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01
58967.29	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01	17.68	1.01
58967.34	17.82	1.01	17.82	1.01	17.82	1.01	17.82	1.01	17.82	1.01	17.82	1.01	17.82	1.01
58969.37	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01
58970.31	17.81	1.01	17.81	1.01	17.81	1.01	17.81	1.01	17.81	1.01	17.81	1.01	17.81	1.01
58970.39	17.92	1.01	17.92	1.01	17.92	1.01	17.92	1.01	17.92	1.01	17.92	1.01	17.92	1.01
58971.36	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01
58972.43	18.04	1.01	18.04	1.01	18.04	1.01	18.04	1.01	18.04	1.01	18.04	1.01	18.04	1.01
58972.43	18.35	1.01	18.35	1.01	18.35	1.01	18.35	1.01	18.35	1.01	18.35	1.01	18.35	1.01
58973.27	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01
58973.30	17.99	1.01	17.99	1.01	17.99	1.01	17.99	1.01	17.99	1.01	17.99	1.01	17.99	1.01
58973.39	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01	17.39	1.01
58973.39	17.30	1.01	17.30	1.01	17.30	1.01	17.30	1.01	17.30	1.01	17.30	1.01	17.30	1.01
58973.39	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01
58973.39	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01
58973.39	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01
58973.39	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01
58974.42	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01
58974.42	18.30	1.01	18.30	1.01	18.30	1.01	18.30	1.01	18.30	1.01	18.30	1.01	18.30	1.01
58975.28	18.06	1.01	18.06	1.01	18.06	1.01	18.06	1.01	18.06	1.01	18.06	1.01	18.06	1.01
58975.43	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01	18.03	1.01
58975.43	18.27	1.01	18.27	1.01	18.27	1.01	18.27	1.01	18.27	1.01	18.27	1.01	18.27	1.01
58976.20	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01	18.09	1.01
58976.30	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01	18.05	1.01
58978.83	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01	17.53	1.01
58978.84	17.32	1.01	17.32	1.01	17.32	1.01	17.32	1.01	17.32	1.01	17.32	1.01	17.32	1.01
58978.84	17.04	1.01	17.04	1.01	17.04	1.01	17.04	1.01	17.04	1.01	17.04	1.01	17.04	1.01
58978.84	17.48	1.01	17.48	1.01	17.48	1.01	17.48	1.01	17.48	1.01	17.48	1.01	17.48	1.01
58978.84	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01
58978.84	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01
58979.24	18.19	1.01	18.19	1.01	18.19	1.01	18.19	1.01	18.19	1.01	18.19	1.01	18.19	1.01
58980.33	18.14	1.01	18.14	1.01	18.14	1.01	18.14	1.01	18.14	1.01	18.14	1.01	18.14	1.01
58980.89	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01	17.90	1.01
58980.90	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01
58980.90	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01	17.47	1.01
58980.90	17.50	1.01	17.50	1.01	17.50	1.01	17.50	1.01	17.50	1.01	17.50	1.01	17.50	1.01
58980.90	16.85	1.01	16.85	1.01	16.85	1.01	16.85	1.01	16.85	1.01	16.85	1.01	16.85	1.01
58980.90	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01
58981.90	18.08	1.01	18.08	1.01	18.08	1.01	18.08	1.01	18.08	1.01	18.08	1.01	18.08	1.01
58981.90	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01
58981.90	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01	17.14	1.01
58981.90	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01	18.10	1.01
58982.45	18.39	1.01	18.39	1.01	18.39	1.01	18.39	1.01	18.39	1.01	18.39	1.01	18.39	1.01
58982.46	18.32	1.01	18.32	1.01	18.32	1.01	18.32	1.01	18.32	1.01	18.32	1.01	18.32	1.01
58984.29	18.44	1.01	18.44	1.01	18.44	1.01	18.44	1.01	18.44	1.01	18.44	1.01	18.44	1.01
58984.29	18.47	1.01	18.47	1.01	18.47	1.01	18.47	1.01	18.47	1.01	18.47	1.01	18.47	1.01
58985.22	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01	17.58	1.01
58985.22	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01
58985.22	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01	17.34	1.01
58985.22	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01
58985.22	16.81	1.01	16.81	1.01	16.81	1.01	16.81	1.01	16.81	1.01	16.81	1.01	16.81	1.01
58985.22	17.67	1.01	17.67	1.01	17.67	1.01	17.67	1.01	17.67	1.01	17.67	1.01	17.67	1.01
58985.30	18.37	1.01	18.37	1.01	18.37	1.01	18.37	1.01	18.37	1.01	18.37	1.01	18.37	1.01
58986.42	17.77	1.01	17.77	1.01	17.77	1.01	17.77	1.01	17.77	1.01	17.77	1.01	17.77	1.01
58986.42	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01
58986.42	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01	17.00	1.01
58986.42	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01
58986.42	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01
58986.42	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01	17.83	1.01
58986.48	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01
58986.48	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01	17.55	1.01
58987.38	18.53	1.01	18.53	1.01	18.53	1.01	18.53	1.01	18.53	1.01	18.53	1.01	18.53	1.01
58987.39	18.45	1.01	18.45	1.01	18.45	1.01	18.45	1.01	18.45	1.01	18.45	1.01	18.45	1.01
