# ph	T_bb	err	R_bb	err	L_bb	err

59078.57	1.01e+04	9.77e+02	4.06e+14	4.94e+13	1.24e+42	5.65e+41
59080.60	1.01e+04	9.77e+02	5.26e+14	6.40e+13	2.08e+42	9.49e+41
59080.60	1.01e+04	9.77e+02	5.26e+14	6.40e+13	2.08e+42	9.49e+41
59080.61	1.01e+04	9.77e+02	6.19e+14	7.52e+13	2.87e+42	1.31e+42
59084.43	1.01e+04	9.77e+02	7.37e+14	8.96e+13	4.08e+42	1.86e+42
59084.43	1.01e+04	9.77e+02	7.37e+14	8.96e+13	4.08e+42	1.86e+42
59084.43	1.01e+04	9.77e+02	7.37e+14	8.96e+13	4.08e+42	1.86e+42
59084.43	1.01e+04	9.77e+02	7.37e+14	8.96e+13	4.08e+42	1.86e+42
59087.55	1.01e+04	9.77e+02	7.61e+14	9.25e+13	4.34e+42	1.98e+42
59088.49	1.01e+04	9.77e+02	7.27e+14	8.84e+13	3.97e+42	1.81e+42
59088.49	1.01e+04	9.77e+02	7.27e+14	8.84e+13	3.97e+42	1.81e+42
59090.51	1.01e+04	9.77e+02	7.55e+14	9.18e+13	4.28e+42	1.95e+42
59090.58	1.01e+04	9.77e+02	7.74e+14	9.41e+13	4.50e+42	2.05e+42
59091.42	1.01e+04	9.77e+02	7.08e+14	8.61e+13	3.76e+42	1.71e+42
59092.43	1.01e+04	9.77e+02	6.84e+14	8.32e+13	3.52e+42	1.60e+42
59094.42	1.01e+04	9.77e+02	7.40e+14	8.99e+13	4.11e+42	1.87e+42
59094.44	1.01e+04	9.77e+02	7.52e+14	9.15e+13	4.25e+42	1.94e+42
59094.50	1.01e+04	9.77e+02	6.72e+14	8.17e+13	3.39e+42	1.55e+42
59096.40	1.01e+04	9.77e+02	7.33e+14	8.91e+13	4.03e+42	1.84e+42
59100.54	1.01e+04	9.77e+02	7.36e+14	8.95e+13	4.07e+42	1.85e+42
59100.54	1.01e+04	9.77e+02	7.28e+14	8.86e+13	3.98e+42	1.82e+42
59100.55	1.01e+04	9.77e+02	7.22e+14	8.79e+13	3.92e+42	1.79e+42
59100.56	1.01e+04	9.77e+02	7.16e+14	8.70e+13	3.84e+42	1.75e+42
59102.46	1.01e+04	9.77e+02	7.03e+14	8.55e+13	3.71e+42	1.69e+42
59102.56	1.01e+04	9.77e+02	6.95e+14	8.46e+13	3.63e+42	1.66e+42
59102.56	1.01e+04	9.77e+02	7.25e+14	8.82e+13	3.95e+42	1.80e+42
59102.56	1.01e+04	9.77e+02	6.78e+14	8.25e+13	3.45e+42	1.58e+42
59102.57	1.01e+04	9.77e+02	7.09e+14	8.62e+13	3.77e+42	1.72e+42
59104.55	1.01e+04	9.77e+02	6.91e+14	8.40e+13	3.58e+42	1.63e+42
