# ph	Lobs	err	L+BB	err	

59078.57	3.95e+41	1.03e+41	1.24e+42	3.70e+41
59080.60	6.63e+41	1.73e+41	2.09e+42	6.21e+41
59080.60	6.63e+41	1.73e+41	2.09e+42	6.21e+41
59080.61	9.16e+41	2.39e+41	2.88e+42	8.58e+41
59084.43	1.30e+42	3.40e+41	4.09e+42	1.22e+42
59084.43	1.30e+42	3.40e+41	4.09e+42	1.22e+42
59084.43	1.30e+42	3.40e+41	4.09e+42	1.22e+42
59084.43	1.30e+42	3.40e+41	4.09e+42	1.22e+42
59087.55	1.39e+42	3.62e+41	4.36e+42	1.30e+42
59088.49	1.27e+42	3.31e+41	3.98e+42	1.18e+42
59088.49	1.27e+42	3.31e+41	3.98e+42	1.18e+42
59090.51	1.36e+42	3.56e+41	4.29e+42	1.28e+42
59090.58	1.43e+42	3.75e+41	4.51e+42	1.34e+42
59091.42	1.20e+42	3.13e+41	3.77e+42	1.12e+42
59092.43	1.12e+42	2.93e+41	3.52e+42	1.05e+42
59094.42	1.31e+42	3.42e+41	4.12e+42	1.23e+42
59094.44	1.35e+42	3.54e+41	4.26e+42	1.27e+42
59094.50	1.08e+42	2.82e+41	3.40e+42	1.01e+42
59096.40	1.29e+42	3.36e+41	4.04e+42	1.20e+42
59100.54	1.30e+42	3.39e+41	4.08e+42	1.21e+42
59100.54	1.27e+42	3.32e+41	4.00e+42	1.19e+42
59100.55	1.25e+42	3.26e+41	3.93e+42	1.17e+42
59100.56	1.23e+42	3.20e+41	3.85e+42	1.15e+42
59102.46	1.18e+42	3.09e+41	3.72e+42	1.11e+42
59102.56	1.16e+42	3.02e+41	3.64e+42	1.08e+42
59102.56	1.26e+42	3.29e+41	3.96e+42	1.18e+42
59102.56	1.10e+42	2.88e+41	3.46e+42	1.03e+42
59102.57	1.20e+42	3.14e+41	3.78e+42	1.13e+42
59104.55	1.14e+42	2.98e+41	3.59e+42	1.07e+42
59104.55	1.15e+42	3.01e+41	3.62e+42	1.08e+42
59104.55	1.05e+42	2.75e+41	3.31e+42	9.85e+41
59105.60	1.08e+42	2.83e+41	3.41e+42	1.01e+42
59105.60	7.68e+41	2.00e+41	2.41e+42	7.19e+41
59106.52	6.53e+41	1.70e+41	2.05e+42	6.11e+41
59106.55	7.74e+41	2.02e+41	2.43e+42	7.24e+41
59106.55	8.55e+41	2.23e+41	2.69e+42	8.00e+41
59106.55	9.01e+41	2.35e+41	2.83e+42	8.43e+41
59106.56	7.67e+41	2.00e+41	2.41e+42	7.18e+41
59106.57	1.11e+42	2.89e+41	3.48e+42	1.04e+42
59106.57	1.11e+42	2.89e+41	3.48e+42	1.04e+42
59106.58	1.12e+42	2.91e+41	3.51e+42	1.04e+42
59106.60	1.08e+42	2.81e+41	3.38e+42	1.01e+42
59106.61	1.09e+42	2.85e+41	3.44e+42	1.02e+42
59108.37	6.14e+41	1.60e+41	1.93e+42	5.75e+41
59108.46	1.09e+42	2.85e+41	3.43e+42	1.02e+42
59108.50	1.09e+42	2.84e+41	3.42e+42	1.02e+42
59108.50	1.15e+42	2.99e+41	3.60e+42	1.07e+42
59108.50	9.66e+41	2.52e+41	3.04e+42	9.05e+41
59108.51	1.20e+42	3.12e+41	3.76e+42	1.12e+42
59108.59	6.61e+41	1.73e+41	2.08e+42	6.19e+41
59108.59	1.12e+42	2.92e+41	3.51e+42	1.05e+42
59109.48	7.61e+41	1.99e+41	2.39e+42	7.13e+41
59109.50	8.20e+41	2.14e+41	2.58e+42	7.68e+41
59109.53	7.75e+41	2.02e+41	2.44e+42	7.25e+41
59109.54	7.18e+41	1.87e+41	2.26e+42	6.72e+41
59110.51	1.10e+42	2.87e+41	3.46e+42	1.03e+42
59110.53	7.18e+41	1.88e+41	2.26e+42	6.72e+41
59110.53	7.76e+41	2.03e+41	2.44e+42	7.27e+41
59110.54	7.41e+41	1.93e+41	2.33e+42	6.93e+41
59110.56	8.30e+41	2.17e+41	2.61e+42	7.77e+41
59111.40	5.51e+41	1.44e+41	1.73e+42	5.15e+41
59111.42	1.04e+42	2.73e+41	3.28e+42	9.77e+41
59112.51	1.05e+42	2.74e+41	3.30e+42	9.84e+41
59112.51	1.04e+42	2.73e+41	3.28e+42	9.77e+41
59112.51	1.03e+42	2.69e+41	3.24e+42	9.63e+41
59112.52	1.14e+42	2.98e+41	3.59e+42	1.07e+42
59113.48	6.57e+41	1.72e+41	2.07e+42	6.15e+41
59113.49	6.32e+41	1.65e+41	1.99e+42	5.92e+41
59113.50	6.30e+41	1.65e+41	1.98e+42	5.90e+41
59113.51	5.88e+41	1.54e+41	1.85e+42	5.51e+41
59114.35	4.77e+41	1.25e+41	1.50e+42	4.46e+41
59114.46	9.91e+41	2.59e+41	3.12e+42	9.27e+41
59114.53	6.77e+41	1.77e+41	2.13e+42	6.34e+41
59114.53	6.09e+41	1.59e+41	1.91e+42	5.70e+41
59114.54	7.20e+41	1.88e+41	2.26e+42	6.74e+41
59114.55	6.57e+41	1.72e+41	2.07e+42	6.15e+41
59114.57	9.73e+41	2.54e+41	3.06e+42	9.10e+41
59114.57	5.32e+41	1.39e+41	1.67e+42	4.98e+41
59116.43	9.64e+41	2.52e+41	3.03e+42	9.02e+41
59117.38	9.85e+41	2.57e+41	3.10e+42	9.22e+41
59118.48	4.27e+41	1.12e+41	1.34e+42	4.00e+41
59118.56	9.67e+41	2.53e+41	3.04e+42	9.05e+41
59118.56	9.44e+41	2.47e+41	2.97e+42	8.84e+41
59120.36	4.02e+41	1.05e+41	1.26e+42	3.76e+41
59120.44	4.19e+41	1.09e+41	1.32e+42	3.92e+41
59120.50	9.37e+41	2.45e+41	2.95e+42	8.77e+41
59120.51	9.26e+41	2.42e+41	2.91e+42	8.67e+41
59120.51	9.94e+41	2.59e+41	3.12e+42	9.30e+41
59120.51	8.35e+41	2.18e+41	2.63e+42	7.81e+41
59121.36	4.29e+41	1.12e+41	1.35e+42	4.01e+41
59121.37	8.92e+41	2.33e+41	2.81e+42	8.35e+41
59121.39	1.07e+42	2.80e+41	3.37e+42	1.00e+42
59121.40	8.53e+41	2.23e+41	2.68e+42	7.99e+41
59121.40	8.56e+41	2.24e+41	2.69e+42	8.01e+41
59122.36	3.66e+41	9.57e+40	1.15e+42	3.43e+41
59123.36	9.58e+41	2.50e+41	3.01e+42	8.96e+41
59123.40	4.10e+41	1.07e+41	1.29e+42	3.84e+41
59123.44	9.95e+41	2.60e+41	3.13e+42	9.32e+41
59123.45	9.66e+41	2.52e+41	3.04e+42	9.04e+41
59123.45	7.37e+41	1.92e+41	2.32e+42	6.89e+41
59123.46	9.40e+41	2.46e+41	2.96e+42	8.80e+41
59124.35	9.20e+41	2.40e+41	2.89e+42	8.61e+41
59125.40	4.20e+41	1.10e+41	1.32e+42	3.93e+41
59125.46	9.42e+41	2.46e+41	2.96e+42	8.82e+41
59128.41	8.45e+41	2.21e+41	2.66e+42	7.91e+41
59128.55	7.51e+41	1.96e+41	2.36e+42	7.03e+41
59128.56	7.20e+41	1.88e+41	2.27e+42	6.74e+41
59128.56	7.16e+40	1.87e+40	2.25e+41	6.71e+40
59128.57	7.78e+41	2.03e+41	2.45e+42	7.29e+41
59128.60	9.63e+41	2.51e+41	3.03e+42	9.01e+41
59130.40	3.70e+41	9.66e+40	1.16e+42	3.46e+41
59130.43	8.53e+41	2.23e+41	2.68e+42	7.99e+41
59130.49	8.92e+41	2.33e+41	2.81e+42	8.35e+41
59130.49	8.98e+41	2.34e+41	2.82e+42	8.40e+41
59130.59	7.76e+41	2.03e+41	2.44e+42	7.27e+41
59130.59	9.09e+41	2.38e+41	2.86e+42	8.51e+41
59130.60	8.98e+41	2.34e+41	2.82e+42	8.40e+41
59130.60	8.84e+41	2.31e+41	2.78e+42	8.27e+41
59130.61	9.17e+41	2.40e+41	2.88e+42	8.58e+41
59130.62	9.20e+41	2.40e+41	2.89e+42	8.61e+41
59130.62	8.99e+41	2.35e+41	2.83e+42	8.42e+41
59130.63	9.13e+41	2.38e+41	2.87e+42	8.54e+41
