##phase	g	err	w	err	r	err	i	err	z	err	
#
59078.57	18.47	0.30	18.47	0.30	18.47	0.30	18.47	0.30	18.47	0.30
59080.60	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30
59080.60	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30	17.91	0.30
59080.61	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30
59084.43	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30
59084.43	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30
59084.43	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30
59084.43	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30
59087.55	17.11	0.30	17.11	0.30	17.11	0.30	17.11	0.30	17.11	0.30
59088.49	17.21	0.30	17.21	0.30	17.21	0.30	17.21	0.30	17.21	0.30
59088.49	17.21	0.30	17.21	0.30	17.21	0.30	17.21	0.30	17.21	0.30
59090.51	17.13	0.30	17.13	0.30	17.13	0.30	17.13	0.30	17.13	0.30
59090.58	17.07	0.30	17.07	0.30	17.07	0.30	17.07	0.30	17.07	0.30
59091.42	17.27	0.30	17.27	0.30	17.27	0.30	17.27	0.30	17.27	0.30
59092.43	17.34	0.30	17.34	0.30	17.34	0.30	17.34	0.30	17.34	0.30
59094.42	17.17	0.30	17.17	0.30	17.17	0.30	17.17	0.30	17.17	0.30
59094.44	17.14	0.30	17.14	0.30	17.14	0.30	17.14	0.30	17.14	0.30
59094.50	17.38	0.30	17.38	0.30	17.38	0.30	17.38	0.30	17.38	0.30
59096.40	17.19	0.30	17.19	0.30	17.19	0.30	17.19	0.30	17.19	0.30
59100.54	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30	17.18	0.30
59100.54	17.20	0.30	17.20	0.30	17.20	0.30	17.20	0.30	17.20	0.30
59100.55	17.22	0.30	17.22	0.30	17.22	0.30	17.22	0.30	17.22	0.30
59100.56	17.24	0.30	17.24	0.30	17.24	0.30	17.24	0.30	17.24	0.30
59102.46	17.28	0.30	17.28	0.30	17.28	0.30	17.28	0.30	17.28	0.30
59102.56	17.30	0.30	17.30	0.30	17.30	0.30	17.30	0.30	17.30	0.30
59102.56	17.21	0.30	17.21	0.30	17.21	0.30	17.21	0.30	17.21	0.30
59102.56	17.36	0.30	17.36	0.30	17.36	0.30	17.36	0.30	17.36	0.30
59102.57	17.26	0.30	17.26	0.30	17.26	0.30	17.26	0.30	17.26	0.30
59104.55	17.32	0.30	17.32	0.30	17.32	0.30	17.32	0.30	17.32	0.30
59104.55	17.31	0.30	17.31	0.30	17.31	0.30	17.31	0.30	17.31	0.30
59104.55	17.41	0.30	17.41	0.30	17.41	0.30	17.41	0.30	17.41	0.30
59105.60	17.38	0.30	17.38	0.30	17.38	0.30	17.38	0.30	17.38	0.30
59105.60	17.75	0.30	17.75	0.30	17.75	0.30	17.75	0.30	17.75	0.30
59106.52	17.93	0.30	17.93	0.30	17.93	0.30	17.93	0.30	17.93	0.30
