# ph	T_bb	err	R_bb	err	L_bb	err

59036.59	9.07e+03	1.17e+03	2.11e+14	3.60e+13	2.16e+41	1.34e+41
59051.56	9.07e+03	1.17e+03	1.46e+14	2.50e+13	1.04e+41	6.41e+40
59051.56	9.07e+03	1.17e+03	1.96e+14	3.34e+13	1.85e+41	1.15e+41
59055.54	9.07e+03	1.17e+03	4.72e+13	8.04e+12	1.07e+40	6.65e+39
59060.50	9.07e+03	1.17e+03	2.76e+14	4.71e+13	3.68e+41	2.28e+41
59077.47	9.07e+03	1.17e+03	2.19e+14	3.74e+13	2.32e+41	1.44e+41
59079.49	9.07e+03	1.17e+03	1.03e+14	1.76e+13	5.18e+40	3.20e+40
59079.49	9.07e+03	1.17e+03	1.32e+14	2.26e+13	8.46e+40	5.23e+40
59093.41	9.07e+03	1.17e+03	1.99e+14	3.39e+13	1.91e+41	1.18e+41
59100.43	9.07e+03	1.17e+03	1.57e+14	2.68e+13	1.19e+41	7.39e+40
59100.43	9.07e+03	1.17e+03	1.19e+14	2.03e+13	6.85e+40	4.24e+40
59101.43	9.07e+03	1.17e+03	5.34e+14	9.11e+13	1.38e+42	8.54e+41
59101.45	9.07e+03	1.17e+03	3.97e+14	6.78e+13	7.63e+41	4.73e+41
59101.45	9.07e+03	1.17e+03	4.56e+14	7.78e+13	1.01e+42	6.23e+41
59103.40	9.07e+03	1.17e+03	1.65e+14	2.81e+13	1.31e+41	8.14e+40
59103.50	9.07e+03	1.17e+03	2.30e+14	3.92e+13	2.55e+41	1.58e+41
59103.50	9.07e+03	1.17e+03	7.04e+14	1.20e+14	2.39e+42	1.48e+42
59103.52	9.07e+03	1.17e+03	2.57e+14	4.38e+13	3.19e+41	1.97e+41
59105.48	9.07e+03	1.17e+03	2.10e+14	3.57e+13	2.12e+41	1.31e+41
59105.48	9.07e+03	1.17e+03	2.27e+14	3.88e+13	2.50e+41	1.55e+41
59105.54	9.07e+03	1.17e+03	5.50e+14	9.39e+13	1.46e+42	9.06e+41
59107.36	9.07e+03	1.17e+03	5.70e+14	9.71e+13	1.57e+42	9.70e+41
59107.49	9.07e+03	1.17e+03	4.83e+14	8.24e+13	1.13e+42	6.98e+41
59107.49	9.07e+03	1.17e+03	2.99e+14	5.10e+13	4.33e+41	2.68e+41
