# ph	Lobs	err	L+BB	err	

59036.59	8.24e+40	8.20e+40	2.15e+41	1.11e+41
59051.56	3.95e+40	3.93e+40	1.03e+41	5.31e+40
59051.56	7.07e+40	7.03e+40	1.84e+41	9.49e+40
59055.54	4.10e+39	4.08e+39	1.07e+40	5.51e+39
59060.50	1.41e+41	1.40e+41	3.67e+41	1.89e+41
59077.47	8.87e+40	8.82e+40	2.31e+41	1.19e+41
59079.49	1.98e+40	1.97e+40	5.15e+40	2.65e+40
59079.49	3.23e+40	3.21e+40	8.42e+40	4.34e+40
59093.41	7.28e+40	7.24e+40	1.90e+41	9.78e+40
59100.43	4.56e+40	4.53e+40	1.19e+41	6.12e+40
59100.43	2.61e+40	2.60e+40	6.82e+40	3.51e+40
59101.43	5.27e+41	5.24e+41	1.37e+42	7.08e+41
59101.45	2.91e+41	2.90e+41	7.60e+41	3.91e+41
59101.45	3.84e+41	3.82e+41	1.00e+42	5.16e+41
59103.40	5.02e+40	4.99e+40	1.31e+41	6.74e+40
59103.50	9.73e+40	9.68e+40	2.54e+41	1.31e+41
59103.50	9.14e+41	9.09e+41	2.38e+42	1.23e+42
59103.52	1.22e+41	1.21e+41	3.18e+41	1.63e+41
59105.48	8.10e+40	8.06e+40	2.11e+41	1.09e+41
59105.48	9.54e+40	9.48e+40	2.49e+41	1.28e+41
59105.54	5.59e+41	5.56e+41	1.46e+42	7.51e+41
59107.36	5.98e+41	5.95e+41	1.56e+42	8.04e+41
59107.49	4.31e+41	4.28e+41	1.12e+42	5.78e+41
59107.49	1.65e+41	1.64e+41	4.31e+41	2.22e+41
59107.50	4.49e+41	4.47e+41	1.17e+42	6.03e+41
59107.53	4.56e+41	4.54e+41	1.19e+42	6.13e+41
59107.54	3.12e+41	3.10e+41	8.14e+41	4.19e+41
59108.39	9.96e+41	9.90e+41	2.60e+42	1.34e+42
59108.39	9.96e+41	9.90e+41	2.60e+42	1.34e+42
59109.32	2.07e+42	2.06e+42	5.41e+42	2.79e+42
59109.32	2.07e+42	2.06e+42	5.41e+42	2.79e+42
59109.40	2.01e+42	2.00e+42	5.24e+42	2.70e+42
59109.40	1.39e+42	1.38e+42	3.63e+42	1.87e+42
59109.41	2.20e+42	2.18e+42	5.73e+42	2.95e+42
59109.41	1.60e+42	1.59e+42	4.17e+42	2.15e+42
59109.43	1.37e+42	1.36e+42	3.57e+42	1.84e+42
59110.35	2.51e+42	2.50e+42	6.55e+42	3.37e+42
59110.36	2.04e+42	2.03e+42	5.33e+42	2.74e+42
59111.37	2.61e+42	2.60e+42	6.82e+42	3.51e+42
59111.40	2.39e+42	2.38e+42	6.24e+42	3.21e+42
59111.40	2.19e+42	2.18e+42	5.72e+42	2.94e+42
