##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
59036.59	22.79	1.20	22.79	1.20	22.79	1.20	22.79	1.20	22.79	1.20	22.79	1.20
59051.56	23.59	1.20	23.59	1.20	23.59	1.20	23.59	1.20	23.59	1.20	23.59	1.20
59051.56	22.95	1.20	22.95	1.20	22.95	1.20	22.95	1.20	22.95	1.20	22.95	1.20
59055.54	26.05	1.20	26.05	1.20	26.05	1.20	26.05	1.20	26.05	1.20	26.05	1.20
59060.50	22.21	1.20	22.21	1.20	22.21	1.20	22.21	1.20	22.21	1.20	22.21	1.20
59077.47	22.71	1.20	22.71	1.20	22.71	1.20	22.71	1.20	22.71	1.20	22.71	1.20
59079.49	24.34	1.20	24.34	1.20	24.34	1.20	24.34	1.20	24.34	1.20	24.34	1.20
59079.49	23.81	1.20	23.81	1.20	23.81	1.20	23.81	1.20	23.81	1.20	23.81	1.20
59093.41	22.92	1.20	22.92	1.20	22.92	1.20	22.92	1.20	22.92	1.20	22.92	1.20
59100.43	23.43	1.20	23.43	1.20	23.43	1.20	23.43	1.20	23.43	1.20	23.43	1.20
59100.43	24.04	1.20	24.04	1.20	24.04	1.20	24.04	1.20	24.04	1.20	24.04	1.20
59101.43	20.77	1.20	20.77	1.20	20.77	1.20	20.77	1.20	20.77	1.20	20.77	1.20
59101.45	21.42	1.20	21.42	1.20	21.42	1.20	21.42	1.20	21.42	1.20	21.42	1.20
59101.45	21.12	1.20	21.12	1.20	21.12	1.20	21.12	1.20	21.12	1.20	21.12	1.20
59103.40	23.33	1.20	23.33	1.20	23.33	1.20	23.33	1.20	23.33	1.20	23.33	1.20
59103.50	22.61	1.20	22.61	1.20	22.61	1.20	22.61	1.20	22.61	1.20	22.61	1.20
59103.50	20.18	1.20	20.18	1.20	20.18	1.20	20.18	1.20	20.18	1.20	20.18	1.20
59103.52	22.36	1.20	22.36	1.20	22.36	1.20	22.36	1.20	22.36	1.20	22.36	1.20
59105.48	22.81	1.20	22.81	1.20	22.81	1.20	22.81	1.20	22.81	1.20	22.81	1.20
59105.48	22.63	1.20	22.63	1.20	22.63	1.20	22.63	1.20	22.63	1.20	22.63	1.20
59105.54	20.71	1.20	20.71	1.20	20.71	1.20	20.71	1.20	20.71	1.20	20.71	1.20
59107.36	20.64	1.20	20.64	1.20	20.64	1.20	20.64	1.20	20.64	1.20	20.64	1.20
59107.49	20.99	1.20	20.99	1.20	20.99	1.20	20.99	1.20	20.99	1.20	20.99	1.20
59107.49	22.03	1.20	22.03	1.20	22.03	1.20	22.03	1.20	22.03	1.20	22.03	1.20
59107.50	20.95	1.20	20.95	1.20	20.95	1.20	20.95	1.20	20.95	1.20	20.95	1.20
59107.53	20.93	1.20	20.93	1.20	20.93	1.20	20.93	1.20	20.93	1.20	20.93	1.20
59107.54	21.34	1.20	21.34	1.20	21.34	1.20	21.34	1.20	21.34	1.20	21.34	1.20
59108.39	20.08	1.20	20.08	1.20	20.08	1.20	20.08	1.20	20.08	1.20	20.08	1.20
59108.39	20.08	1.20	20.08	1.20	20.08	1.20	20.08	1.20	20.08	1.20	20.08	1.20
59109.32	19.29	1.20	19.29	1.20	19.29	1.20	19.29	1.20	19.29	1.20	19.29	1.20
59109.32	19.29	1.20	19.29	1.20	19.29	1.20	19.29	1.20	19.29	1.20	19.29	1.20
59109.40	19.32	1.20	19.32	1.20	19.32	1.20	19.32	1.20	19.32	1.20	19.32	1.20
59109.40	19.72	1.20	19.72	1.20	19.72	1.20	19.72	1.20	19.72	1.20	19.72	1.20
59109.41	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20
59109.41	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20
59109.43	19.74	1.20	19.74	1.20	19.74	1.20	19.74	1.20	19.74	1.20	19.74	1.20
59110.35	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20
59110.36	19.30	1.20	19.30	1.20	19.30	1.20	19.30	1.20	19.30	1.20	19.30	1.20
59111.37	19.04	1.20	19.04	1.20	19.04	1.20	19.04	1.20	19.04	1.20	19.04	1.20
59111.40	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20
59111.40	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59111.40	20.59	1.20	20.59	1.20	20.59	1.20	20.59	1.20	20.59	1.20	20.59	1.20
59111.44	18.82	1.20	18.82	1.20	18.82	1.20	18.82	1.20	18.82	1.20	18.82	1.20
59111.50	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20
59111.51	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20
59112.50	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20
59112.55	18.97	1.20	18.97	1.20	18.97	1.20	18.97	1.20	18.97	1.20	18.97	1.20
59113.30	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20
59113.34	19.20	1.20	19.20	1.20	19.20	1.20	19.20	1.20	19.20	1.20	19.20	1.20
59113.39	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20
59113.46	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20
59113.46	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20
59113.47	18.80	1.20	18.80	1.20	18.80	1.20	18.80	1.20	18.80	1.20	18.80	1.20
59113.47	19.20	1.20	19.20	1.20	19.20	1.20	19.20	1.20	19.20	1.20	19.20	1.20
59113.48	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20
59114.32	19.03	1.20	19.03	1.20	19.03	1.20	19.03	1.20	19.03	1.20	19.03	1.20
59115.31	19.06	1.20	19.06	1.20	19.06	1.20	19.06	1.20	19.06	1.20	19.06	1.20
59115.50	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20
59115.50	19.15	1.20	19.15	1.20	19.15	1.20	19.15	1.20	19.15	1.20	19.15	1.20
59115.51	18.85	1.20	18.85	1.20	18.85	1.20	18.85	1.20	18.85	1.20	18.85	1.20
